%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Ennyivel: %d több Készségkönyvet kell elolvasnod, hogy fejleszthesd ezt a képzettséget. 
%d 냥을 투자하셨습니다.	%d Yangot fektettél be. 
%d 냥을 획득하셨습니다.	%d Yangot nyertél. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	El kell érned a %d szintet, hogy ismét befesthesd a hajad. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d óra %d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d óra %d másodperc van még hátra a chat tiltásodból 
%d 종류 %d 마리 낚음	%d-ból %d-t fogtál. 
%d 초 동안 채팅금지 상태입니다	%d másodperc van hátra a chat tiltásodból 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d másodperc után lehet a császár áldását felhasználni. 
%d 초간 쿨타임이 적용중입니다.	Újrafelhasználási idõ kb. %d másodperc 
%d 초후 목적지로 이동됩니다.	%d másodperccel az indítás után eléred a célhelyet. 
%d%% 확률로 관통 공격	Átható támadás %d%% eséllyel. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Tapasztalat növekedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 돈 2배 드롭	A zsákmányolt Yang növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% esély az életerõ feltöltésére egy gyõzelem után. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	A zsákmányolt tárgyak növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 정신력 회복	Mana emelkedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 치명타 공격	Kritikus támadás %d%% eséllyel. 
%d%% 확률로 타격시 상대 전신력 소모	%d%% valószínûséggel lesz Mana elvéve az ellenségtõl. 
%d%% 확률로 피해시 정신력 회복	Mana elnyelõdés %d%% eséllyel. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d játékidõ lett hozzáadva az eddigiekhez.. (Fizetési szám %d) 
%d의 경험치를 획득했습니다.	%d tapasztalatot szereztél. 
%d초 남았습니다.	%d másodperc a végéig. 
%d초 만큼 충전되었습니다.	%d másodperc hozzáadva. 
%d초 후 게임이 셧다운 됩니다.	%d másodperc múlva vége a játéknak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP felhasználás: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d szent föld száma %d 
%s 군주 후보에서 삭제하였습니다	%s-t törölve lett a császár jelöltek közül. 
%s 군주로 입명 했습니다.	%s császárnak van jelölve. 
%s 군주르 제거 하였습니다..	A %s császárt eltávolítják. 
%s 군주를 제거 할수 없습니다.	%s császár nem eltávolítható. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A(z) %s céh háborút hirdetett %s ellen. 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s megnyerte a céhháborút %s ellen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s megszerezte %s zászlóját. 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A céhháború döntetlennel végzõdött %s és %s között. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A céhháború %s és %s között törölve lett. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A céhháború perceken belül elkezdõdik %s és %s között. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A céhháború elkezdõdött %s és %s között. 
%s 길드의 %s이 %d%% 증가했습니다!	%s a %s céhnek felment %d%%-ra. 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s a %s céhnek normalizálódott. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A %s céh zászlaját ellopta %s játékos. 
%s 는 군주 후보가 아닙니다.	%s nem császár jelölt. 
%s 는 군주로 입명할수 없습니다 .	%s-t nem lehet császárnak jelölni. 
%s 님과의 교환이 성사 되었습니다.	Az üzlet %s személlyel sikerült. 
%s 님에게 파티가입 신청을 했습니다.	Szeretnél %s csoportjába lépni. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s elutasította a meghívást. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s játékos a %d csatornán található. (Te a %d csatornán vagy) 
%s 님은 접속되 있지 않습니다.	%s nem online. 
%s 님은 정상적으로 출마를 하였습니다.	%s játékos már a választásban van. 
%s 님을 소환하였습니다.	%s játékost választottad ki. 
%s 님이 대련에서 승리하였습니다.	%s megnyerte a párbajt. 
%s 님이 승리하였습니다.	%s nyert. 
%s 블럭! (%d%%)	%s blokk! (%d%%) 
%s 아이템 을 획득하셨습니다	%s tárgyat nyertél. 
%s 아이템이 필요합니다	Szükséged van %s-re. 
%s 에게로 이동합니다	Transzport a %s játékoshoz. 
%s 회피! (%d%%)	%s kitérés! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ez a céh nem létezik. 
%s[%d]가 공격 위치: %d %d	%s[%d] Támadó Pozíciója: %d %d 
%s님과의 대결 시작!	A harc %s ellen megkezdõdött. 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s harcra hívott téged. 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s dobott kockával. Dobásának értéke %d (%d-%d). 
%s를 구웠습니다.	%s-t sütsz a tûz fölött. 
%s에 박혀있던 보석이 사라집니다.	A %s-ból készült drágakõ eltûnt. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Máglyát gyújtottak %s-nél, hogy csatára figyelmeztessenek. 
%s에게 대결신청을 했습니다.	%s harcra hívott. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Háború van %s-ben a máglya meggyújtásáért. 
%s에서 소켓 빠질때까지 남은 시간 %d	A %s idõbõl a foglalat eltávolításáig fennmaradó: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s megnövekedett %d%%-kal! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s-a normalizálódott. 
%s의 군주가 %s 님으로 교체되었습니다.	%s császárát lecserálták. Az új császár: %s. 
%s이 모든 봉화를 파괴하였습니다.	%s minden máglyát szétrombolt. 
%s이 봉화를 파괴했습니다.	%s szétrombolta a máglyát. 
%s이 수성에 성공했습니다.	%s sikeresen védekezett. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s elvesztette a háborút, mert nem tudta megvédeni a kastélyt. 
%s이 필요합니다.	Ehhez szükséges : %s 
Jagras: 5 minutes left!	Jagras: 5 minutes left!
Jagras: Hurry up!!	Jagras: Hurry up!!
Jagras: 1 minute left!	Jagras: 1 minute left!
Jagras: You are almost failed!!	Jagras: You are almost failed!!
Jagras: Time has expired!	Jagras: Time has expired!
Jagras: You failed!	Jagras: You failed!
Jagras: You will be teleported out of dungeon!	Jagras: You will be teleported out of dungeon!


PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	You must wait %d seconds. %d seconds left. 
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	No item found. 
Die Gruppe von	The group of 
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 absolved the Underwater-Dungeon, congratulations! 
%s hat das maximale Level erreicht, Glückwunsch!	%s reached the maximum Level, congratulations!
You cannot enhance the time of this item while it is stacked.	You cannot enhance the time of this item while it is stacked. 
Maintenance shutdown will begin in %d seconds.	Maintenance shutdown will begin in %d seconds.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	We compliment the Guild %s they defeated Meley, the Queen of the Dragons!
All demons were defeated.	All demons were defeated.
Visits the Maw of the in heh to open another to fate castle.	Visits the Maw of the in heh to open another to fate castle.
There isn't enough space in the inventory.	There isn't enough space in the inventory.
%s has married %s	%s has %s married.
Block: 	Block: 
Guild	Guild
Exchange	Exchange
Duel	Duel
Request	Request
Chat	Chat
Whisper	Whisper
Friend	Friend
Equip	Equip
Shop	Shop
Group	Group
There are invalid characters in your title.	There are invalid characters in your title.
You cannot use this color in your title.	You cannot use this color in your title.
The player %s blocked viewing of his equipment!	The player %s blocked viewing of his equipment!
You blocked duel requests for %s	You blocked duel requests for %s
You cannot activate and deactivate this so quickly	You cannot activate and deactivate this so quickly
You can only change your equipment while you are still.	You can only change your equipment while you are still.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Kill Metin Stones until you get a Frost Key and open the pillars with it.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	The seals are opened, the Baron Nashor appears!
Besiegt den Boss!	Defeat the boss!
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	The group of %s has defeated the %s for the %s. time, congratulations! (%s Seconds)
%s hat den %s gekillt	The group of %s has defeated the %s, congratulations!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s has successfully completed the 1st Biologist Quest. The biologist awards you 20% half-human.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s has successfully completed the 2nd Biologist Quest. The biologist awards you 30% half-human.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s has successfully completed the 3rd Biologist Quest. The biologist awards you 40% half-human.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s has successfully completed the 4th Biologist Quest. The biologist awards you 60% half-human.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s has successfully completed the 5th Biologist Quest. The biologist awards you 50% Strong against Creatures.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s has successfully completed the 6th Biologist Quest. The biologist awards you 100% Strong against Creatures.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s has successfully completed the 7th Biologist Quest. The biologist awards you 50% Strong against Mystics.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s has successfully completed the 8th Biologist Quest. The biologist awards you 100% Strong against Mystics.
Easter dungeon: You still have to defeat %s monsters to move on.	You still have to defeat %s monsters to move on.
Easter dungeon: %s eggs has left!	%s easter eggs has left!
Easter dungeon: %s metin stones has left!	%s metin stones has left!
CANNOT_WARP_NOW	You can't do this activity yet.
You cannot perform this action right now.	You cannot perform this action right now.
You can't open an empty shop.	Du kannst keinen leeren Laden eröffnen.
You already have a shop opened.	Du hast bereits einen Laden offen. 
You sold %dx %s for %lld Yang.	You sold %dx %s for %lld Yang.
You've withdrawn %lld Yang from your shop sales stash.	Du hast %lld Yang vom Laden abgehoben. 
ITEM_SEALED	This item was successfully soulbound.
ITEM_SEALED_CANNOT_MODIFY	Soulbound items cannot be modified.
변경 시킬 속성이 없습니다	You cannot enchant this item without the 6/7 bonus.
You cannot open a storage if another Window is already open.	Du kannst keinen Laden öffnen, wenn bereits ein anderes Fenster offen ist.
Switchbot Slot %d stopped out of bonus changers.	Switchbot Slot %d stopped out of bonus changers.
Du wirst in %s Sekunden herausteleportiert.	You will be teleported in %s seconds.
You don't have enough money!	You don't have enough money!
You can not open a shop while you are trading.	You can not open a shop while you are trading.
Your cannot spawn your pet while having the status window open.	Your cannot spawn your pet while having the status window open.
You cannot add attributes to this item.	You cannot add attributes to this item.
You cannot change the attributes of this item.	You cannot change the attributes of this item.
This food can only be used for pet level %d to %d	This food can only be used for pet level %d to %d
This food is only for pets	This food is only for pets
Your pet no longer listens to you. Your level is too low.	Your pet no longer listens to you. Your level is too low.
The pet already has reached its maximum level	The pet already has reached its maximum level
<Guild> The field war is disabled on this server.	<Guild> The field war is disabled on this server.
You can not use this so fast.	You can not use this so fast.
You have successfully added a socket to this item.	You have successfully added a socket to this item.
You cannot add sockets to this item.	You cannot add sockets to this item.
Successfully added a socket to this item	Successfully added a socket to this item
This item already cannot gain more sockets.	This item already cannot gain more sockets.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	You cannot move items while you are in a Shop.
You cannot add sockets to an item with less than 3 sockets.	You cannot add sockets to an item with less than 3 sockets.
You can only change your shop name once every hour (%02d:%02d:%02d).	You can only change your shop name once every hour (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	You tried to put at least one item into the shop which can not be traded yet.
You cannot use this item on this map.	You cannot use this item on this map.
%s scored first blood	%s scored first blood
You cannot unequip the armor. Not enough space for your armor effect	You cannot unequip the armor. Not enough space for your armor effect
You need to wait some time for the next emotion.	You need to wait some time for the next emotion.
%s blocks duel requests	%s blocks duel requests
Failed to make one socket permanent	Failed to make one socket permanent
Successfully to made one socket permanent	Successfully to made one socket permanent
Already every socket permanent	Already every socket permanent
A world boss is [%s] spawned.	A world boss is [%s] spawned.
You cannot use this item in this area.	You cannot use this item in this area.
Missing %s %s to create the recipe you have chosen	Missing %s %s to create the recipe you have chosen
Double Drop Amount	Double-Loot-Event
Double-Loot Event is active!	Double-Loot Event is active!
%s: Double-Loot Event is active	%s: Double-Loot Event is active
%s: Double-Loot Event ended	%s: Double-Loot Event ended
%s has killed you with hp %d left over.	%s has killed you with hp %d left over.
There is no one currently registered in the ranking.	There is no one currently registered in the ranking.
Player %s successfully finished Battle Pass %s.	Player %s successfully finished Battle Pass %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Pusztítsd el a követ 4 percen belül!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: Ellenkező esetben ki leszel teleportálva a várbörtönből.
Ancient pyramid: You will continue in few seconds.	Kulve Taroth: Néhány másodperc múlva folytatódik.
Ancient pyramid: You have failed!	Kulve Taroth: Kudarcot vallottál!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Öld meg a szörnyeket, hogy összegyűjtsd a pergamen darabokat, ha már 4 darabod van.
Ancient pyramid: destroy the %s!	Kulve Taroth: pusztítsd el a %s -t!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Minden darab megvan! Menj a pecséthez és fejtsd meg!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: Varázslat volt, hogy megidézze %s -t, öld meg!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Néhány másodperc múlva a következő emeletre fogsz ugrani
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: Találd meg és pusztítsd el a megfelelő %okat 21 percen belül!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Vigyázzatok, valami erős dolog rejtőzik bennük!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Elpusztítottad a megfelelő követ!
Ancient pyramid: %s is coming!	Kulve Taroth: %s jön!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Ez a kő csak illúzió volt.
Ancient pyramid: You have failed!	Kulve Taroth: Kudarcot vallottál!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Néhány másodperc múlva a következő emeletre fogsz ugrani
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Találd meg a kiutat ebből a labirintusból!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: A végén valódi %s okat kell megölnöd!
Ancient pyramid: This was the real %s	Kulve Taroth: Ez volt az igazi %s
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Néhány másodperc múlva átkerülsz a következő emeletre.
Ancient pyramid: This was a fake %s!	Kulve Taroth: Ez egy hamis %s volt!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Pusztítsd el az összes %s -t, de vigyázz, mert saját mechanizmusa van!
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: Pontos sorrendben kell elpusztítanod őket!
Ancient pyramid: This was the right one!	Kulve Taroth: Ez volt az igazi!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Most pusztítsd el a %s -t, hogy szerezz egy másik tárgyat!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: El kell pusztítanod más %s
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Nagyszerű! Jönnek a szörnyek! Az egyiküknél van egy másik tárgy!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: El kell pusztítanod más %s
Ancient pyramid: You need to destroy other %s	Kulve Taroth: El kell pusztítanod más %s
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Nagyszerű, de most, a riasztás!!!!
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: Jön az igazi Anubisz!
Ancient pyramid: %s stones has left!	Kulve Taroth: %s kövek elmentek!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Néhány másodperc múlva átkerülsz a következő emeletre.
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Pusztítsd el %s -t, hogy megidézhess egy igazi főnököt!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Ölj meg minden szörnyet most!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: A varázslat elmúlt, elviheted a %s -t.
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: A varázslat elmúlt, elviheted a %s -t.
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s fog megjelenni.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Bármilyen korábbi szörnyet és főnököt képes előidézni!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Ha 5 percen belül elpusztítod, elkerülöd, hogy újabb szörnyeket vonzz magadhoz!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: A varázslat elmúlt, elviheted a %s -t.
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Túl lassú voltál, szörnyek láttak téged!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Jönnek, öljétek meg mindet!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s megszületett!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed	Kulve Taroth: Pusztítsd el 3 percen belül! ellenkező esetben a várbörtön bezárul.
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: A %s már nem képes varázsolni!
Ancient pyramid: Kill it!!	Kulve Taroth: Öljétek meg!!!
Ancient pyramid: You have failed!	Kulve Taroth: Kudarcot vallottál!
Ancient pyramid: The %s has been protected!	Kulve Taroth: A %s védett!
Anci group: You did it! Spectacular job!	Kulve Taroth: Megcsináltad! Látványos munka!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: A börtön 3 perc múlva automatikusan bezárul.
Ancient pyramid: You have failed!	Kulve Taroth: Kudarcot vallottál!
%s benötigte %s Sekunden	%s -nak %s másodpercekre volt szüksége!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Pusztítsd el az összes %s -t! Csak korlátozott időd van! Siess!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Lejárt az idő. Kudarcot vallottál!
Shadow tower: %s is coming!	Vaal Hazak: %s jön!
Shadow tower: Kill second wave of monsters to destroy second %s!	Vaal Hazak: Öld meg a szörnyek második hullámát a második %s elpusztításához!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Lejárt az idő. Kudarcot vallottál!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: You have destroyed the right stone!	Vaal Hazak: Elpusztítottad a megfelelő követ!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: This one was just an illusion!	Vaal Hazak: Ez csak egy illúzió volt!
Shadow tower: Well done! Now destroy the %s to able to continue!	Vaal Hazak: Szép munka! Most elpusztítani a %s képes folytatni!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: Great job! You will proceed in few seconds!	Vaal Hazak: Szép munka! Néhány másodperc múlva folytathatja!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Lejárt az idő. Kudarcot vallottál!
Shadow tower: Protection of %s is gone. You can kill him now!	Vaal Hazak: A %s védelme megszűnt. Most már megölheted!
Shadow tower: %s wasn't destroyed yet. %s was recovered from shadows!	Vaal Hazak: %s még nem semmisült meg. %s-t visszaszerezték az árnyékból!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: You died three times. You have failed.	Vaal Hazak: Háromszor haltál meg. Kudarcot vallottál.
Shadow tower: Time is up. You have failed!	Vaal Hazak: Lejárt az idő. Kudarcot vallottál!
Shadow tower: Beware! %s is coming!	Vaal Hazak: Vigyázz! %s jön!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: If you have %s, you have last %s seconds to use it!	Vaal Hazak: Ha van %s, akkor az utolsó %s másodperced van arra, hogy használd!
Shadow zone: %s is now active! %s is gonna be much weaker!	Vaal Hazak: %s most már aktív! %s sokkal gyengébb lesz!
Shadow tower: This effect is already active!	Vaal Hazak: Ez a hatás már aktív!
Shadow tower: You can use this only during first 8 floors!	Vaal Hazak: Ezt csak az első 8 emeleten használhatod!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s kiderült! Továbbmehetsz a következő emeletre!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Lejárt az idő. Kudarcot vallottál!
Shadow tower: One more wave is coming!	Vaal Hazak: Még egy hullám jön!
Shadow tower: A monster is coming, its unknown!	Vaal Hazak: Egy szörny jön, ismeretlen!
Shadow tower: You are almost at the end. But the worst is just about to come!	Vaal Hazak: Már majdnem a végére értél. De a legrosszabb csak most jön!
Shadow tower: Time is up. You have failed	Vaal Hazak: Lejárt az idő. Kudarcot vallottál
Shadow tower: You will be teleported out of dungeon in %s minutes.	Vaal Hazak: %s perc múlva teleportálnak ki a börtönből.
Shadow tower: Destroy both %s! Destroy all monsters to get a key!	Vaal Hazak: Pusztítsd el mindkét %s-t! Pusztítsd el az összes szörnyet a kulcsért!
Shadow tower: Find real %s and destroy it!	Vaal Hazak: Találd meg a valódi %s-t és pusztítsd el!
Shadow tower: Every wrong stone hides %s inside!	Vaal Hazak: Minden rossz kő %s-t rejt magában!
Shadow tower: The more fake stones you destroy, the more HP will have a next boss!	Vaal Hazak: Minél több hamis köveket elpusztítani, annál több HP lesz a következő főnök!
Shadow tower: Kill all monsters to get %s, then start to build a %s	Vaal Hazak: Öld meg az összes szörnyet, hogy megkapd %s, majd kezdj el építeni egy %s -t
Shadow tower: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!	Vaal Hazak: Pusztítsd el a %s -t %s perc alatt! Ellenkező esetben a következő küldetést 2x kell befejezned!
You are not allowed to create a shop on this map.	You are not allowed to create a shop on this map.
