ACCE_ABSORB_COST	Emiş fiyatı: {}
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Kalan saldırılar: {}
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Ruhun silinmesine kalan
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efekt etkinleştirilmedi
SOUL_REFINE_FAILURE	Geliştirme başarısız oldu.
SOUL_REFINE_SUCCESS	Geliştirme başarılı!
STAT_MINUS_CON	Canlılık Ayarı (Kalan şans: {})
STAT_MINUS_DEX	Çeviklik Ayarı (Kalan şans: {})
STAT_MINUS_INT	Zeka Ayarı (Kalan şans: {})
STAT_MINUS_STR	Güç Ayarı (Kalan şans: {})
STAT_TOOLTIP_CON	HP ve Savunma'yı arttırıyor
STAT_TOOLTIP_DEX	Saldırı ve Savuşturma'yı arttıryor
STAT_TOOLTIP_INT	SP, Büyülü Saldırı ve Savunma'yı artırıyor
STAT_TOOLTIP_STR	Saldırı Değeri'ni ve Hasarı arttırıyor
SYMBOLLIST_TITLE	Lonca Bayrağı kaydedildi.
SYSTEM_OPTION_CPU_TILING_1	CPU modu zayıf bilgisayarların daha hızlı çalışmasını sağlar.
SYSTEM_OPTION_CPU_TILING_2	Eğer grafiklerde problem varsa diğer seçeneği işaretleyiniz ,Sistem seçenekleri‘ veya ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ve GPU modunu seçin.
SYSTEM_OPTION_GPU_TILING_1	GPU Modu zayıf bilgisayarları daha yavaş çalıştırır.
SYSTEM_OPTION_GPU_TILING_2	Grafik ile ilgili sorunlarda, 'Sistem Seçenekleri' veya 'CONFIG.exe'yi seç
SYSTEM_OPTION_GPU_TILING_3	GPU modunu değiştirin.
SYSTEM_OPTION_TILING_EXIT	Tiling-Modu değişimi için oyun yeniden başlatılmalı.
TARGET_BUTTON_ACCEPT_FIGHT	Anlaşma
TARGET_BUTTON_AVENGE	İntikam
TARGET_BUTTON_BLOCK	Engelle
TARGET_BUTTON_BLOCK_REMOVE	Engellemeyi kaldır
TARGET_BUTTON_BUILDING_DESTROY	Yıkmak
TARGET_BUTTON_DISMOUNT	İnmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddetmek
TARGET_BUTTON_EXIT_OBSERVER	Gözlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Düello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu terket
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba katıl
TARGET_BUTTON_REVIVE	Dirilt
TARGET_BUTTON_VIEW_EQUIPMENT	Zırh
TARGET_BUTTON_WHISPER	Fısıldama
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TARGET_TOOLTIP_ATTACK_COUNT	Toplam puan: {}
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	Otomatik Saldırı
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	ilerle
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	ST
TENTH_COIN	Yıl dönümü parası
TENTH_EVENT_ASK_EXCHANGE	{} yıl dönümü bayrağına ihtiyacın var. Devam etmek istiyor musun?
THING_COUNT	x
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Hasarı azalt
TOOLTIP_AFFECT_CONFUSION	Sersemletildin.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Kritik isabet şansını azalt
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Bekçi İmzası
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Hidro püskürtmesi kesilemedi.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Savunmayı azalt
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Şimşek
TOOLTIP_AFFECT_MOUNT_FALL	Binekten düşüş
TOOLTIP_AFFECT_POLYMORPH	Dönüşüm
TOOLTIP_AFFECT_RCAST_SPEED	Soğuma süresini artır
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Araştırmacının özütü
TOOLTIP_AFFECT_RHP_REGEN	Dinlenmek mümkün değil
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vuruş Direnci +{}%
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vuruş Direnci +{}%
TOOLTIP_ANTI_SELL	Depoda satılamaz
TOOLTIP_APPLY_ACCEDRAIN_RATE	Emiş oranı: {}%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Rathalos karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_BELL	Çan Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_BOW	Ok Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_CLAW	Pençe Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_CZ	Zodyak canavarına karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_DAGGER	Hançer Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_DESERT	Çöl canavarına karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Şeytanlara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_FAN	Yelpaze Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarı insanlara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_INSECT	Böceklere karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Gods karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_ORC	Fatalis karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Şamanlara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_SWORD	Kılıç Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Çift el Savunmasından kopuş +{}%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçılara karşı güçlü +{}%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Lycanlar'a karşı güçlü + {}%
TOOLTIP_APPLY_BLEEDING_PCT	Kanama Saldırısı +{}%
TOOLTIP_APPLY_BLEEDING_REDUCE	Kanama saldırılarında direnç +{}%
TOOLTIP_APPLY_BLOCK	Yakın dövüş saldırıları bloklama şansı: {}%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Savaşta her 5 saniyede SP yenile {}
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruş Şansı: +{}%
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Vuruş yapıldığında Sp geri kazanım şansı {}%
TOOLTIP_APPLY_DODGE	Oklardan korunma şansı {}%
TOOLTIP_APPLY_ENCHANT_DARK	Karanlığın gücü +{}%
TOOLTIP_APPLY_ENCHANT_EARTH	Toprağın gücü +{}%
TOOLTIP_APPLY_ENCHANT_ELECT	Şimşeklerin gücü +{}%
TOOLTIP_APPLY_ENCHANT_FIRE	Ateşin gücü +{}%
TOOLTIP_APPLY_ENCHANT_ICE	Buzun gücü +{}%
TOOLTIP_APPLY_ENCHANT_WIND	Rüzgarın gücü +{}%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	EXP Bonus şansı {}%
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	İki kat Yang düşme şansı {}%
TOOLTIP_APPLY_IMMUNE_FALL	Yere düşme karşısında bağışıklık
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaşlama karşısında bağışıklık
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karşısında bağışıklık
TOOLTIP_APPLY_ITEM_DROP_BONUS	İki Kat eşya düşme şansı {}%
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yenileme şansı {}%
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yenileme şansı {}%
TOOLTIP_APPLY_MANA_BURN_PCT	SP çalma şansı {}%
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP {}%
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +{}%
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada başla dediğinde deneyim kaybetmeyecek.
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Ejderha Tanrısı koruyucu kanatlarını senin üzerinde tutuyor. Gemide dirilirsen tecrübe puanı kaybetmezsin.
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vuruş için şansı {}%
TOOLTIP_APPLY_POISON_PCT	Zehirleme şansı {}%
TOOLTIP_APPLY_POISON_REDUCE	Zehre karşı koyma {}%
TOOLTIP_APPLY_POTION_BONUS	İksir etkisi {}% yükseldi
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Yansıtılması: {}%
TOOLTIP_APPLY_REFLECT_MELEE	Yakın dövüş vuruşlarını yansıtma şansı: {}%
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldırılarına karşı savunma şansı {}%
TOOLTIP_APPLY_RESIST_BELL	Çan Savunması {}%
TOOLTIP_APPLY_RESIST_CLAW	Pençe Savunması +{}%
TOOLTIP_APPLY_RESIST_DAGGER	Bıçak Savunması {}%
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunması {}%
TOOLTIP_APPLY_RESIST_HUMAN	Yarı insanlara karşı direnç {}%
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Düşüş direnci +{}%
TOOLTIP_APPLY_RESIST_SHAMAN	Şaman saldırılarına karşı savunma şansı: {}%
TOOLTIP_APPLY_RESIST_SURA	Sura saldırılarına karşı savunma şansı: {}%
TOOLTIP_APPLY_RESIST_SWORD	Kılıç Savunması {}%
TOOLTIP_APPLY_RESIST_TWOHAND	Çift-El Savunması {}%
TOOLTIP_APPLY_RESIST_WARRIOR	Savaşçı saldırılarına karşı savunma şansı: {}%
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanıklılığı {}%
TOOLTIP_APPLY_RESIST_WOLFMAN	Lycanlar'a karşı savunma şansı +{}%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öğrenme şansı 2,5 arttı.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öğrenme başarısız olursa, anında bir kere daha deneme şansına sahipsin.
TOOLTIP_APPLY_SLOW_PCT	Yavaşlama şansı: {}%
TOOLTIP_APPLY_STEAL_HP	{}% hasar, HP ile absorbe edilecek
TOOLTIP_APPLY_STEAL_SP	{}% hasar, SP ile absorbe edilecek.
TOOLTIP_APPLY_STUN_PCT	Bayılma şansı: {}%
TOOLTIP_ARMOR	Zırh
TOOLTIP_ARROW	Ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldırı Değeri +{}
TOOLTIP_ATT_SPEED	Saldırı Hızı +{}%
TOOLTIP_ATT_SPEED_SLOW	Saldırı hızı düştü
TOOLTIP_AUTO_POTION_HP	Güneş Özütü
TOOLTIP_AUTO_POTION_REST	Kalan miktar: {:.2f}%
TOOLTIP_AUTO_POTION_SP	Ay Özütü
TOOLTIP_AUTO_POTION_USING	Etkin
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Otomatik Av
TOOLTIP_BATTLE_POTION	Savaş Bölgesi Muharebe İksiri
TOOLTIP_BOW_DISTANCE	Yay Menzili +{}m
TOOLTIP_BUYPRICE	Fiyatı: {}
TOOLTIP_CAST_SPEED	Büyü Hızı +{}%
TOOLTIP_CON	Canlılık +{}
TOOLTIP_COSTUME_ATTR_BONUS	Kostüm bonusu {}%
TOOLTIP_DEF_GRADE	Savunma +{}
TOOLTIP_DEX	Çeviklik +{}
TOOLTIP_DRAGON_SOUL_DECK1	Gökyüzü
TOOLTIP_DRAGON_SOUL_DECK2	Dünya
TOOLTIP_DS_SET	DSS Set etkisi
TOOLTIP_EAR	Küpe
TOOLTIP_ENERGY	Enerji {}
TOOLTIP_ETC	v.b.
TOOLTIP_EXP_BONUS_EVENT	EXP +{}%
TOOLTIP_FISHINGROD_EXP	Puanlar {} / {}
TOOLTIP_FISHINGROD_LEVEL	Seviye: {}
TOOLTIP_FISHINGROD_UPGRADE1	Onu balıkçıya ver;
TOOLTIP_FISHINGROD_UPGRADE2	daha iyi
TOOLTIP_FISHINGROD_UPGRADE3	bir olta almak için.
TOOLTIP_FISH_LEN	Uzunluk: {:.2f} cm
TOOLTIP_GUILD_SKILL_ACCEL	Hızlandırma +{}
TOOLTIP_GUILD_SKILL_BLESS	Ejderha Tanrısı Kutsaması +{}
TOOLTIP_GUILD_SKILL_BLOOD	Ejderha Tanrısı Kanı +{}
TOOLTIP_GUILD_SKILL_BUNNO	Ejderha Tanrısı Öfkesi +{}%
TOOLTIP_GUILD_SKILL_JUMUN	Büyü Desteği +{}%
TOOLTIP_GUILD_SKILL_SEONGHWI	Kutsal Zırh +{}
TOOLTIP_HALLOWEEN_EVENT_BUFF	+%20 EXP | +5% nesne düşürme | +%10 canavarlara karşı güçlü
TOOLTIP_HELMET	Kask
TOOLTIP_HP_REGEN	HP Üretimi +{}%
TOOLTIP_INT	Zeka +{}
TOOLTIP_ITEM_ATT_GRADE	Saldırı değeri {}
TOOLTIP_ITEM_ATT_POWER	Saldırı değeri {} - {}
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldırı değeri {}
TOOLTIP_ITEM_ATT_POWER_REFINE	Saldırı değeri {} - {} (+{})
TOOLTIP_ITEM_ATT_SPEED	Saldırı hızı {}
TOOLTIP_ITEM_DEF_GRADE	Defans {}
TOOLTIP_ITEM_FAST	Hızlı
TOOLTIP_ITEM_LIMIT_CON	Canlılık üst limiti: {}
TOOLTIP_ITEM_LIMIT_DEX	Çeviklik üst limiti: {}
TOOLTIP_ITEM_LIMIT_INT	Zeka üst limiti: {}
TOOLTIP_ITEM_LIMIT_LEVEL	Seviye: {}
TOOLTIP_ITEM_LIMIT_MAX_LEVEL	Maksimum Seviye: {}
TOOLTIP_ITEM_LIMIT_MAP	Alan: {}
TOOLTIP_ITEM_LIMIT_STR	Güç üst limiti: {}
TOOLTIP_ITEM_MAGIC_ATT_POWER	Büyülü saldırı değeri {} - {}
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Büyülü saldırı değeri {}
TOOLTIP_ITEM_MAGIC_DEF_POWER	Büyü Savunması {}
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Yavaş
TOOLTIP_ITEM_VERY_FAST	Çok Hızlı
TOOLTIP_ITEM_VERY_SLOW	Çok Yavaş
TOOLTIP_ITEM_WEARABLE_JOB	[ Giyilebilir ]
TOOLTIP_LOTTERY_STEP_NUMBER	{}
TOOLTIP_LOTTO_NUMBER	Şans Numarası: {}
TOOLTIP_MAGIC_ATTBONUS_PER	Büyü Saldırı +{}%
TOOLTIP_MAGIC_ATT_GRADE	Büyülü Saldırı Değeri +{}
TOOLTIP_MAGIC_DEF_GRADE	Büyü Savunması +{}
TOOLTIP_MALL_ATTBONUS	Saldırı Değeri +{}%
TOOLTIP_MALL_ATTBONUS_STATIC	Saldırı değeri
TOOLTIP_MALL_AUTOLOOT	Yerdeki mevcut Yang`ın otomatik olarak toplanmasını sağlayan el.
TOOLTIP_MALL_DEFBONUS	Savunma +{}%
TOOLTIP_MALL_DEFBONUS_STATIC	Savunma 
TOOLTIP_MALL_EXPBONUS	EXP +{}%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +{}%
TOOLTIP_MALL_EXPBONUS_STATIC	EXP artışını %50 arttırır
TOOLTIP_MALL_FISH_MIND	Balık yakalama şansını ikiye katlar.
TOOLTIP_MALL_GOLDBONUS	Elde edilen yang kat sayısı {}% olarak değişti.
TOOLTIP_MALL_GOLDBONUS_STATIC	Yang elde etme şansını ikiye katlar.
TOOLTIP_MALL_ITEMBONUS	{}% gelişmiş eşya bırakma
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Eşya ele geçirme şans artışı {:.1f}%
TOOLTIP_MALL_ITEMBONUS_STATIC	Eşya ele geçirme şansını ikiye katlar.
TOOLTIP_MALL_MARRIAGE_FAST	Sevgi Puanı daha hızlı artar.
TOOLTIP_MALL_SAFEBOX	Depoya fazladan 2 oda daha eklenir
TOOLTIP_MAX_HP	Max. HP +{}
TOOLTIP_MAX_HP_PCT	Max. HP +{}%
TOOLTIP_MAX_SP	Max. SP +{}
TOOLTIP_MAX_SP_PCT	Max. SP +{}%
TOOLTIP_MAX_STAMINA	Max. Dayanıklılık +{}
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Büyü Saldırı / Yakın Dövüş Saldırı +{}%
TOOLTIP_MEMORIZED_POSITION	{}({}, {})
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR({}, {})
TOOLTIP_MOV_SPEED	Hareket Hızı {}%
TOOLTIP_NECK	Kolye
TOOLTIP_NEED_ALL_SP	Gereken SP: Max.
TOOLTIP_NEED_GSP	Gereken Ejderha Hayaleti: {}
TOOLTIP_NEED_HP	Gereken HP: {}
TOOLTIP_NEED_HP_PER_SEC	HP/Sn.: {}
TOOLTIP_NEED_SKILL_POINT	Gereken Beceri Puanı:
TOOLTIP_NEED_SP	Gereken SP: {}
TOOLTIP_NEED_SP_PER_SEC	SP: {} / Sn.
TOOLTIP_NEXT_SKILL_LEVEL_1	Sonraki Seviye: {} (Max. {})
TOOLTIP_NEXT_SKILL_LEVEL_2	Sonraki Seviye: {} (Max. {}-{})
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Ortalama Zarar {}%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Ortalama Zarara Direniş {}%
TOOLTIP_PARTY_INFO_GRADE_UP1	Grup üyesi {} den fazla.
TOOLTIP_PARTY_INFO_GRADE_UP2	Saldırı Seviyesi +{}
TOOLTIP_PARTY_INFO_GRADE_UP3	Savunma Seviyesi +{}
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Tüm grup üyelerine 60 dakika HP/SP Yüklenir.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Tüm grup üyelerine 30 dakika HP/SP Yüklenir.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Grup üyesi öldükten sonra 3 dakika beklemelisiniz.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Aynı serverda olduğunuz zaman grup üyelerinizi çağırabilirsiniz.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Saldırı Seviyesi +(Grup üye sayisi./2) {} Saldırı birimi seçilebilir.
TOOLTIP_PARTY_INFO_SET_TANKER	Savunma Seviyesi +(Grup üye sayisi)  1 Yakın Dövüs Savasçısı seçilebilir.
TOOLTIP_PARTY_SKILL_LEVEL	Mevcut Seviye: {}
TOOLTIP_PARTY_TITLE_GRADE_UP	[Saldırı/Savunma yükseltildi]
TOOLTIP_PARTY_TITLE_HEAL	[Yükleme]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	{} Grup üyesi olduğunda {}% bonus EXP alırsın.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Çağır]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Saldırı Birimi olarak ayarla]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Yakın Dövüş Savaşçısı olarak belirle]
TOOLTIP_PEPSI_EVENT	%5 EXP bonusu ve %5 daha yüksek bir nesne düşürme şansı.
TOOLTIP_PICK_EXP	Puanlar: {} / {}
TOOLTIP_PICK_LEVEL	Seviye: {}
TOOLTIP_PICK_UPGRADE1	Onu oduncuya ver;
TOOLTIP_PICK_UPGRADE2	daha iyi
TOOLTIP_PICK_UPGRADE3	bir kazma alabilmek için.
TOOLTIP_POTION_CURE	Olumsuz sonuçları geri al.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Saldırı Hızı: +{}
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +{}%
TOOLTIP_POTION_PLUS_HP_POINT	HP: +{}
TOOLTIP_POTION_PLUS_MOVING_SPEED	Hareket Hızı: +{}
TOOLTIP_POTION_PLUS_SP_PERCENT	SP: +{}%
TOOLTIP_POTION_PLUS_SP_POINT	SP: +{}
TOOLTIP_POTION_SEC	Sn.
TOOLTIP_POTION_TIME	Süre:
TOOLTIP_PVP_TOURNAMENT_ENTER	PvP turnuvasına katıl
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	PvP Turnuvası EXP +{}%
TOOLTIP_REQUIREMENT_21_LEVEL	21.Seviyeye ulaşmış olmalısın.
TOOLTIP_REQUIREMENT_41_LEVEL	41.Seviyeye ulaşmış olmalısın.
TOOLTIP_REQUIREMENT_LEVEL	{}.Seviyeye ulaşmış olmalısın.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	{} Seviye {} gerekli.
TOOLTIP_REQUIREMENT_STAT_LEVEL	{} {} gerekli
TOOLTIP_RESIST_BOW	Ok Savunması {}%
TOOLTIP_RESIST_DARK	Karanlık Direnci +{}%
TOOLTIP_RESIST_EARTH	Dünya Direnci +{}%
TOOLTIP_RESIST_ELEC	Şimseğe karşı dayanıklılık {}%
TOOLTIP_RESIST_FIRE	Ateşe karşı dayanıklılık {}%
TOOLTIP_RESIST_ICE	Buz Direnci +{}%
TOOLTIP_RESIST_MAGIC	Büyüye karşı dayanıklılık {}%
TOOLTIP_RESIST_MAGIC_REDUCTION	Büyü bozma {}%
TOOLTIP_REST_USABLE_COUNT	Kalan: {}
TOOLTIP_SEALED	Ruha bağlı
TOOLTIP_SELLPRICE	Fiyat: {}
TOOLTIP_SET_ITEM	Set Bonusu
TOOLTIP_SHAMAN	Şaman
TOOLTIP_SHIELD	Kalkan
TOOLTIP_SHOES	Ayakkabı
TOOLTIP_SKILL	Beceriler
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabı
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldırı Değeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldırı Değeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Saldırı Hızı: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Rakip saldırı değeri: -
TOOLTIP_SKILL_AFFECT_HEAL	Yüklenen HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket Hızı: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakın dövüş saldırılarını yansıtma şansı:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Beden hasarına karşı koyma:
TOOLTIP_SKILL_COOL_TIME	Yükleme Süresi: 
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri Hasarı {}%
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarına karşı koyma {}%
TOOLTIP_SKILL_DURATION	Süre: {} Sn.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Unutkanlığın Kitabı
TOOLTIP_SKILL_LEVEL	Güncel Seviye: {}
TOOLTIP_SKILL_LEVEL_MASTER	Güncel Seviye: {} (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Güncel Seviye: {} (Max. {})
TOOLTIP_SOCKET_EMPTY	Boş
TOOLTIP_SOCKET_REFINABLE_ITEM	[Slotlu Nesne]
TOOLTIP_SP_REGEN	SP Üretimi +{}%
TOOLTIP_STR	Güç +{}
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Süre Yükleme {} sn.
TOOLTIP_TIME_CHARGER_PER	Süre Yükleme {}%
TOOLTIP_UNIQUE	Eşsiz
TOOLTIP_UNSEAL_LEFT_TIME	Ruhtan ayrılma: {}H {}M sonra
TOOLTIP_WARRIOR	Savaşçı
TOOLTIP_WEAPON	Silah
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Bileklik
UI_ACCEPT	Kabul
UI_BOLD_FONT	Roboto:12s
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEF_FONT	Roboto:12s
UI_DEF_FONT_LARGE	Roboto:14s
UI_DEF_FONT_SMALL	Roboto:9s
UI_DENY	Red
UI_ITEM	Resolution
UI_LEFT_TIME	Kalan Zaman: {} Sec.
UI_NEXT	Devam
UI_NEXTPAGE	Devam
UI_NOCONTENTS	İçerik yok
UI_NONAME	isimsiz
UI_OK	OK
UI_POS_UNKNOWN	Bilinmeyen Yer
UI_PREVPAGE	Geri
UI_UNKNOWN	Bilinmeyen
UNLIMIT_ENTER_CZ_QUESTION	Zodyak tapınağına {} dakikalığına girebilirsin. Bunu kullanmak istiyor musun?
UPDATE_TIME	Tarih
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload yeniden başlatılmalı.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload yeniden başlatılmalı.
USE_ITEM_FAILURE_PRIVATE_SHOP	Özel bir dükkân açtığın sürece, nesneleri kullanamazsın.
USE_SKILL_ERROR_UNKNOWN	Bilinmeyen Beceri Hatası: {}
	
ACCE_ABSORB_COST	Absorption price: {}
AFFECT_BLUE_POSSESSION	 Indigo Wolf Soul
AFFECT_LOVE_POINT	Aşk noktaları: {}%
AFFECT_RED_POSSESSION	 Crimson Wolf Soul
BLEND_POTION_NO_INFO	The bonuses are only visible after the purchase.
BLEND_POTION_NO_TIME	The time becomes visible only after the purchase.
CANNOT_CHANGE_FIGHT_MODE	You can't change the fight mode from this map.
CANNOT_TOGGLE_DS_STATE_SO_FAST	The status of the Alchemy can not be changed immediately. Please wait.
CHARACTER_CREATE_APPEARANCE1	Look 1
CHARACTER_CREATE_APPEARANCE2	Look 2
CHARACTER_CREATE_FEMALE	Female
CHARACTER_CREATE_MALE	Male
CHAT_OPEN_EMOJI	Emoji
CHOOSE_YOUR_SKILL_GROUP	Choose your training
CREATE_ERROR_LYCAN_DISABLED	You cannot create a lycan.
CUBE_CONFIRM	Do you really want to craft? The success rate is {}%.
DESTROY	Destroy
DESTROYER	 Destroy
DETAILS_78	Monsterlara karsi güclü
DETAILS_79	Patronlara karsi güclü
DETAILS_80	Metintaslara karsi güclü
DETAILS_TOOLTIP_78	Monsterlara karsi güclü: Monsterlara karsi daha fazla hasar verir.
DETAILS_TOOLTIP_79	Patronlara karsi güclü: Patronlara karsi daha fazla hasar verir.
DETAILS_TOOLTIP_80	Metintaslara karsi güclü: Metintaslara karsi daha fazla hasar verir.
DO_YOU_DESTROY_ITEM	Do you want to DESTROY this item?
DO_YOU_REMOVE_ITEM_FROM_SHOP	Do you want to remove {} from your shop?
DO_YOU_WANT_TO_OPEN_THIS_WEB_LINK	Are you sure that you want to open up this link? 
EMOTION_THROW_MONEY	Zengin
EMOTION_THROW_MONEY_DESC	Throws 1000 Coins and distribut them (with a charge) to the player nearby
ENTER_THE_NAME_FOR_YOUR_PRESET	Name your preset:
