ACCE_ABSORB_COST	Pret Absorbtie: {}
SHOP_INVENTORY_FULL	Nu mai existг loc оn inventar.
SHOP_LIMITED_DATA_LOADING	Se оncarcг. Te rugгm sг оncerci mai tвrziu.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Obiecte rгmase: {}
SHOP_LIMITED_PURCHASE_OVER	Vвndut
SHOP_LIMIT_TODAY	Limitг zilnicг: {} / {}
SHOP_MY_BATTLE_POINT	Puncte de luptг: {}
SHOP_NOT_ENOUGH_10TH_COIN	Nu ai suficiente Monede Aniversare
SHOP_NOT_ENOUGH_BATTLE_POINT	Nu ai suficiente puncte de luptг.
SHOP_NOT_ENOUGH_MONEY	Yang insuficienюi
SHOP_NOT_ENOUGH_CASH	Coins insuficienюi
SHOP_NOT_ENOUGH_MONEY_EX	Nu ai suficient {}.
SHOP_SELL_INFO	Alege Obiectul pe care vrei sг-l vinzi din fereastra inventarului tгu.
SHOP_SOLDOUT	Vвndut
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: {}
SKILL_BLEEDING	Sangerare
SKILL_BOHO	Reflectare
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ai nevoie de EXP pentru a оnvгюa calificarea aceasta.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ai nevoie de o carte pentru a оnvгюa aceastг calificare.
SKILL_CHEONGEUN	Corp puternic
SKILL_CRITICAL	Loviturг criticг
SKILL_ENCHANT_POISON	Foloseєte otravг
SKILL_EUNHYEONG	Invizibil
SKILL_FAINT	Necunoєtiinюг
SKILL_FIND_TRAP	Cautг capcanг
SKILL_FIRE	Foc Permanent
SKILL_FISHMIND	Marmura de pescuit este activг
SKILL_GAMJI	Оnregistrare
SKILL_GEOMGYEONG	Aura sabiei
SKILL_GICHEON	Ajutorul Dragonului
SKILL_GIGONG	Rotaюia Chi
SKILL_GONGPO	Fricг
SKILL_GRADE_NAME_GRAND_MASTER	{} Mare maestru
SKILL_GRADE_NAME_MASTER	{} Maestru
SKILL_GRADE_NAME_PERFECT_MASTER	{} maestru perfect
SKILL_GROUP_ASSASSIN_1	Lamг
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Cгlгrie
SKILL_GROUP_SHAMAN_1	Zmeu
SKILL_GROUP_SHAMAN_2	Vindecare
SKILL_GROUP_SURA_1	Arme
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Corp
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Lamг fermecatг
SKILL_GYEONGGONG	Uєurare
SKILL_HEUKSIN	Protecюie оntunecatг
SKILL_HOSIN	Binecuvвntare
SKILL_INC_ATKSPD	Viteza de atac a crescut
SKILL_INC_MOVSPD	Viteza de miєcare a crescut
SKILL_JEOJU	Blestem
SKILL_JEONGEOP	Vindecare
SKILL_JEONGWI	Iureє
SKILL_JEONSINBANGEO	Apгrare deplinг
SKILL_JEONSINGONGGYEOK	Atac deplin
SKILL_JEUNGRYEOK	Atac +
SKILL_JEUNGSOK	Vitezг +
SKILL_JUMAGAP	Armurг fermecatг
SKILL_KWAESOK	Repeziciune
SKILL_MUYEONG	Spiritul focului
SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlг goalг.
SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlг de otravг.
SKILL_ONLY_FOR_GUILD_WAR	Poюi folosi aceastг calificare doar оntr-un rгzboi de bresle.
SKILL_PABEOP	Alungг vraja.
SKILL_POWERFUL_STRIKE	Atac anestezie
SKILL_SEOMGWANG	Bombг fulger
SKILL_SLEEP	Somn
SKILL_SLOW	Оncet
SKILL_STUN	Anestezia
SKILL_SUHO	Paznic
SKILL_SUMMON_DESCRIPTION	Єansa incantaюiei: {}%
SKILL_TOOLTIP_INT	Inteligenюг
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Otrгvire
SKILL_TOXICPOWER	Atac otrгvitor оmbunгtгюit
SKILL_TUSOK	Loviturг de stafie
SOUL_ITEM_TOOLTIP_APPLY	Efectul este activat
SOUL_ITEM_TOOLTIP_BLUE1	Timp de joc: {}/{} min. 
SOUL_ITEM_TOOLTIP_BLUE2	Daune abilitate crescute cu x{:.1f} pentru timpul jucat
SOUL_ITEM_TOOLTIP_COMMON	Nu єi pentru PvP, Transformare
SOUL_ITEM_TOOLTIP_RED1	Timp de joc: {}/{} min. 
SOUL_ITEM_TOOLTIP_RED2	Daune atac crescut cu x{:.1f} pentru timpul jucat
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Atacuri rгmase: {}
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Spiritul expirг оn
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efectul nu este activat
SOUL_REFINE_FAILURE	Rafinarea a eєuat.
SOUL_REFINE_SUCCESS	Rafinare reuєitг!
STAT_MINUS_CON	Adaptarea Vitalitгюii (Єansa rгmasг: {})
STAT_MINUS_DEX	Adaptarea Dexteritгюii (Єansa rгmasг: {})
STAT_MINUS_INT	Adaptarea inteligenюei (Єansa rгmasг: {})
STAT_MINUS_STR	Ajustarea Puterii (Єansг rгmasг: {})
STAT_TOOLTIP_CON	Creєte PV єi apгrarea
STAT_TOOLTIP_DEX	Creєte atacul єi evadarea
STAT_TOOLTIP_INT	Creєte PM, atacul magic єi apгrarea
STAT_TOOLTIP_STR	Creєte valoarea atacului єi daunele
SYMBOLLIST_TITLE	Anunюг steagul breslei
SYSTEM_OPTION_CPU_TILING_1	Modul CPU-Tiling poate оmbunгtгюi vinteza unui computer mai slab.
SYSTEM_OPTION_CPU_TILING_2	Dacг apar probleme cu grafica, alege ,System Option‘ sau ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	єi treci astfel оn modul GPU-Tiling
SYSTEM_OPTION_GPU_TILING_1	Modul GPU-Tiling poate rula mai оncet pe un computer mai slab
SYSTEM_OPTION_GPU_TILING_2	"Dacг sunt probleme cu grafica, ""System Options"" sau ""CONFIG.exe"""
SYSTEM_OPTION_GPU_TILING_3	єi treci astfel оn modul GPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Pentru trecerea оn modul Placare, jocul trebuie re-pornit.
TARGET_BUTTON_ACCEPT_FIGHT	Aprobг
TARGET_BUTTON_AVENGE	Rгzbunare
TARGET_BUTTON_BLOCK	Blocheazг
TARGET_BUTTON_BLOCK_REMOVE	Deblocheazг
TARGET_BUTTON_BUILDING_DESTROY	Distruge
TARGET_BUTTON_DISMOUNT	Descalecг
TARGET_BUTTON_EMOTION_ALLOW	Emoюii
TARGET_BUTTON_EXCHANGE	Negociazг
TARGET_BUTTON_EXCLUDE	Exclude
TARGET_BUTTON_EXIT_OBSERVER	Оnchide modul spectator
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Prieten
TARGET_BUTTON_INVITE_GUILD	Invitaюia breslei
TARGET_BUTTON_INVITE_PARTY	Invitaюia grupei
TARGET_BUTTON_LEAVE_PARTY	Pгrгseєte grupa
TARGET_BUTTON_REQUEST_ENTER_PARTY	Alгturг-te grupei
TARGET_BUTTON_REVIVE	Оnvie
TARGET_BUTTON_VIEW_EQUIPMENT	Armament
TARGET_BUTTON_WHISPER	Єoaptг
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Categoria 5.
TARGET_LEVEL_KNIGHT	Categoria 3.
TARGET_LEVEL_PAWN	Categoria 1
TARGET_LEVEL_S_KNIGHT	Categoria 4
TARGET_LEVEL_S_PAWN	Categoria 2
TARGET_TOOLTIP_ATTACK_COUNT	Lovituri Totale: {}
TASKBAR_ATTACK	Atacг
TASKBAR_AUTO	Atacг automat
TASKBAR_CAMERA	Camerг
TASKBAR_EXP	Experienюг
TASKBAR_HP	PV
TASKBAR_MOVE	Miєca
TASKBAR_SKILL	Calificare
TASKBAR_SP	PM
TASKBAR_ST	AP
TENTH_COIN	Monede Aniversare
TENTH_EVENT_ASK_EXCHANGE	Ai nevoie de {} Steaguri Aniversare. Doreєti sг continui?
THING_COUNT	x
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Reduce dauna
TOOLTIP_AFFECT_CONFUSION	Eєti in stare de necunoєtinюг.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Reduce єansa la loviturг criticг
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Marca Gardienilor
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Raza hidro nu a putut fi opritг.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Reduce apгrarea
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Fulger
TOOLTIP_AFFECT_MOUNT_FALL	Alunecare de pe mount
TOOLTIP_AFFECT_POLYMORPH	Transformг
TOOLTIP_AFFECT_RCAST_SPEED	Mгreєte calmarea
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elixirul Explorгrii
TOOLTIP_AFFECT_RHP_REGEN	Nu se poate regenera
TOOLTIP_ANTI_CRITICAL_PCT	Rezistenюг la lovitura criticг +{}%
TOOLTIP_ANTI_PENETRATE_PCT	Rezistenюг la lovitura pгtrunzгtoare +{}%
TOOLTIP_ANTI_SELL	Nu poate fi vвndut оn magazin.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Ratг de absorbюie: {}%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Tare оmpotriva Rathalos +{}%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Tare оmpotriva ninja +{}%
TOOLTIP_APPLY_ATTBONUS_BELL	Vulnerabil Apгrare Clopot +{}%
TOOLTIP_APPLY_ATTBONUS_BOW	Vulnerabil Apгrare Sгgeatг +{}%
TOOLTIP_APPLY_ATTBONUS_CLAW	Vulnerabil Apгrare Ghearг +{}%
TOOLTIP_APPLY_ATTBONUS_CZ	Tare оmpotriva Monєtrilor Zodiac +{}%
TOOLTIP_APPLY_ATTBONUS_DAGGER	Vulnerabil Apгrare Pumnal +{}%
TOOLTIP_APPLY_ATTBONUS_DESERT	Tare оmpotriva Monєtrilor Deєertului +{}%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Tare оmpotriva diavolului +{}%
TOOLTIP_APPLY_ATTBONUS_FAN	Vulnerabil Apгrare Evantai +{}%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Tare оmpotriva semi-oamenilor +{}%
TOOLTIP_APPLY_ATTBONUS_INSECT	Tare оmpotriva Insectelor +{}%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Tare оmpotriva Gods +{}%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Tare оmpotriva monєtrilor +{}%
TOOLTIP_APPLY_ATTBONUS_ORC	Tare оmpotriva Fatalis +{}%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Tare оmpotriva єamanilor +{}%
TOOLTIP_APPLY_ATTBONUS_SURA	Tare оmpotriva sura +{}%
TOOLTIP_APPLY_ATTBONUS_SWORD	Vulnerabil Apгrare Sabie +{}%
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Vulnerabil Apгrare Douг Mвini +{}%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Puternic оmpotriva vampirilor +{}%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Tare оmpotriva rгzboinicilor +{}%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Puternic impotriva Lycanilor + {}%
TOOLTIP_APPLY_BLEEDING_PCT	Atac sangeros + {}%
TOOLTIP_APPLY_BLEEDING_REDUCE	Rezistenta impotriva atacului sangeros + {}%
TOOLTIP_APPLY_BLOCK	Єansa de a bloca un atac corporal +{}%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Reface оn luptг PM la interval de 5 sec. {}
TOOLTIP_APPLY_CRITICAL_PCT	Єansa de loviturг criticг +{}%
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Єansг {}% de a primi оnapoi PM la lovituri reuєite
TOOLTIP_APPLY_DODGE	Єansг {}% de a evita atacul cu sгgeюi
TOOLTIP_APPLY_ENCHANT_DARK	Puterea Оntunecatг +{}%
TOOLTIP_APPLY_ENCHANT_EARTH	Puterea Pгmвntului +{}%
TOOLTIP_APPLY_ENCHANT_ELECT	Puterea Fulgerului +{}%
TOOLTIP_APPLY_ENCHANT_FIRE	Puterea Focului +{}%
TOOLTIP_APPLY_ENCHANT_ICE	Puterea Gheюii +{}%
TOOLTIP_APPLY_ENCHANT_WIND	Puterea Vвntului +{}%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Єansг {}% la bonus-EXP
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Єansг {}% de a arunca de douг ori mai mult Yang
TOOLTIP_APPLY_IMMUNE_FALL	Imun la cгzгturг
TOOLTIP_APPLY_IMMUNE_SLOW	Aparare impotriva incetinirii
TOOLTIP_APPLY_IMMUNE_STUN	Aparare impotriva necunostintei
TOOLTIP_APPLY_ITEM_DROP_BONUS	Єansг {}% de a arunca de 2 ori mai multe obiecte
TOOLTIP_APPLY_KILL_HP_RECOVER	Єansг {}% de a reface PV
TOOLTIP_APPLY_KILL_SP_RECOVER	Єansг {}% de a reface PM
TOOLTIP_APPLY_MANA_BURN_PCT	{}% єansг de a jefui SP
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +{}%
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +{}%
TOOLTIP_APPLY_NOAFFECT	Fгrг efect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nu vei pierde puncte de experienюг dacг iti vei invia caracterul in locul in care a murit.
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Zeul Dragon te ia sub aripile sale protectoare. Dacг vei оnvia pe navг, nu vei pierde puncte de experienюг.
TOOLTIP_APPLY_PENETRATE_PCT	Єansг {}% la lovituri pгtrunzгtoare
TOOLTIP_APPLY_POISON_PCT	Єansг de otrгvire {}%
TOOLTIP_APPLY_POISON_REDUCE	Rezistenюa la otravг {}%
TOOLTIP_APPLY_POTION_BONUS	{}% creєtere efect al licorii
TOOLTIP_APPLY_REFLECT_CURSE	Єansa {}% de a reflecta un blestem
TOOLTIP_APPLY_REFLECT_MELEE	{}% єansг de a reflecta loviturile atacului corporal
TOOLTIP_APPLY_RESIST_ASSASSIN	Єansa de apгrare оmpotriva atacului ninja {}%
TOOLTIP_APPLY_RESIST_BELL	Apгrare clopot {}%
TOOLTIP_APPLY_RESIST_CLAW	Apгrare Ghearг +{}%
TOOLTIP_APPLY_RESIST_DAGGER	Apгrare pumnal {}%
TOOLTIP_APPLY_RESIST_FAN	Apгrare evantai {}%
TOOLTIP_APPLY_RESIST_HUMAN	Rezistenюг vs Semi-Oameni {}%
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Rezistenюг la alunecare +{}%
TOOLTIP_APPLY_RESIST_SHAMAN	Єansa de apгrare оmpotriva atacului єamanilor {}%
TOOLTIP_APPLY_RESIST_SURA	Єansa de apгrare оmpotriva atacului sura {}%
TOOLTIP_APPLY_RESIST_SWORD	Apгrare cu sabia {}%
TOOLTIP_APPLY_RESIST_TWOHAND	Apгrare cu douг mвini {}%
TOOLTIP_APPLY_RESIST_WARRIOR	Sansa de aparare impotriva atacului razboinicilor: {}%
TOOLTIP_APPLY_RESIST_WIND	Rezistenюa vвntului {}%
TOOLTIP_APPLY_RESIST_WOLFMAN	Sansa de aparare impotriva atacului Lycan {}%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Єansa de a оnvгюa din cгrюi de 2,5 ori mai bunг.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Dacг оnvгюatul nu reuєeєte, ai оncг o оncercare gratuitг.
TOOLTIP_APPLY_SLOW_PCT	Єansг de оncetinire {}%
TOOLTIP_APPLY_STEAL_HP	{}% daune vor fi absorbite de PV.
TOOLTIP_APPLY_STEAL_SP	{}% daune vor fi absorbite de PM.
TOOLTIP_APPLY_STUN_PCT	Єansa de blocare {}%
TOOLTIP_ARMOR	Armurг
TOOLTIP_ARROW	Sгgeatг
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valoarea atacului +{}
TOOLTIP_ATT_SPEED	Viteza de atac +{}%
TOOLTIP_ATT_SPEED_SLOW	Viteza atacului redusг
TOOLTIP_AUTO_POTION_HP	Elixirul Soarelui
TOOLTIP_AUTO_POTION_REST	A mai ramas: {:.2f}%
TOOLTIP_AUTO_POTION_SP	Elixirul Lunii
TOOLTIP_AUTO_POTION_USING	Activ
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Atac-Automat
TOOLTIP_BATTLE_POTION	Zonг de Rгzboi Licoare de Luptг
TOOLTIP_BOW_DISTANCE	Autonomia arcului +{}m
TOOLTIP_BUYPRICE	Preю: {}
TOOLTIP_CAST_SPEED	Viteza farmecului +{}%
TOOLTIP_CON	Vitalitate +{}
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costum {}%
TOOLTIP_DEF_GRADE	Apгrare +{}
TOOLTIP_DEX	Dexteritate +{}
TOOLTIP_DRAGON_SOUL_DECK1	Cer
TOOLTIP_DRAGON_SOUL_DECK2	Pгmвnt
TOOLTIP_DS_SET	Efect Set SPD
TOOLTIP_EAR	Cercel
TOOLTIP_ENERGY	Energie {}
TOOLTIP_ETC	etc.
TOOLTIP_EXP_BONUS_EVENT	EXP +{}%
TOOLTIP_FISHINGROD_EXP	Puncte: {} / {}
TOOLTIP_FISHINGROD_LEVEL	Nivel: {}
TOOLTIP_FISHINGROD_UPGRADE1	Dг-o pescarului
TOOLTIP_FISHINGROD_UPGRADE2	pentru a realiza din ea
TOOLTIP_FISHINGROD_UPGRADE3	undiюг
TOOLTIP_FISH_LEN	Lungime: {:.2f} cm
TOOLTIP_GUILD_SKILL_ACCEL	Accelerare +{}
TOOLTIP_GUILD_SKILL_BLESS	Binecuvвntarea Zeului Dragon +{}
TOOLTIP_GUILD_SKILL_BLOOD	Sвngele Zeului Dragon +{}
TOOLTIP_GUILD_SKILL_BUNNO	Mвnia Zeului Dragon +{}%
TOOLTIP_GUILD_SKILL_JUMUN	Ajutor Fermecat +{}%
TOOLTIP_GUILD_SKILL_SEONGHWI	Armurг Sfвntг +{}
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% drop obiecte | +10% putere оmpotriva monєtrilor
TOOLTIP_HELMET	Coif
TOOLTIP_HP_REGEN	Regenerarea PV +{}%
TOOLTIP_INT	Inteligenюг +{}
TOOLTIP_ITEM_ATT_GRADE	Valoarea atacului {}
TOOLTIP_ITEM_ATT_POWER	Valoarea atacului {} - {}
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valoarea atacului {}
TOOLTIP_ITEM_ATT_POWER_REFINE	Valoarea atacului {} - {} (+{})
TOOLTIP_ITEM_ATT_SPEED	Viteza de atac {}
TOOLTIP_ITEM_DEF_GRADE	Apгrare {}
TOOLTIP_ITEM_FAST	Repede
TOOLTIP_ITEM_LIMIT_CON	Limita superioarг a vitalitгюii {}
TOOLTIP_ITEM_LIMIT_DEX	Limita Superioarг a Dexteritгюii: {}
TOOLTIP_ITEM_LIMIT_INT	Limita superioarг a inteligenюei: {}
TOOLTIP_ITEM_LIMIT_LEVEL	De la nivelul: {}
TOOLTIP_ITEM_LIMIT_MAX_LEVEL	Sus la nivelul: {}´
TOOLTIP_ITEM_LIMIT_MAP	Zonă: {}´
TOOLTIP_ITEM_LIMIT_STR	Limita superioarг a Puterii: {}
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valoarea atacului magic {} - {}
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valoarea atacului magic {}
TOOLTIP_ITEM_MAGIC_DEF_POWER	Apгrare magicг {}
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Оncet
TOOLTIP_ITEM_VERY_FAST	Foarte repede
TOOLTIP_ITEM_VERY_SLOW	Foarte оncet
TOOLTIP_ITEM_WEARABLE_JOB	[ echipabil ]
TOOLTIP_LOTTERY_STEP_NUMBER	{}
TOOLTIP_LOTTO_NUMBER	Numгr norocos: {}
TOOLTIP_MAGIC_ATTBONUS_PER	Atac magic +{}%
TOOLTIP_MAGIC_ATT_GRADE	Valoarea atacului magic +{}
TOOLTIP_MAGIC_DEF_GRADE	Apгrare magicг +{}
TOOLTIP_MALL_ATTBONUS	Valoarea atacului +{}%
TOOLTIP_MALL_ATTBONUS_STATIC	Valoarea Atacului
TOOLTIP_MALL_AUTOLOOT	Yang este оnsuєit automat.
TOOLTIP_MALL_DEFBONUS	Apгrare +{}%
TOOLTIP_MALL_DEFBONUS_STATIC	Apгrare 
TOOLTIP_MALL_EXPBONUS	EXP +{}%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +{}%
TOOLTIP_MALL_EXPBONUS_STATIC	50% mai mult EXP
TOOLTIP_MALL_FISH_MIND	Єansa de a prinde un peєte este mai mare.
TOOLTIP_MALL_GOLDBONUS	Sansa de drop Yang crescuta cu {}%
TOOLTIP_MALL_GOLDBONUS_STATIC	Dubleaza sansa de drop Yang
TOOLTIP_MALL_ITEMBONUS	{}% Procent de scădere a articolului întărit
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Єansa iCafe de a captura obiecte plus {:.1f}%
TOOLTIP_MALL_ITEMBONUS_STATIC	Єansг dublг drop obiecte
TOOLTIP_MALL_MARRIAGE_FAST	Punctele de dragoste cresc mai repede.
TOOLTIP_MALL_SAFEBOX	Mai mult spaюiu de depozitare stг la dispoziюie.
TOOLTIP_MAX_HP	Max. PV +{}
TOOLTIP_MAX_HP_PCT	Max. PV +{}%
TOOLTIP_MAX_SP	Max. PM +{}
TOOLTIP_MAX_SP_PCT	Max. PM +{}%
TOOLTIP_MAX_STAMINA	Rezistenюг max. +{}
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Atac cu arma/magic +{}%
TOOLTIP_MEMORIZED_POSITION	{}({}, {})
TOOLTIP_MEMORIZED_POSITION_ERROR	EROARE-GPS({}, {})
TOOLTIP_MOV_SPEED	Viteza de miєcare {}%
TOOLTIP_NECK	Colier
TOOLTIP_NEED_ALL_SP	PM necesare: Max.
TOOLTIP_NEED_GSP	Spirit Dragon necesar: {}
TOOLTIP_NEED_HP	PV necesare: {}
TOOLTIP_NEED_HP_PER_SEC	PV/Sec.: {}
TOOLTIP_NEED_SKILL_POINT	Puncte de calificare necesare:
TOOLTIP_NEED_SP	PM necesare: {}
TOOLTIP_NEED_SP_PER_SEC	SP/Sec.: {}
TOOLTIP_NEXT_SKILL_LEVEL_1	Nivelul urmгtor: {} (Max. {})
TOOLTIP_NEXT_SKILL_LEVEL_2	Nivelul urmгtor: {} (Max. {}-{})
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Paguba medie {}%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Rezistenюa medie la pagubг {}%
TOOLTIP_PARTY_INFO_GRADE_UP1	Peste {} membri ai grupei
TOOLTIP_PARTY_INFO_GRADE_UP2	Categoria de atac +{}
TOOLTIP_PARTY_INFO_GRADE_UP3	Categoria de aparare +{}
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	PV/PM ale tuturor membrilor grupei reоnnoite odatг оn 60 de minute.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	PV/PM ale tuturor membrilor grupei reоnnoite odatг оn 30 de minute.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Trebuie sг aєtepюi 3 minute dupг moartea membrului grupei.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Poюi striga оncoace oricвnd membri ai grupei de pe acelaєi server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Categoria de atac +(Membri grupei/2) {} atacatorii pot fi alesi.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivelul de aparare +(Numгrul Membri grupei) luptгtorii cu sabia 1 pot fi aleєi.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: {}
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atac/apгrare оmbunгtгюit]
TOOLTIP_PARTY_TITLE_HEAL	[Reface]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mai mult de {} membri ai grupei oferг {}% EXP-bonus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Strigг оncoace]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Stabileєte atacatorul]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Stabileєte luptгtor cu sabia]
TOOLTIP_PEPSI_EVENT	5% bonus de EXP єi 5% єansг mгritг de colectare obiecte.
TOOLTIP_PICK_EXP	Puncte: {} / {}
TOOLTIP_PICK_LEVEL	Nivel: {}
TOOLTIP_PICK_UPGRADE1	Dг-o tгietorului de lemne
TOOLTIP_PICK_UPGRADE2	pentru a realiza din ea
TOOLTIP_PICK_UPGRADE3	Tвrnгcop
TOOLTIP_POTION_CURE	Anuleazг efectele negative.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Viteza de atac +{}
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +{}%
TOOLTIP_POTION_PLUS_HP_POINT	PV +{}
TOOLTIP_POTION_PLUS_MOVING_SPEED	Viteza de miєcare +{}
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +{}%
TOOLTIP_POTION_PLUS_SP_POINT	SP +{}
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_PVP_TOURNAMENT_ENTER	Intrг la Turneul PvP
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	EXP Turneu PvP +{}%
TOOLTIP_REQUIREMENT_21_LEVEL	Trebuie sг fi atins nivelul 21
TOOLTIP_REQUIREMENT_41_LEVEL	Trebuie sг fi atins nivelul 41
TOOLTIP_REQUIREMENT_LEVEL	Trebuie sг fi atins nivelul {}
TOOLTIP_REQUIREMENT_SKILL_LEVEL	{} nivelul {} necesar
TOOLTIP_REQUIREMENT_STAT_LEVEL	{} {} necesar
TOOLTIP_RESIST_BOW	Apгrare Sгgeatг {}%
TOOLTIP_RESIST_DARK	Rezistenta la intunecare +{}%
TOOLTIP_RESIST_EARTH	Rezistenta pamant +{}%
TOOLTIP_RESIST_ELEC	Rezistenюa la fulger {}%
TOOLTIP_RESIST_FIRE	Rezistenюa la foc {}%
TOOLTIP_RESIST_ICE	Rezistenta gheata +{}%
TOOLTIP_RESIST_MAGIC	Rezistenюa la magie {}%
TOOLTIP_RESIST_MAGIC_REDUCTION	Penetrare magica de {}%
TOOLTIP_REST_USABLE_COUNT	Rгmas: {}
TOOLTIP_SEALED	Personalizat
TOOLTIP_SELLPRICE	Preю: {}
TOOLTIP_SET_ITEM	Set Bonus
TOOLTIP_SHAMAN	Єaman
TOOLTIP_SHIELD	Scut
TOOLTIP_SHOES	Papuci
TOOLTIP_SKILL	Abilitate
TOOLTIP_SKILLBOOK_NAME	Cartea Abilitгюii
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valoarea atacului: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valoarea atacului:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Viteza de atac: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Apгrare:
TOOLTIP_SKILL_AFFECT_DODGE	Valoarea atacului inamic: -
TOOLTIP_SKILL_AFFECT_HEAL	Reоnnoieєte PV:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Viteza de miєcare: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Єansa de a evita un atac corporal:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Rezistenюг la pagubг corporalг:
