%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Du musst %d weitere Fertigkeitsbücher lesen, um diese Fertigkeit zu verbessern. 
%d 냥을 투자하셨습니다.	Du hast %d Yang investiert. 
%d 냥을 획득하셨습니다.	Du hast %d Yang gewonnen. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Du musst Level %d erreichen, um dein Haar wieder färben zu können. 
%d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Minuten %d Sekunden. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Minuten %d Sekunden. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Sekunden 
%d 종류 %d 마리 낚음	Du hast %d von %d gefangen. 
%d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Sekunden 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Nach %d Sekunden kann der Segen des Kaisers verwendet werden. 
%d 초간 쿨타임이 적용중입니다.	Cooldown-Zeit ungefähr %d Sekunden 
%d 초후 목적지로 이동됩니다.	%d Sekunden nach dem Ausführen kommst du zu dem Bestimmungsort. 
%d%% 확률로 관통 공격	Durchdringender Angriff mit einer Chance von %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Erfahrungserhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Erhöhung des erbeuteten Yang um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance, nach dem Sieg über einen Gegner Trefferpunkte aufzufüllen. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Erhöhung der erbeuteten Gegenstände um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 정신력 회복	Manaerhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 치명타 공격	Kritischer Angriff mit einer Chance von %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mit einer Wahrscheinlickeit von %d%% wird Mana vom Gegner genommen. 
%d%% 확률로 피해시 정신력 회복	Absorb mit einer Wahrscheinlichkeit von %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Spielzeit wird deinem Konto hinzugefügt. (Zahlung Nr. %d) 
%d의 경험치를 획득했습니다.	Du hast %d Erfahrungspunkte erhalten. 
%d초 남았습니다.	%d Sekunden bis zum Beenden. 
%d초 만큼 충전되었습니다.	%d Sekunden wurden aufgeladen. 
%d초 후 게임이 셧다운 됩니다.	Nach %d Sekunden wird das Spiel beendet. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Verbrauch: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Zahl heiligen Boden %d 
%s 군주 후보에서 삭제하였습니다	%s ist als Kaiserkandidat gelöscht. 
%s 군주로 입명 했습니다.	%s ist als Kaiser nominiert. 
%s 군주르 제거 하였습니다..	Der %s Kaiser wird entfernt. 
%s 군주를 제거 할수 없습니다.	Der %s Kaiser kann nicht entfernt werden. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Die Gilde %s hat der Gilde %s den Krieg erklärt! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s hat den Gildenkrieg gegen %s gewonnen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s hat die Fahne von %s erobert! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Der Gildenkrieg zwischen %s und %s endet unentschieden. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Der Gildenkrieg zwischen %s und %s wurde abgebrochen. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Der Gildenkrieg zwischen %s und %s beginnt in wenigen Minuten! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Der Gildenkrieg zwischen %s und %s hat begonnen! 
%s 길드의 %s이 %d%% 증가했습니다!	%s der Gilde %s ist um %d%% angestiegen! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s der Gilde %s hat sich normalisiert. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Die Flagge der Gilde %s wurde von Spieler %s gestohlen. 
%s 는 군주 후보가 아닙니다.	%s ist kein Kandidat für die Kaiserwahl. 
%s 는 군주로 입명할수 없습니다 .	%s kann nicht als Kaiser nominiert werden. 
%s 님과의 교환이 성사 되었습니다.	Der Handel mit %s wurde erfolgreich durchgeführt. 
%s 님에게 파티가입 신청을 했습니다.	Du möchtest der Gruppe von %s beitreten. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s hat die Einladung abgelehnt. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Der Spieler %s befindet sich gerade auf Channel %d. (Dein Channel: %d) 
%s 님은 접속되 있지 않습니다.	%s ist nicht online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Spieler ist schon in der Wahl. 
%s 님을 소환하였습니다.	Du hast %s Spieler rekrutiert. 
%s 님이 대련에서 승리하였습니다.	%s hat das Duell gewonnen. 
%s 님이 승리하였습니다.	%s hat gewonnen. 
%s 블럭! (%d%%)	%s blocken! (%d%%) 
%s 아이템 을 획득하셨습니다	Du hast %s Gegenstand gewonnen. 
%s 아이템이 필요합니다	Du brauchst %s. 
%s 에게로 이동합니다	Warpen zu Spieler %s. 
%s 회피! (%d%%)	%s ausweichen! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Diese Gilde existiert nicht. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Angriffsposition: %d %d 
%s님과의 대결 시작!	Der Kampf mit %s hat begonnen! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s hat dich zum Kampf aufgefordert! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s hat gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
%s를 구웠습니다.	Du röstest %s über dem Feuer. 
%s에 박혀있던 보석이 사라집니다.	Ein Edelstein aus %s ist verschwunden. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ein Lagerfeuer wurde bei %s entzündet, um vor einer Schlacht zu warnen. 
%s에게 대결신청을 했습니다.	Du hast %s zum Kampf aufgefordert. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Es gibt in %s einen Krieg um die Leuchtfeuer zu entzünden. 
%s에서 소켓 빠질때까지 남은 시간 %d	Bis zur Fassungsentfernung von %s verbleibende Zeit: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s ist um %d%% angestiegen! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s hat sich normalisiert. 
%s의 군주가 %s 님으로 교체되었습니다.	Der Kaiser von %s wurde geändert in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s hat alle Lagerfeuer zerstört. 
%s이 봉화를 파괴했습니다.	%s hat das Lagerfeuer zerstört. 
%s이 수성에 성공했습니다.	%s ist die Verteidigung gelungen. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s hat den Krieg verloren, da sie das Schloss nicht verteidigen konnten. 
%s이 필요합니다.	Für diese Aktion benötigst du: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) wurde erstellt. [Temporär] 
Easter dungeon: Kill all metin stones!	Töte alle Metinsteine!
Easter dungeon: 15 minutes left!	Du hast noch 15 Minuten
Easter dungeon: 10 minutes left!	Du hast maximal 60 Minuten Zeit!
Easter dungeon: 5 minutes left! The time is running out!	Du hast nur noch 5 Minuten
Easter dungeon: 1 minutes left! You're almost failed!	Du hast nur noch 1 Minute
Easter dungeon: You will be teleported out of dungeon!	Du wirst jetzt aus dem Dungeon rausteleportiert!

Jagras: Kill all owls	Jagras: Tötet alle Eulen.
Jagras: You have killed all monsetrs.	Jagras: Du hast alle Monster getötet.
Jagras: Now place %s to the totem and destroy it!	Jagras: Ziehe jetzt %s auf das Totem und zerstöre es!
Jagras: You still have to kill %s mobs to get a key.	Jagras: Du musst immer noch %s Monster töten, um einen Schlüssel zu bekommen.
Jagras: Something happened...	Jagras: Etwas ist passiert...
Jagras: This key doesn't works. Next %s are coming!!	Jagras: Dieser Schlüssel funktioniert nicht. Die nächsten % kommen.
Jagras: Kill them fast!!	Jagras: Tötet sie schnell!!
Jagras: You have killed all monsetrs.	Jagras: Du hast alle Monster getötet.
Jagras: Now place %s to the totem and destroy it!	Jagras: Ziehe jetzt %s auf das Totem und zerstöre es!
Jagras: You still have to kill %s mobs to get a key.	Jagras: Du musst immer noch %s Mobs töten, um einen Schlüssel zu bekommen.
Jagras: Destroy the metin in 2 minutes!!	Jagras: Zerstöre den Metin in 2 Minuten!
Jagras: If you won't destroy it in 2 minutes,	Jagras: Wenn du es nicht in 2 Minuten zerstörst,
Jagras: you will be out of the dungeon.	Jagras: wirst du aus dem Dungeon teleportiert.
Jagras: You succesfuly destroyed the metin!	Jagras: Du hast erfolgreich den Metin zerstört!
Jagras: Monsters are coming!!	Jagras: Monster kommen!
Jagras: Kill them all!	Jagras: töte sie alle!!
Jagras: 4 metin stones left!	Jagras: 4 Metinsteine sind übrig!
Jagras: 3 metin stones left!	Jagras: 3 Metinsteine sind übrig!
Jagras: 2 metin stones left!	Jagras: 2 Metinsteine sind übrig!
Jagras: 1 metin stone left!	Jagras: 1 Metinstein ist noch übrig!
Jagras: You've destroyed all metin stones.	Jagras: Du hast alle Metinsteine zerstört.
Jagras: The gate to next floor is open!	Jagras: Das Tor zum nächsten Stockwerk ist offen!
Jagras: You've found first ingredient!	Jagras: Du hast die erste Zutat gefunden!
Jagras: Be careful! Owls are coming!	Jagras: Seid vorsichtig! Eulen kommen!
Jagras: Kill them all!	Jagras: Tötet sie alle!
Jagras: There was nothing in this metin.	Jagras: Es gab nichts in diesem Metin.
Jagras: Suran was defeated!	Jagras: Suran wurde besiegt!.
Jagras: You get another ingredient!	Jagras: Du bekommst eine weitere Zutat!.
Jagras: Lira is alive thanks to you!	Jagras: Lira lebt dank dir!
Jagras: Final floor is open now!	Jagras: Der letzte Stock ist jetzt offen!
Jagras: 3 statues has left!	Jagras: Es sind noch 3 Statuen übrig!
Jagras: 2 statues has left!	Jagras: Es sind noch 2 Statuen übrig!
Jagras: 1 statue has left!	Jagras: Es sind noch 1 Statuen übrig!
Jagras: All statues was destroyed!	Jagras: Alle Statuen wurden zerstört!
Jagras: Monsters are coming!	Jagras: Die Monster kommen!
Jagras: Kill them all!	Jagras: Tötet sie alle!
Jagras: Perfect! Be prepared!	Jagras: Perfekt! Mach dich bereit!
Jagras: Jagras-Mu-Tai is coming!!!	Jagras: Jagras-Mu-Tai kommt!!
Jagras: You succesfully finished the dungeon!	Jagras: Du hast den Dungeon erfolgreich beendet!
Jagras: You will be teleported in 2 minutes	Jagras: Du wirst in 30 Sekunden aus dem Dungeon teleportiert.
Jagras: out of dungeon.	Jagras: aus dem Dungeon teleportiert.
Jagras: You have killed all monsetrs!	Jagras: Du hast alle Monster getötet!
Jagras: Watch out! Stronger monsters are coming!	Jagras: Aufgepasst! Stärkere Monster kommen!.
Jagras: You still have to kill %s mobs to move on.	Jagras: Du musst immer noch %s Monster töten, um weiterzukommen.
Jagras: You have killed all monsetrs!	Jagras: Du hast alle Monster getötet!.
Jagras: Destroy all metin stones!	Jagras: Zerstöre alle Metinsteine!.
Jagras: You still have to kill %s mobs to move on.	Jagras: Du musst immer noch %s Monster töten, um weiterzukommen.
Jagras: Suran is here!	Jagras: Suran ist hier!.
Jagras: Defeat him!	Jagras: Töte ihn!.
Jagras: You still have to kill %s mobs to move on.	Jagras: Du musst immer noch %s Monster töten, um weiterzukommen.
Jagras: Great job!	Jagras: Gut gemacht!.
Jagras: Be careful now!	Jagras: Sei vorsichtig!.
Jagras: 2 Surans are coming!	Jagras: 2 Surans werden kommen!.
Jagras: Kill them!	Jagras: Töte sie!.
Jagras: You still have to kill %s mobs to move on.	Jagras: Du musst immer noch %s Monster töten, um weiterzukommen.
Jagras: 30 minutes left!	Jagras: Du hast noch 30 Minuten um diese Aufgabe zu überwältigen. 
Jagras: 15 minutes left!	Jagras: Du hast noch 15 Minuten um diese Aufgabe zu überwältigen. 
Jagras: 10 minutes left!	Jagras: Du hast noch 10 Minuten um diese Aufgabe zu überwältigen. 
Jagras: 5 minutes left!	Jagras: Du hast noch 5 Minuten um diese Aufgabe zu überwältigen. 
Jagras: Hurry up!!	Jagras: Beeil dich!
Jagras: 1 minute left!	Jagras: Du hast noch 1 Minute um diese Aufgabe zu überwältigen. 
Jagras: You are almost failed!!	Jagras: Du bist fast gescheitert!
Jagras: Time has expired!	Jagras: Die Zeit ist abgelaufen!
Jagras: You failed!	Jagras: Du hast versagt!
Jagras: You will be teleported out of dungeon!	Jagras: Du wirst aus dem Dungeon teleportiert! 

You need to wait some time for the next emotion.	Du musst eine kurze Zeit warten nach einer Emotion. 
%s blocks duel requests	%s hat die Duellanfragen blockiert. 
Failed to make one socket permanent	Der Versuch, den Erz permanent zu verstärken, ist fehlgeschlagen. 
Successfully to made one socket permanent	Die Verstärkung war erfolgreich. 
Already every socket permanent	Alle Erze sind bereits verstärkt.
The shop name cannot contain language specific special characters.	Der Shopname kann keine Sonderzeichen beinhalten. 
You cannot put active items into your shop.	Du kannst keine aktivierten Gegenstände in den Laden einfügen. 
You cannot increase your special shop time this much	Du kannst deine spezielle Offline-Shopzeit nicht weiter erhöhen. 
Your special opening time for the offline shop increased by %d hours.	Deine extra Shopzeit für das Offlineshop wurde um %d Stunden erhöht. 
You cannot increase your farmed shop time this much	Du kannst deine normale Offline-Shopzeit nicht weiter erhöhen. 
ITEM_SEALED	Dieser Gegenstand wurde erfolgreich seelengebunden.
You can not open a shop while you are tradeing.	Du kannst keinen Laden öffnen, während du handelst. 
You already have a shop opened.	Du hast bereits einen Laden offen.
The price of the item has to be at least 1 gold.	Der Preis vom Gegenstand muss 1 oder höher betragen. 
You sold %dx %s for %lld Yang.	Du hast %dx %s für %lld Yang verkauft.
You can't open an empty shop.	Du kannst keinen leeren Laden eröffnen. 
You've withdrawn %lld Yang from your shop sales stash.	Du hast %lld Yang vom Laden abgehoben. 
There isn't enough space in the inventory.	Es ist nicht genügend Platz im Inventar. 
%s has married %s	%s hat %s geheiratet. Herzlichen Glückwunsch. 
Block: 	Block: 
Guild	Gilde
Exchange	Handel
Duel	Duell
Request	Anfrage
Chat	Chat
Whisper	Flüstern
Friend	Freund
Equip	Ausrüstung
Shop	Laden
Group	Gruppe
There are invalid characters in your title.	Es gibt ungültige Zeichen in Ihrem Titel. 
You cannot use this color in your title.	Du kannst diese Farbe nicht für dein Titel benutzen. Wähle deine Farbe über den Generator. 
The player %s blocked viewing of his equipment!	Der Spieler %s hat die Sicht auf seine Ausrüstung blockiert! 
You blocked duel requests for %s	Du hast Duellanforderungen für %s blockiert. 
You cannot activate and deactivate this so quickly	Du kannst dies nicht so schnell aktivieren und deaktivieren. 
You can only change your equipment while you are still.	Du kannst nur deine Ausrüstung verändern, wenn du stillstehst. 
PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	Du musst %d Sekunden warten. %d Sekunden übrig. 
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	Es wurde kein Gegenstand gefunden. 
Die Gruppe von	Die Gruppe von 
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 hat den Unterwasser-Dungeon absolviert, Glückwunsch!
You can not use this so fast.	Du kannst diese Tätigkeit nicht so schnell ausüben.
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	Die Gruppe von %s hat den %s zum %s. Mal besiegt, Glückwunsch! (%s Sekunden)
%s hat den %s gekillt	Die Gruppe von %s hat den %s besiegt, Glückwunsch!
%s hat das maximale Level erreicht, Glückwunsch!	%s hat das maximale Level erreicht, Glückwunsch!
An ancient protection barrier hinders you from escaping	Eine Schutz-Barriere hindert dich vom Entkommen. 
You cannot enhance the time of this item while it is stacked.	Du kannst gestapelte Gegenstände nicht verlängern. 
Maintenance shutdown will begin in %d seconds.	Der Server wird wegen Wartungsarbeiten in %d Sekunden heruntergefahren.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	Wir gratulieren der Gilde %s zum Bezwingen der Drachengöttin Meley!
All demons were defeated.	Alle Dämonen wurden besiegt.
Visits the Maw of the in heh to open another to fate castle.	Sucht den Schlund des Am-heh auf, um ein weiteres Schicksalsschloss zu öffnen.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	Die Siegel sind geöffnet, der Baron Nashor erscheint!
Besiegt den Boss!	Besiegt den Boss!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.
Easter dungeon: You still have to defeat %s monsters to move on.	Du musst noch %s Monster besiegen, um weiter zu kommen.
Easter dungeon: %s eggs has left!	%s Ostereier sind noch übrig!
Easter dungeon: %s metin stones has left!	%s Metinsteine sind noch übrig!
CANNOT_WARP_NOW	Du kannst noch nicht diese Tätigkeit ausüben.
You cannot perform this action right now.	You cannot perform this action right now.
ITEM_SEALED_CANNOT_MODIFY	Seelengebundene Items können nicht modizifiert werden.
변경 시킬 속성이 없습니다	Du kannst diesen Gegenstand nicht verzaubern ohne einen 6/7 Bonus.
Switching of Slot %d done.	Switchbot bei Slot %d fertig.
슬롯이 이미 사용 중입니다	Dieser Slot ist bereits belegt.
You cannot open a storage if another Window is already open.	Du kannst keinen Laden öffnen, wenn bereits ein anderes Fenster offen ist.
Switchbot Slot %d stopped out of bonus changers.	Du benötigst weitere Gegenstand verzaubern, Switchbot-Slot %d wurde pausiert.
Du wirst in %s Sekunden herausteleportiert.	Du wirst in %s Sekunden herausteleportiert.
You don't have enough money!	Du hast nicht genügend Yang.
You can not open a shop while you are trading.	Du kannst keinen Laden öffnen, während du handelst.
Your cannot spawn your pet while having the status window open.	Du kannst dein Haustier nicht rufen, während das Petmenü offen ist.
You cannot add attributes to this item.	Du kannst in dem Kostüm keine Boni hinzufügen.
You cannot change the attributes of this item.	Du kannst in dem Kostüm keine Boni verzaubern.
This food can only be used for pet level %d to %d	Dieses Futter kannst du nur nutzen für Pets von Level %d bis Level %d.
This food is only for pets	Dieses Futter ist nur für das Pet.
Your pet no longer listens to you. Your level is too low.	Dein Pet hört nicht länger mehr auf dich, dein Level ist zu niedrig.
The pet already has reached its maximum level	Das Pet hat bereits das maximale Level erreicht.
<Guild> The field war is disabled on this server.	<Gilde> Feld-Gildenkrieg ist deaktiviert auf dem Server.
You have successfully added a socket to this item.	Du hast erfolgreich einen Sockel in den Gegenstand eingefügt.
You cannot add sockets to this item.	Du kannst keine Sockel in diesen Gegenstand einfügen.
Successfully added a socket to this item	Erfolgreich einen Sockel in den Gegenstand eingefügt.
This item already cannot gain more sockets.	Dieser Gegenstand hat bereits die maximale Anzahl erreicht.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	Du kannst keine Items bewegen, während du im Laden bist.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	Du kannst keine Items bewegen, während du im Laden bist.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	Du kannst keine Items bewegen, während du im Laden bist.
You cannot add sockets to an item with less than 3 sockets.	Du kannst keinen Socket in einem Gegenstand mit weniger als 3 Sockets hinzufügen.
You can only change your shop name once every hour (%02d:%02d:%02d).	Du kannst nur alle 60 Minuten deinen Shop-Namen aktualisieren (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	Du kannst einen seelengebunden Gegenstand nicht verkaufen.
You cannot use this item in this area.	Du kannst diesen Gegenstand hier nicht benutzen.
%s scored first blood	%s erziehlt First Blood
You cannot unequip the armor. Not enough space for your armor effect	Du kannst deine Rüstung nicht ausziehen. Nicht genug Platz für dein Rüstungsshining
A world boss is [%s] spawned.	Ein Weltboss [%s] ist gespawnt.
Missing %s %s to create the recipe you have chosen	Dir fehlen %s %s, um das Crafting fortzuführen.
Double Drop Amount	Doppel-Loot-Event
Double-Loot Event is active!	Doppel-Loot-Event ist nun aktiv!
%s: Double-Loot Event is active	%s: Double-Loot Event nun aktiv!
%s: Double-Loot Event ended	%s: Double-Loot Event endet nun!
%s has killed you with hp %d left over.	%s hat dich mit %d Rest TP besiegt.
There is no one currently registered in the ranking.	Derzeit ist niemand im Ranking registriert.
Player %s successfully finished Battle Pass %s.	Der Spieler %s absolvierte den Battlepass %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Zerstöre den Metin innerhalb von 4 Minuten!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: Ansonsnten wirst du aus dem Dungeon teleportiert.
Ancient pyramid: You will continue in few seconds.	Kulve Taroth: Es wird in ein paar Sekunden weitergehen.
Ancient pyramid: You have failed!	Kulve Taroth: Du hast versagt!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Töte Monser um Pergament-Teile zu sammeln, wenn du 4 Teile hast
Ancient pyramid: destroy the %s!	Kulve Taroth: zerstöre den %s!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Du hast alle Teile! Gehe zur Säule und entschlüssel sie!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: Es war ein Zauberspruch, um %s zu beschwören, töte es!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Du kommst in einigen Sekunden in die nächste Ebene!
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: Finde und zerstöre den richtigen %s innerhalb von 21 Minuten!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Sei vorsichtig, etwas starkes versteckt sich innerhalb von ihnen!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Du hast den richtigen Metin zerstört!
Ancient pyramid: %s is coming!	Kulve Taroth: %s kommt!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Dieser Metin war nur eine Illusion.
Ancient pyramid: You have failed!	Kulve Taroth: Du hast versagt!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Du kommst in einigen Sekunden in die nächste Ebene.
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Fine einen Weg raus aus dem Labyrinth!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: Am Ende musst du den richtigen %s töten!
Ancient pyramid: This was the real %s	Kulve Taroth: Das war der richtige %s
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Du kommst in ein paar Sekunden in die nächste Ebene.
Ancient pyramid: This was a fake %s!	Kulve Taroth: Das war ein falscher %s!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Zerstöre alle %s, aber pass auf, es hat seinen eigenen Mechanismus!
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: Du musst sie in einer genauen Reihenfolge zerstören!;
Ancient pyramid: This was the right one!	Kulve Taroth: Das war der richtige!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Zerstöre jetzt %s um ein weiteres Item zu bekommen!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Du musst andere %s zerstören
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Toll! Monster kommen! Eines davon hat ein weiteres Item!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Du musst weitere %s zerstören.
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Du musst weitere %s zerstören.
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Toll, aber jetzt, alamiert!!!;
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: Der richtige Anubis kommt!;
Ancient pyramid: %s stones has left!	Kulve Taroth: %s Metins sind übrig!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Du kommst in ein paar Sekunden in die nächste Ebene
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Zerstöre %s um einen richtigen Boss zu beschwören!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Töte jetzt alle Monster!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Der Bann ist gebrochen, du kannst den %s nehmen.
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Der Bann ist gebrochen, du kannst den %s nehmen.
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s wird erscheinen.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Es kann alle vorherigen Monster und Bosse spawnen!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Wenn du es innerhalb von 5 Minuten zerstörst, vermeidest du es, weitere Monster anzulocken!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Der Bann ist gebrochen, du kannst den %s nehmen. 
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Du warst zu langsam, Ungeheuer haben dich erblickt!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Sie kommen, töte sie alle!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s ist erschienen!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed;	Kulve Taroth: Zerstöre es innerhalb von 3 Minuten! Ansonsten wird sich der Dungeon schließen
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: Der %s hat keine Kraft mehr zu zaubern!
Ancient pyramid: Kill it!!;	Kulve Taroth: Töte es!!
Ancient pyramid: You have failed!	Kulve Taroth: Du hast versagt!
Ancient pyramid: The %s has been protected!	Kulve Taroth: Der %s wurde beschützt!
Anci group: You did it! Spectacular job!;	Kulve Taroth: Du hast es geschafft! Spektakuläre Arbeit!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: Der Dungeon wird in 3 Minuten automatisch geschlossen.
Ancient pyramid: You have failed!	Kulve Taroth: Du hast versagt!
%s benötigte %s Sekunden	%s benötigte %s Sekunden!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Zerstöre alle %s! Du hast nur eine begrenzte Zeit! Beeil dich!
