%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Musisz przeczytać jeszcze %d Ksiąg Umiejętności aby ulepszyć tę Umiejętność. 
%d 냥을 투자하셨습니다.	Zainwestowałeś %d Yang. 
%d 냥을 획득하셨습니다.	Wygrałeś %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Musisz osiągnąć poziom %d, aby móc ponownie zmienić kolor fryzury. 
%d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d minut %d sekund 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d minut %d sekund 
%d 시간 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d sekund 
%d 종류 %d 마리 낚음	Złapałeś %d z %d . 
%d 초 동안 채팅금지 상태입니다	Pozostało %d sekund do końca twojej blokady pisania 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Po %d sekundach możesz użyć Błogosławieństwa Imperatora. 
%d 초간 쿨타임이 적용중입니다.	Regeneracja około %d sekund. 
%d 초후 목적지로 이동됩니다.	Osiągniesz miejsce docelowe w %d sekund po wykonaniu. 
%d%% 확률로 관통 공격	Szansa na Przeszywający Atak od %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Jeśli wygrasz, Doświadczenie wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Jeśli wygrasz, Yang wzrosną do %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% szansa na uzupełnienie Punktów Energii po zwycięstwie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Jeśli wygrasz, Ilość przejętych przedmiotów wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Jeśli wygrasz, Mana zostanie podniesiona do %d%% 
%d%% 확률로 치명타 공격	Szansa na Krytyczny Atak %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Z szansą %d%% Many zostanie zabranej od wroga. 
%d%% 확률로 피해시 정신력 회복	Absorbowanie Many z szansą %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Czas gry ( %d ) dodany do Twojego konta. (Numer płatności %d) 
%d의 경험치를 획득했습니다.	Otrzymałeś %d Punktów Doświadczenia. 
%d초 남았습니다.	%d sekund do wyłączenia. 
%d초 만큼 충전되었습니다.	Naładowano %d sek. 
%d초 후 게임이 셧다운 됩니다.	Gra zostanie zamknięta po %d sekundach. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Użycie FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s licznik zabójstw %d zabitych potworów %d zabitych bossów %d liczba świętej ziemi %d 
%s 군주 후보에서 삭제하였습니다	Kandydatura %s na Imperatora została skasowana. 
%s 군주로 입명 했습니다.	%s został nominowany na Imperatora. 
%s 군주르 제거 하였습니다..	Imperator %s został odwołany. 
%s 군주를 제거 할수 없습니다.	Imperator %s nie może zostać odwołany. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Gildia %s wypowiedziała wojnę Gildii %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Gildia %s wygrała wojnę przeciwko Gildii %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	Gildia %s przejęła flagę Gildii %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Wojna pomiędzy Gildiami %s oraz %s zakończona remisem. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Wojna pomiędzy Gildiami %s oraz %s została anulowana. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Wojna pomiędzy Gildiami %s oraz %s rozpocznie się za kilka minut! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Wojna pomiędzy Gildiami %s oraz %s rozpoczęta! 
%s 길드의 %s이 %d%% 증가했습니다!	%s Gildii %s wzrósł do %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s Gildii %s jest ponownie normalny. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Flaga Gildii %s została ukradziona przez gracza %s. 
%s 는 군주 후보가 아닙니다.	%s nie jest kandydatem na Imperatora. 
%s 는 군주로 입명할수 없습니다 .	%s nie może być nominowany na Imperatora. 
%s 님과의 교환이 성사 되었습니다.	Handel z %s zakończony pomyślnie. 
%s 님에게 파티가입 신청을 했습니다.	Chcesz dołączyć się do Grupy %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s odrzucił zaproszenie. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Gracz %s obecnie przebywa na kanale %d. (Twój Kanał: %d) 
%s 님은 접속되 있지 않습니다.	%s nie jest online. 
%s 님은 정상적으로 출마를 하였습니다.	%s graczy oddało już swój głos. 
%s 님을 소환하였습니다.	Zrekrutowałeś %s graczy. 
%s 님이 대련에서 승리하였습니다.	%s wygrał pojedynek. 
%s 님이 승리하였습니다.	%s wygrał. 
%s 블럭! (%d%%)	%s blokuje! (%d%%) 
%s 아이템 을 획득하셨습니다	Wygrałeś %s przedmiotów. 
%s 아이템이 필요합니다	Potrzebujesz %s. 
%s 에게로 이동합니다	Teleport do %s. 
%s 회피! (%d%%)	%s robi unik! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ta Gildia nie istnieje. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Pozycja ataku: %d %d 
%s님과의 대결 시작!	Pojedynek z %s rozpoczęty! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s wyzwał Cię na pojedynek! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rzuca kostką. Wyrzucona liczba to %d (%d-%d). 
%s를 구웠습니다.	Pieczesz %s nad ogniem. 
%s에 박혀있던 보석이 사라집니다.	Zniknął klejnot z %s. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ognisko zostało zapalone w %s by ostrzec o bitwie. 
%s에게 대결신청을 했습니다.	Wyzwałeś %s na pojedynek. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Są %s wojny, by zapalić ogniska. 
%s에서 소켓 빠질때까지 남은 시간 %d	Pozostały czas do usunięcia Kieszeni %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s wzrósł o %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s jest ponownie normalny. 
%s의 군주가 %s 님으로 교체되었습니다.	Imperator z %s został zmieniony na %s. 
%s이 모든 봉화를 파괴하였습니다.	%s zniszczył ognisko. 
%s이 봉화를 파괴했습니다.	%s zniszczył ognisko. 
%s이 수성에 성공했습니다.	%s był w stanie obronić pomyślnie. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s przegrali wojnę, ponieważ nie byli w stanie obronić zamku. 
%s이 필요합니다.	Aby to zrobić potrzebujesz: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Gildia utworzona. [Tymczasowo] 
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: Musisz zniszczyć je w dokładnej kolejności!
Ancient pyramid: This was the right one!	Kulve Taroth: To był ten właściwy!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Teraz zniszcz %s, aby zdobyć kolejny przedmiot!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Musisz zniszczyć inne %s
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Wspaniale! Nadchodzą potwory! Jeden z nich ma jeszcze jeden przedmiot!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Musisz zniszczyć inne %s
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Musisz zniszczyć inne %s
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Świetnie, ale teraz, do alarmu!!!
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: Prawdziwy Anubis nadchodzi!
Ancient pyramid: %s stones has left!	Kulve Taroth: %s kamieni zostało!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Za kilka sekund zostaniesz przeniesiony na następne piętro.
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Zniszcz %s, aby móc przywołać prawdziwego bossa!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Zabij wszystkie potwory teraz!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Zaklęcie zniknęło, możesz wziąć %s
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Zaklęcie zniknęło, możesz wziąć %s
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s pojawi się.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Może zrodzić wszystkie poprzednie potwory i bossów!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Jeśli zniszczysz go w ciągu 5 minut, unikniesz przyciągnięcia kolejnych potworów!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Zaklęcie zniknęło, możesz wziąć %s
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Byłeś zbyt wolny, potwory cię dopadły!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Nadchodzą, zabijcie ich wszystkich!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s złożył ikrę!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed	Kulve Taroth: Zabij go w ciągu 3 minut! W przeciwnym razie dungeon zostanie zamknięty
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: %s nie ma już siły, by robić magię!
Ancient pyramid: Kill it!!	Kulve Taroth: Zabić go!!!
Ancient pyramid: You have failed!	Kulve Taroth: Nie udało ci się!
Ancient pyramid: The %s has been protected!	Kulve Taroth: Obiekt %s został zabezpieczony!
Anci group: You did it! Spectacular job!	Kulve Taroth: Udało Ci się! Spektakularna robota!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: Loch zostanie automatycznie zamknięty za 3 minuty.
Ancient pyramid: You have failed!	Kulve Taroth: Nie udało ci się!
%s benötigte %s Sekunden	%s potrzebuje%s sekund!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Zniszcz wszystkie %s! Masz tylko ograniczony czas! Pospiesz się!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: Time is up. You have failed! Vaal Hazak:Czas minął. Nie udało ci się!
Shadow tower: %s is coming!	Vaal Hazak: %s nadchodzi!
Shadow tower: Kill second wave of monsters to destroy second %s!	Vaal Hazak: Zabij drugą falę potworów, aby zniszczyć drugi %s!
Shadow tower: Time is up. You have failed! Vaal Hazak:Czas minął. Nie udało ci się!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: You have destroyed the right stone!	Vaal Hazak: Zniszczyłeś właściwy kamień!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: This one was just an illusion!	Vaal Hazak: Ten był tylko iluzją!
Shadow tower: Well done! Now destroy the %s to able to continue!	Vaal Hazak: Dobra robota! Teraz zniszcz %s, aby móc kontynuować!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: Great job! You will proceed in few seconds!	Vaal Hazak: Dobra robota! Za kilka sekund przejdziesz dalej!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Czas minął. Nie udało ci się!
Shadow tower: Protection of %s is gone. You can kill him now!	Vaal Hazak: Ochrona %s zniknęła. Możesz go teraz zabić!
Shadow tower: %s wasn't destroyed yet. %s was recovered from shadows!	Vaal Hazak: %s nie został jeszcze zniszczony. %s został wydobyty z cienia!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: You died three times. You have failed.	Vaal Hazak: Umarłeś trzy razy. Nie udało ci się
Shadow tower: Time is up. You have failed!	Vaal Hazak: Czas minął. Nie udało ci się!
Shadow tower: Beware! %s is coming!	Vaal Hazak: Uwaga! %s nadchodzi!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: If you have %s, you have last %s seconds to use it!	Vaal Hazak: Jeśli masz %s, masz ostatnie %s sekund, aby go użyć!
Shadow tower: %s is now active! %s is gonna be much weaker!	Vaal Hazak: %s jest teraz aktywny! %s będzie znacznie słabszy!
Shadow tower: This effect is already active!	Vaal Hazak: Ten efekt jest już aktywny!
Shadow tower: You can use this only during first 8 floors!	Vaal Hazak: Możesz go używać tylko podczas pierwszych 8 pięter!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s jest wykryte! Możesz przejść na następne piętro!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Czas minął. Nie udało ci się!
Shadow tower: One more wave is coming!	Vaal Hazak: Jeszcze jedna fala nadchodzi!
Shadow tower: A monster is coming, its unknown!	Vaal Hazak: Nadchodzi potwór, który jest nieznany!
Shadow tower: You are almost at the end. But the worst is just about to come!	Vaal Hazak: Jesteś już prawie u samego końca. Ale najgorsze dopiero nadejdzie!
Shadow tower: Time is up. You have failed	Vaal Hazak: Czas minął. Nie udało ci się!
Shadow tower: You will be teleported out of dungeon in %s minutes.	Vaal Hazak: Będziesz teleportowany z dungeonu za %s minut.
Shadow tower: Destroy both %s! Destroy all monsters to get a key!	Vaal Hazak: Zniszcz oba %s! Zniszcz wszystkie potwory, aby zdobyć klucz!
Shadow tower: Find real %s and destroy it!	Vaal Hazak: Znajdź prawdziwe %s i zniszcz je!
Shadow tower: Every wrong stone hides %s inside!	Vaal Hazak: Każdy zły kamień kryje w sobie %s!
Shadow tower: The more fake stones you destroy, the more HP will have a next boss!	Vaal Hazak: Im więcej fałszywych kamieni zniszczysz, tym więcej HP będzie miał następny boss!
Shadow tower: Kill all monsters to get %s, then start to build a %s	Vaal Hazak: Zabij wszystkie potwory, aby zdobyć %s, a następnie zacznij budować %s
Shadow tower: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!	Vaal Hazak: Zniszcz %s w ciągu %s minut! W przeciwnym razie będziesz musiał ukończyć następną misję 2x!
You are not allowed to create a shop on this map.	You are not allowed to create a shop on this map.
