ACCE_ABSORB_COST	Cena absorpcji: {}
SKILL_FAINT	Omdlenie
SKILL_FIND_TRAP	Szukaj Pułapki
SKILL_FIRE	Podpalenie
SKILL_FISHMIND	Marmur Rybaka jest aktywny
SKILL_GAMJI	Złap
SKILL_GEOMGYEONG	Aura Miecza
SKILL_GICHEON	Pomoc Smoka
SKILL_GIGONG	Rotacja Chi
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	{} Wielki Mistrz
SKILL_GRADE_NAME_MASTER	{} Mistrz
SKILL_GRADE_NAME_PERFECT_MASTER	{} Perfekcyjny Mistrz
SKILL_GROUP_ASSASSIN_1	Ostrze
SKILL_GROUP_ASSASSIN_2	Łuk
SKILL_GROUP_HORSE	Jazda
SKILL_GROUP_SHAMAN_1	Smok
SKILL_GROUP_SHAMAN_2	Leczenie
SKILL_GROUP_SURA_1	Broń
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Ciało
SKILL_GROUP_WARRIOR_2	Umysł
SKILL_GWIGEOM	Czarowane Ostrze
SKILL_GYEONGGONG	Bezszelestny Chód
SKILL_HEUKSIN	Mroczna Ochrona
SKILL_HOSIN	Błogosławieństwo
SKILL_INC_ATKSPD	Zwiększona Szybkość Ataku
SKILL_INC_MOVSPD	Zwiększona Szybkość Ruchu
SKILL_JEOJU	Klątwa
SKILL_JEONGEOP	Leczenie
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Całkowita Obrona
SKILL_JEONSINGONGGYEOK	Całkowity Atak
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Szybkość +
SKILL_JUMAGAP	Czarowana Zbroja
SKILL_KWAESOK	Szybkość
SKILL_MUYEONG	Ognisty Duch
SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
SKILL_NEED_POISON_BOTTLE	Nie mam Butelki z Trucizną
SKILL_ONLY_FOR_GUILD_WAR	Możesz używać tej Umiejętności tylko podczas Wojny Gildii.
SKILL_PABEOP	Rozproszenie Magii
SKILL_POWERFUL_STRIKE	Atak Oszałamiający
SKILL_SEOMGWANG	Bomba Błyskawic
SKILL_SLEEP	Uśpienie
SKILL_SLOW	Spowolnienie
SKILL_STUN	Ogłuszenie
SKILL_SUHO	Strażnik
SKILL_SUMMON_DESCRIPTION	Szansa na Przywołanie: {}%
SKILL_TOOLTIP_INT	Inteligencja
SKILL_TOOLTIP_LEVEL	Poziom
SKILL_TOXICDIE	Otrucie
SKILL_TOXICPOWER	Zwiększona Wartość Ataku Trucizną
SKILL_TUSOK	Uderzenie Ducha
SOUL_ITEM_TOOLTIP_APPLY	Aktywowano efekt
SOUL_ITEM_TOOLTIP_BLUE1	Czas gry:{}/{} min. 
SOUL_ITEM_TOOLTIP_BLUE2	Po osiągnięciu czasu gry obrażenia umiejętności wzrastają o x{:.1f}
SOUL_ITEM_TOOLTIP_COMMON	Nie dotyczy: PvP, polimorfia
SOUL_ITEM_TOOLTIP_RED1	Czas gry:{}/{} min. 
SOUL_ITEM_TOOLTIP_RED2	Po osiągnięciu czasu gry obrażenia ataku wzrastają o x{:.1f}
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Pozostałe ataki: {}
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Dusza wygaśnie za
SOUL_ITEM_TOOLTIP_UNAPPLIED	Nie aktywowano efektu
SOUL_REFINE_FAILURE	Rozwój nie powiódł się.
SOUL_REFINE_SUCCESS	Rozwój zakończył się powodzeniem!
STAT_MINUS_CON	Dostosowanie Witalności (Pozostała szansa: {})
STAT_MINUS_DEX	Dostosowanie Zręczności (Pozostała Szansa: {})
STAT_MINUS_INT	Dostosowanie Inteligencji (Pozostałą szansa: {})
STAT_MINUS_STR	Dostosowanie Siły (Pozostałą szansa: {})
STAT_TOOLTIP_CON	Podwyższa PŻ i Obronę
STAT_TOOLTIP_DEX	Podwyższa atak i uniki
STAT_TOOLTIP_INT	Podwyższa PE, atak magiczny i obronę.
STAT_TOOLTIP_STR	Podwyższa Wartość Ataku i Uszkodzeń
SYMBOLLIST_TITLE	Zarejestruj Flagę Gildii
SYSTEM_OPTION_CPU_TILING_1	CPU TNL może ulepszyć szybkość słabszego PC.
SYSTEM_OPTION_CPU_TILING_2	Jeśli jest problem z grafiką, wybierz ,Opcje System lub ,CONFIG.exe;
SYSTEM_OPTION_CPU_TILING_3	i zmień na GPU TNL.
SYSTEM_OPTION_GPU_TILING_1	GPU TNL może działać wolniej na słabszych PC.
SYSTEM_OPTION_GPU_TILING_2	Jeśli zaistnieją problem z grafiką, wybierz 'Opcje Systemu' lub 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	i zmień na GPU TNL
SYSTEM_OPTION_TILING_EXIT	Aby zmienić tryb TNL trzeba zrestartować grę.
TARGET_BUTTON_ACCEPT_FIGHT	Zgoda
TARGET_BUTTON_AVENGE	Zemsta
TARGET_BUTTON_BLOCK	Zablokuj
TARGET_BUTTON_BLOCK_REMOVE	Odblokuj
TARGET_BUTTON_BUILDING_DESTROY	Zniszcz
TARGET_BUTTON_DISMOUNT	Zsiądź
TARGET_BUTTON_EMOTION_ALLOW	Emocje
TARGET_BUTTON_EXCHANGE	Handlować
TARGET_BUTTON_EXCLUDE	Wyklucz
TARGET_BUTTON_EXIT_OBSERVER	Zakończ Tryb Obserwatora
TARGET_BUTTON_FIGHT	Pojedynek
TARGET_BUTTON_FRIEND	Przyjaciel
TARGET_BUTTON_INVITE_GUILD	Zapr. Gildii
TARGET_BUTTON_INVITE_PARTY	Zapr. Grupy
TARGET_BUTTON_LEAVE_PARTY	Opuść Grupę
TARGET_BUTTON_REQUEST_ENTER_PARTY	Dołącz do Grupy
TARGET_BUTTON_REVIVE	Wskrzeszenie
TARGET_BUTTON_VIEW_EQUIPMENT	Zbroja
TARGET_BUTTON_WHISPER	Szept
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stopień 5.
TARGET_LEVEL_KNIGHT	Stopień 3.
TARGET_LEVEL_PAWN	Stopień 1.
TARGET_LEVEL_S_KNIGHT	Stopień 4.
TARGET_LEVEL_S_PAWN	Stopień 2.
TARGET_TOOLTIP_ATTACK_COUNT	Łączna ilość punktów: {}
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	atakuj automatycznie
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Doświadczenie
TASKBAR_HP	PŻ
TASKBAR_MOVE	Ruch
TASKBAR_SKILL	Umiejętność
TASKBAR_SP	PE
TASKBAR_ST	ST
TENTH_COIN	Moneta jubileuszowa
TENTH_EVENT_ASK_EXCHANGE	Potrzebujesz flag jubileuszowych: {} Czy chcesz kontynuować?
THING_COUNT	x
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Redukcja obrażeń
TOOLTIP_AFFECT_CONFUSION	Zostałeś ogłuszony.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Redukcja szansy na cios krytyczny
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Znak Strażnika
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Nie udało się przerwać hydro-promienia.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Redukcja obrony
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Błyskawica
TOOLTIP_AFFECT_MOUNT_FALL	Upadek z wierzchowca
TOOLTIP_AFFECT_POLYMORPH	Polimorfia
TOOLTIP_AFFECT_RCAST_SPEED	Wydłużenie czasu regeneracji
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Eliksir Poszukiwacza
TOOLTIP_AFFECT_RHP_REGEN	Brak możliwości odpoczynku
TOOLTIP_ANTI_CRITICAL_PCT	Odporność na cios krytyczny +{}%
TOOLTIP_ANTI_PENETRATE_PCT	Odporność na przeszywający cios +{}%
TOOLTIP_ANTI_SELL	Nie może zostać sprzedany w Magazynie
TOOLTIP_APPLY_ACCEDRAIN_RATE	Stopnień absorpcji: {}%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silny przeciwko Rathalos +{}%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silny przeciwko Ninja +{}%
TOOLTIP_APPLY_ATTBONUS_BELL	Złamanie Odporności na Dzwony +{}%
TOOLTIP_APPLY_ATTBONUS_BOW	Złamanie Odporności na Strzały +{}%
TOOLTIP_APPLY_ATTBONUS_CLAW	Złamanie Odporności na Szpony +{}%
TOOLTIP_APPLY_ATTBONUS_CZ	Siła w walce z potworami Zodiaku +{}%
TOOLTIP_APPLY_ATTBONUS_DAGGER	Złamanie Odporności na Sztylety: +{}%
TOOLTIP_APPLY_ATTBONUS_DESERT	Siła w walce z potworami pustyni +{}%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silny przeciwko Diabłom +{}%
TOOLTIP_APPLY_ATTBONUS_FAN	Złamanie Odporności na Wachlarze +{}%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Silny przeciwko Ludziom +{}%
TOOLTIP_APPLY_ATTBONUS_INSECT	Siła w walce z insektami +{}%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Silny przeciwko Gods +{}%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Silny przeciwko Potworom +{}%
TOOLTIP_APPLY_ATTBONUS_ORC	Silny przeciwko Fatalis +{}%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Silny przeciwko Szamanom +{}%
TOOLTIP_APPLY_ATTBONUS_SURA	Silny przeciwko Sura +{}%
TOOLTIP_APPLY_ATTBONUS_SWORD	Złamanie Odporności na Miecze: +{}%
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Złamanie Odporności na Broń oburęczną +{}%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Silny przeciwko Nieumarłym +{}%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Silny przeciwko Wojownikom +{}%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Silny przeciwko Likanom + {}%
TOOLTIP_APPLY_BLEEDING_PCT	Atak krwawienia + {}%
TOOLTIP_APPLY_BLEEDING_REDUCE	Odporność na Atak Krwawienia + {}%
TOOLTIP_APPLY_BLOCK	Szansa na blok ciosów {}%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Odzyskiwanie PE przez 5 sekund podczas Bitwy {}
TOOLTIP_APPLY_CRITICAL_PCT	Szansa na cios krytyczny +{}%
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Szansa na odzyskanie PE: {}%
TOOLTIP_APPLY_DODGE	Szansa na uniknięcie Strzały: {}%
TOOLTIP_APPLY_ENCHANT_DARK	Siła Mroku +{}%
TOOLTIP_APPLY_ENCHANT_EARTH	Siła Ziemi +{}%
TOOLTIP_APPLY_ENCHANT_ELECT	Siła Błyskawic +{}%
TOOLTIP_APPLY_ENCHANT_FIRE	Siła Ognia +{}%
TOOLTIP_APPLY_ENCHANT_ICE	Siła Lodu +{}%
TOOLTIP_APPLY_ENCHANT_WIND	Siła Wiatru +{}%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Szansa na Bonus DOŚ: {}%
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Szansa na podwójną ilość Yang: {}%
TOOLTIP_APPLY_IMMUNE_FALL	Niewrażliwy na Upadek
TOOLTIP_APPLY_IMMUNE_SLOW	Odporność na Spowolnienia
TOOLTIP_APPLY_IMMUNE_STUN	Odporność na Omdlenia
TOOLTIP_APPLY_ITEM_DROP_BONUS	Szansa na podwójną ilość Przedmiotów: {}%
TOOLTIP_APPLY_KILL_HP_RECOVER	Szansa na odzyskanie PŻ: {}%
TOOLTIP_APPLY_KILL_SP_RECOVER	Szansa na odzyskanie PE: {}%
TOOLTIP_APPLY_MANA_BURN_PCT	{}% Szansa na kradzież PE
TOOLTIP_APPLY_MAX_HP_PCT	Maks. PŻ +{}%
TOOLTIP_APPLY_MAX_SP_PCT	Maks. PE +{}% 
TOOLTIP_APPLY_NOAFFECT	Brak efektu
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nie tracisz Punktów Doświadczenia podczas wznawiania gry w miejscu śmierci.
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Bóg Smoków rozpostarł nad Tobą chroniące skrzydła. Jeśli zostaniesz ożywiony na pokładzie, nie stracisz punktów doświadczenia.
TOOLTIP_APPLY_PENETRATE_PCT	Szansa na przeszywające Uderzenie: {}% 
TOOLTIP_APPLY_POISON_PCT	Szansa na Otrucie {}%
TOOLTIP_APPLY_POISON_REDUCE	Odporność na Trucizny: {}%
TOOLTIP_APPLY_POTION_BONUS	Mikstury {}% efekt podniesiony
TOOLTIP_APPLY_REFLECT_CURSE	Szansa na odbicie Klątwy: {}%
TOOLTIP_APPLY_REFLECT_MELEE	{}% Szansa na odbicie Ciosu
TOOLTIP_APPLY_RESIST_ASSASSIN	Odporność na Ninja: {}%
TOOLTIP_APPLY_RESIST_BELL	Odporność na Dzwony: {}%
TOOLTIP_APPLY_RESIST_CLAW	Odporność na Szpony +{}%
TOOLTIP_APPLY_RESIST_DAGGER	Odporność na Sztylety: {}%
TOOLTIP_APPLY_RESIST_FAN	Odporność na Wachlarze: {}%
TOOLTIP_APPLY_RESIST_HUMAN	Odporność na Ludzi {}%
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Odporność na Upadek +{}%
TOOLTIP_APPLY_RESIST_SHAMAN	Odporność na Szamanów: {}%
TOOLTIP_APPLY_RESIST_SURA	Odporność na Sura: {}%
TOOLTIP_APPLY_RESIST_SWORD	Odporność na Miecze: {}%
TOOLTIP_APPLY_RESIST_TWOHAND	Odporność na Broń Dwuręczną: {}%
TOOLTIP_APPLY_RESIST_WARRIOR	Odporność na Wojowników: {}%
TOOLTIP_APPLY_RESIST_WIND	Odporność na Wiatr: {}%
TOOLTIP_APPLY_RESIST_WOLFMAN	Odporność na Atak Likanów + {}% 
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Szansa na pomyślną naukę zwiększona o współczynnik 2.5.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Jeśli trening się nie powiedzie, możesz od razu spróbować ponownie.
TOOLTIP_APPLY_SLOW_PCT	Szansa na Spowolnienie {}%
TOOLTIP_APPLY_STEAL_HP	{}% obrażeń będzie dodanych do PŻ
TOOLTIP_APPLY_STEAL_SP	{}% obrażeń będzie dodanych do PE
TOOLTIP_APPLY_STUN_PCT	Szansa na Omdlenie {}%
TOOLTIP_ARMOR	Zbroja
TOOLTIP_ARROW	Strzała
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Wartość Ataku +{}
TOOLTIP_ATT_SPEED	Szybkość Ataku +{}%
TOOLTIP_ATT_SPEED_SLOW	Zmniejszona Szybkość Ataku
TOOLTIP_AUTO_POTION_HP	Eliksir Słońca
TOOLTIP_AUTO_POTION_REST	Pozostało: {:.2f}%
TOOLTIP_AUTO_POTION_SP	Eliksir Księżyca
TOOLTIP_AUTO_POTION_USING	Aktywny
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto Łowy
TOOLTIP_BATTLE_POTION	Mikstura Pojedynku Strefy Walki
TOOLTIP_BOW_DISTANCE	Zasięg Łuku +{}m
TOOLTIP_BUYPRICE	Cena: {}
TOOLTIP_CAST_SPEED	Szybkość Zaklęcia +{}%
TOOLTIP_CON	Witalność +{}
TOOLTIP_COSTUME_ATTR_BONUS	Bonus kostiumu {}% 
TOOLTIP_DEF_GRADE	Obrona +{}
TOOLTIP_DEX	Zręczność +{}
TOOLTIP_DRAGON_SOUL_DECK1	Niebo
TOOLTIP_DRAGON_SOUL_DECK2	Ziemia
TOOLTIP_DS_SET	Zestaw efektu SSK
TOOLTIP_EAR	Kolczyki
TOOLTIP_ENERGY	Energia {}
TOOLTIP_ETC	I tak dalej
TOOLTIP_EXP_BONUS_EVENT	PD +{}%
TOOLTIP_FISHINGROD_EXP	Punkty {} / {}
TOOLTIP_FISHINGROD_LEVEL	Poziom: {}
TOOLTIP_FISHINGROD_UPGRADE1	Daj Rybakowi,
TOOLTIP_FISHINGROD_UPGRADE2	aby dostać
TOOLTIP_FISHINGROD_UPGRADE3	Ulepszoną Wędkę.
TOOLTIP_FISH_LEN	Długość: {:.2f} cm
TOOLTIP_GUILD_SKILL_ACCEL	Przyspieszenie +{}
TOOLTIP_GUILD_SKILL_BLESS	Błogosławieństwo Boga Smoków +{}
TOOLTIP_GUILD_SKILL_BLOOD	Krew Boga Smoków +{}
TOOLTIP_GUILD_SKILL_BUNNO	Furia Boga Smoków +{}%
TOOLTIP_GUILD_SKILL_JUMUN	Magiczna Pomoc +{}%
TOOLTIP_GUILD_SKILL_SEONGHWI	Święta Zbroja +{}
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% PD | +5% dropu przedmiotu | +10% siła w walce z potworami
TOOLTIP_HELMET	Hełm
TOOLTIP_HP_REGEN	Regeneracja PŻ: +{}%
TOOLTIP_INT	Inteligencja +{}
TOOLTIP_ITEM_ATT_GRADE	Wartość Ataku: {}
TOOLTIP_ITEM_ATT_POWER	Wartość Ataku: {} - {}
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Wartość Ataku: {}
TOOLTIP_ITEM_ATT_POWER_REFINE	Wartość Ataku: {} - {} (+{})
TOOLTIP_ITEM_ATT_SPEED	Szybkość Ataku: {}
TOOLTIP_ITEM_DEF_GRADE	Obrona {}
TOOLTIP_ITEM_FAST	Szybki
TOOLTIP_ITEM_LIMIT_CON	Górna granica Witalności: {}
TOOLTIP_ITEM_LIMIT_DEX	Górny limit Zręczności: {}
TOOLTIP_ITEM_LIMIT_INT	Górna granica Inteligencji: {}
TOOLTIP_ITEM_LIMIT_LEVEL	Od Poziomu: {}
TOOLTIP_ITEM_LIMIT_MAX_LEVEL	Do Poziomu: {}
TOOLTIP_ITEM_LIMIT_MAP	Powierzchnia:: {}
TOOLTIP_ITEM_LIMIT_STR	Górna granica Siły: {}
TOOLTIP_ITEM_MAGIC_ATT_POWER	Wartość Magicznego Ataku: {} - {}
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Wartość Magicznego Ataku: {}
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magiczna Obrona {}
TOOLTIP_ITEM_NORMAL	Normalny
TOOLTIP_ITEM_SLOW	Wolny
TOOLTIP_ITEM_VERY_FAST	Bardzo szybki
TOOLTIP_ITEM_VERY_SLOW	Bardzo wolny
TOOLTIP_ITEM_WEARABLE_JOB	[ Do ubrania ]
TOOLTIP_LOTTERY_STEP_NUMBER	{}
TOOLTIP_LOTTO_NUMBER	Szczęśliwy Numer: {}
TOOLTIP_MAGIC_ATTBONUS_PER	Magiczny atak +{}%
TOOLTIP_MAGIC_ATT_GRADE	Wartość Magicznego Ataku: +{}
TOOLTIP_MAGIC_DEF_GRADE	Magiczna Obrona: +{}
TOOLTIP_MALL_ATTBONUS	Wartość Ataku: +{}%
TOOLTIP_MALL_ATTBONUS_STATIC	Siła ataku
TOOLTIP_MALL_AUTOLOOT	Ręka, która automatycznie podnosi upuszczone Yang.
TOOLTIP_MALL_DEFBONUS	Obrona: +{}%
TOOLTIP_MALL_DEFBONUS_STATIC	Obrona 
TOOLTIP_MALL_EXPBONUS	Punkty Doświadczenia: +{}%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe DOŚ Bonus +{}%
TOOLTIP_MALL_EXPBONUS_STATIC	Zwiększa zdobywanie PD o 50%
TOOLTIP_MALL_FISH_MIND	Szansa schwytania rzadkiej ryby zostanie podwojona.
TOOLTIP_MALL_GOLDBONUS	Szansa na drop Yang zwiększona o {}%
TOOLTIP_MALL_GOLDBONUS_STATIC	Szansa znalezienia Yang zostanie podwojona
TOOLTIP_MALL_ITEMBONUS	{}% enhanced Item-Drop
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Szansa na zdobycie Przedmiotów plus {:.1f}%
TOOLTIP_MALL_ITEMBONUS_STATIC	Podwojona szansa na zdobycie przedmiotu
TOOLTIP_MALL_MARRIAGE_FAST	Punkty Miłości szybciej się regenerują.
TOOLTIP_MALL_SAFEBOX	Zwiększona pojemność Magazynu
TOOLTIP_MAX_HP	Max PŻ: +{}
TOOLTIP_MAX_HP_PCT	Max PŻ: +{}%
TOOLTIP_MAX_SP	Max PE: +{}
TOOLTIP_MAX_SP_PCT	Max PE: +{}%
TOOLTIP_MAX_STAMINA	Max Wytrzymałość: +{}
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magiczny/krótkodystansowy atak +{}%
TOOLTIP_MEMORIZED_POSITION	{} ({}, {})
TOOLTIP_MEMORIZED_POSITION_ERROR	BRAK NAZWY ({}, {})
TOOLTIP_MOV_SPEED	Szybkość Ruchu {}%
TOOLTIP_NECK	Naszyjnik
TOOLTIP_NEED_ALL_SP	Wymagane PE: Max
TOOLTIP_NEED_GSP	Wymagany Duch Smoka: {}
TOOLTIP_NEED_HP	Wymagane PŻ: {}
TOOLTIP_NEED_HP_PER_SEC	PŻ / sek.: {}
TOOLTIP_NEED_SKILL_POINT	Wymagane Punkty Umiejętności:
TOOLTIP_NEED_SP	Wymagane PE: {}
TOOLTIP_NEED_SP_PER_SEC	PE / Sek.: {}
TOOLTIP_NEXT_SKILL_LEVEL_1	Następny Poziom: {} (Max {})
TOOLTIP_NEXT_SKILL_LEVEL_2	Następny Poziom: {} (Max {}-{})
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Średnie Obrażenia: {}%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Odporność na Obrażenia: {}%
TOOLTIP_PARTY_INFO_GRADE_UP1	Więcej niż {} Członków Grupy
TOOLTIP_PARTY_INFO_GRADE_UP2	Poziom Ataku +{}
TOOLTIP_PARTY_INFO_GRADE_UP3	Poziom Obrony +{}
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Regeneracja PŻ/PE wszystkich Członków Grupy przez 60 minut.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Regeneracja PŻ/PE wszystkich Członków Grupy przez 30 minut.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Musisz poczekać 3 minuty po śmierci członka grupy.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Możesz przywołać członków grupy, którzy są na tym samym serwerze.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Poziom Ataku +(ilość członków grupy/2) Napastnik {} może być wybrany.
TOOLTIP_PARTY_INFO_SET_TANKER	Poziom Obrony +(ilość członków grupy) 1 Walczący Ostrzem może być wybrany.
TOOLTIP_PARTY_SKILL_LEVEL	Aktualny Poziom: {}
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atak/Obrona ulepszony]
TOOLTIP_PARTY_TITLE_HEAL	[przywróć]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Jeśli masz więcej niż {} Członków Grupy, dostajesz {}% Bonus DOŚ .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus DOŚ]
TOOLTIP_PARTY_TITLE_RECALL	[Przywołaj]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Ustanów Napastnika]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Ustanów Walczącego Ostrzem]
TOOLTIP_PEPSI_EVENT	5% bonusu PD i 5% zwiększonej szansy na zdobywanie przedmiotów.
TOOLTIP_PICK_EXP	Punkty: {} / {}
TOOLTIP_PICK_LEVEL	Poziom: {}
TOOLTIP_PICK_UPGRADE1	Daj to Drwalowi
TOOLTIP_PICK_UPGRADE2	aby dostać
TOOLTIP_PICK_UPGRADE3	ulepszony Kilof.
TOOLTIP_POTION_CURE	Usuń negatywne skutki.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Szybkość Ataku +{}
TOOLTIP_POTION_PLUS_HP_PERCENT	PŻ +{}%
TOOLTIP_POTION_PLUS_HP_POINT	PŻ +{}
TOOLTIP_POTION_PLUS_MOVING_SPEED	Szybkość Ruchu +{}
TOOLTIP_POTION_PLUS_SP_PERCENT	PE +{}%
TOOLTIP_POTION_PLUS_SP_POINT	PE +{}
TOOLTIP_POTION_SEC	Sek.
TOOLTIP_POTION_TIME	Czas trwania:
TOOLTIP_PVP_TOURNAMENT_ENTER	Uczestnictwo w turnieju PvP
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	Turniej PvP PD +{}%
TOOLTIP_REQUIREMENT_21_LEVEL	Musisz osiągnąć Poziom 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Musisz osiągnąć Poziom 41.
TOOLTIP_REQUIREMENT_LEVEL	Musisz osiągnąć Poziom {}.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	{} Poziom {} wymagany.
TOOLTIP_REQUIREMENT_STAT_LEVEL	{} {} wymagany
TOOLTIP_RESIST_BOW	Odporność na Strzały +{}%
TOOLTIP_RESIST_DARK	Odporność na mrok +{}%
TOOLTIP_RESIST_EARTH	Odporność na ziemię +{}%
TOOLTIP_RESIST_ELEC	Odporność na Błyskawice: {}%
TOOLTIP_RESIST_FIRE	Odporność na Ogień: {}%
TOOLTIP_RESIST_ICE	Odporność na lód +{}%
TOOLTIP_RESIST_MAGIC	Odporność na Magię: {}%
TOOLTIP_RESIST_MAGIC_REDUCTION	Antymagia o {}%
TOOLTIP_REST_USABLE_COUNT	Pozostało: {}
TOOLTIP_SEALED	Przywiązanie do duszy
TOOLTIP_SELLPRICE	Cena: {}
TOOLTIP_SET_ITEM	Bonus zestawu
TOOLTIP_SHAMAN	Szaman
TOOLTIP_SHIELD	Tarcza
TOOLTIP_SHOES	Buty
TOOLTIP_SKILL	Umiejętności
TOOLTIP_SKILLBOOK_NAME	Księga Umiejętności
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Wartość Ataku: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Wartość Ataku:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Szybkość Ataku: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Obrona:
TOOLTIP_SKILL_AFFECT_DODGE	Wartość Ataku przeciwnika: -
TOOLTIP_SKILL_AFFECT_HEAL	Regeneracja PŻ:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Szybkość Ruchu: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Szansa na odbicie ataku:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Odporność na Obrażenia:
TOOLTIP_SKILL_COOL_TIME	Odnowa: 
TOOLTIP_SKILL_DAMAGE_BONUS	Obrażenie Umiejętności: {}%
TOOLTIP_SKILL_DEFEND_BONUS	Odporność na Obrażenia Umiejętności {}%
TOOLTIP_SKILL_DURATION	Czas trwania: {} Sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Księga Zapomnienia
TOOLTIP_SKILL_LEVEL	Aktualny Poziom: {}
TOOLTIP_SKILL_LEVEL_MASTER	Aktualny Poziom: {} (Mistrz)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktualny Poziom: {} (Max {})
TOOLTIP_SOCKET_EMPTY	Pusty
TOOLTIP_SOCKET_REFINABLE_ITEM	[Przedmiot ze slotem]
TOOLTIP_SP_REGEN	Regeneracja PE: +{}%
TOOLTIP_STR	Siła: +{}
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Ładowanie czasu {} sek.
TOOLTIP_TIME_CHARGER_PER	Ładowanie czasu {}% 
TOOLTIP_UNIQUE	Unikat
TOOLTIP_UNSEAL_LEFT_TIME	Oderwanie od duszy za: {}H {}M
TOOLTIP_WARRIOR	Wojownik
TOOLTIP_WEAPON	Broń
TOOLTIP_WOLFMAN	Likan
TOOLTIP_WRISTLET	Bransoleta
UI_ACCEPT	Akceptuj
