%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Per migliorare questa abilità devi leggere ancora %d Libri dell'Abilità. 
%d 냥을 투자하셨습니다.	Hai investito %d Yang. 
%d 냥을 획득하셨습니다.	Hai vinto %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Devi raggiungere il livello %d per poter ricolorare i tuoi capelli. 
%d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d minuti %d secondi 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d minuti %d secondi 
%d 시간 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d secondi 
%d 종류 %d 마리 낚음	Ne hai catturati %d di %d. 
%d 초 동안 채팅금지 상태입니다	Il tuo blocco chat durerà ancora %d secondi 
%d 초 후에 군주의 축복을 사용할 수 있습니다	La Benedizione dell'Imperatore può essere utilizzata dopo %d sec. 
%d 초간 쿨타임이 적용중입니다.	Tempo d'attesa circa %d sec. 
%d 초후 목적지로 이동됩니다.	%d secondi dopo averlo usato arrivi nel luogo desiderato. 
%d%% 확률로 관통 공격	Attacco perforante con una probabilità di %d%%. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Aumento dell'esperienza %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Aumento degli Yang saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% di possibilità di rigenerare i tuoi HP dopo un vittoria sull'avversario. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Aumento degli oggetti saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 정신력 회복	Aumento della mana di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 치명타 공격	Attacco critico con una probabilità di %d%%. 
%d%% 확률로 타격시 상대 전신력 소모	Con una probabilità di %d%% la mana dell'avversario sarà presa. 
%d%% 확률로 피해시 정신력 회복	Probabilità di assorbimento di %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Tempo di gioco viene aggiunto al tuo account. (Nr. di pagamento %d) 
%d의 경험치를 획득했습니다.	Hai ricevuto %d esperienza. 
%d초 남았습니다.	%d secondi al logout. 
%d초 만큼 충전되었습니다.	%d secondi sono stati caricati. 
%d초 후 게임이 셧다운 됩니다.	Tra %d secondi il gioco sarà concluso. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consumo SP: %d. 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numero della Terra Santa %d. 
%s 군주 후보에서 삭제하였습니다	%s è cancellato come candidato alla carica di imperatore. 
%s 군주로 입명 했습니다.	%s è nominato Imperatore. 
%s 군주르 제거 하였습니다..	L'Imperatore %s è stato destituito. 
%s 군주를 제거 할수 없습니다.	L'Imperatore %s non può essere destituito. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	La Gilda %s ha dichiarato guerra alla Gilda %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s ha vinto la guerra tra Gilde contro %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s ha conquistato la bandiera della %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	La guerra tra Gilde di %s e %s è finita in parità. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	La guerra tra Gilde di %s e %s è stata interrotta. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	La guerra tra Gilde di %s e %s comincerà tra pochi minuti! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	La guerra tra Gilde di %s e %s è cominciata! 
%s 길드의 %s이 %d%% 증가했습니다!	%s della Gilda %s è salito di %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s della Gilda %s si è normalizzato. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	La bandiera della Gilda %s è stata rubata dal giocatore %s. 
%s 는 군주 후보가 아닙니다.	%s non è un candidato alla carica di Imperatore. 
%s 는 군주로 입명할수 없습니다 .	%s Non può essere nominato Imperatore. 
%s 님과의 교환이 성사 되었습니다.	Il commercio con %s è riuscito. 
%s 님에게 파티가입 신청을 했습니다.	Desideri entrare nel gruppo di %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s ha rifiutato l'invito. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Il giocatore %s è nel canale %d. (Il tuo canale è %d) 
%s 님은 접속되 있지 않습니다.	%s non è online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Il giocatore è già nella votazione. 
%s 님을 소환하였습니다.	Hai reclutato il giocatore %s. 
%s 님이 대련에서 승리하였습니다.	%s ha vinto il duello. 
%s 님이 승리하였습니다.	%s ha vinto. 
%s 블럭! (%d%%)	%s blocca! (%d%%). 
%s 아이템 을 획득하셨습니다	Hai vinto %s oggetto. 
%s 아이템이 필요합니다	Ti serve %s. 
%s 에게로 이동합니다	Teleportare dal giocatore %s. 
%s 회피! (%d%%)	%s eludi! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: questa Gilda non esiste. 
%s[%d]가 공격 위치: %d %d	Posizione d'attacco di %s[%d]: %d %d 
%s님과의 대결 시작!	La lotta con %s è iniziata! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s ti ha sfidato alla lotta! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s ha lanciato i dadi. Lui/lei ha ottenuto %d (%d-%d). 
%s를 구웠습니다.	Arrostisci %s sul fuoco. 
%s에 박혀있던 보석이 사라집니다.	Una pietra preziosa di %s è sparita. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Un fuoco di vedetta è stato acceso a %s per avvertire di una battaglia. 
%s에게 대결신청을 했습니다.	Hai sfidato alla lotta %s. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	A %s c'è una guerra per accendere i fuochi di vedetta. 
%s에서 소켓 빠질때까지 남은 시간 %d	Alla rimozione della montatura di %s rimangono: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s è salito di %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s di %s si è normalizzato. 
%s의 군주가 %s 님으로 교체되었습니다.	L'imperatore di %s è stato modificato in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s ha distrutto tutti i fuochi di vedetta. 
%s이 봉화를 파괴했습니다.	%s ha distrutto il fuoco di vedetta. 
%s이 수성에 성공했습니다.	A %s è riuscita la difesa. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s ha perso la guerra perchè non sono riusciti a difendere il castello. 
%s이 필요합니다.	Per fare questo ti serve: %s 
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Suran is here!	Jagras: Suran is here!
Jagras: Defeat him!	Jagras: Defeat him!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Great job!	Jagras: Great job!
Jagras: Be careful now!	Jagras: Be careful now!
Jagras: 2 Surans are coming!	Jagras: 2 Surans are coming!
Jagras: Kill them!	Jagras: Kill them!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: 30 minutes left!	Jagras: 30 minutes left!
Jagras: 15 minutes left!	Jagras: 15 minutes left!
Jagras: 10 minutes left!	Jagras: 10 minutes left!
Jagras: 5 minutes left!	Jagras: 5 minutes left!
Jagras: Hurry up!!	Jagras: Hurry up!!
Jagras: 1 minute left!	Jagras: 1 minute left!
Jagras: You are almost failed!!	Jagras: You are almost failed!!
Jagras: Time has expired!	Jagras: Time has expired!
Jagras: You failed!	Jagras: You failed!
Jagras: You will be teleported out of dungeon!	Jagras: You will be teleported out of dungeon!

PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	You must wait %d seconds. %d seconds left. 
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	No item found. 
Die Gruppe von	The group of 
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 absolved the Underwater-Dungeon, congratulations! 
%s hat das maximale Level erreicht, Glückwunsch!	%s reached the maximum Level, congratulations!
You cannot enhance the time of this item while it is stacked.	You cannot enhance the time of this item while it is stacked. 
Maintenance shutdown will begin in %d seconds.	Maintenance shutdown will begin in %d seconds.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	We compliment the Guild %s they defeated Meley, the Queen of the Dragons!
All demons were defeated.	All demons were defeated.
Visits the Maw of the in heh to open another to fate castle.	Visits the Maw of the in heh to open another to fate castle.
There isn't enough space in the inventory.	There isn't enough space in the inventory.
%s has married %s	%s has %s married.
Block: 	Block: 
Guild	Guild
Exchange	Exchange
Duel	Duel
Request	Request
Chat	Chat
Whisper	Whisper
Friend	Friend
Equip	Equip
Shop	Shop
Group	Group
There are invalid characters in your title.	There are invalid characters in your title.
You cannot use this color in your title.	You cannot use this color in your title.
The player %s blocked viewing of his equipment!	The player %s blocked viewing of his equipment!
You blocked duel requests for %s	You blocked duel requests for %s
You cannot activate and deactivate this so quickly	You cannot activate and deactivate this so quickly
You can only change your equipment while you are still.	You can only change your equipment while you are still.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Kill Metin Stones until you get a Frost Key and open the pillars with it.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	The seals are opened, the Baron Nashor appears!
Besiegt den Boss!	Defeat the boss!
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	Il gruppo di %s ha sconfitto il boss %s %s volte, congratulazioni! (%s Seconds)
%s hat den %s gekillt	The group of %s has defeated the %s, congratulations!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s has successfully completed the 1st Biologist Quest. The biologist awards you 20% half-human.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s has successfully completed the 2nd Biologist Quest. The biologist awards you 30% half-human.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s has successfully completed the 3rd Biologist Quest. The biologist awards you 40% half-human.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s has successfully completed the 4th Biologist Quest. The biologist awards you 60% half-human.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s has successfully completed the 5th Biologist Quest. The biologist awards you 50% Strong against Creatures.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s has successfully completed the 6th Biologist Quest. The biologist awards you 100% Strong against Creatures.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s has successfully completed the 7th Biologist Quest. The biologist awards you 50% Strong against Mystics.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s has successfully completed the 8th Biologist Quest. The biologist awards you 100% Strong against Mystics.
Easter dungeon: You still have to defeat %s monsters to move on.	You still have to defeat %s monsters to move on.
Easter dungeon: %s eggs has left!	%s easter eggs has left!
Easter dungeon: %s metin stones has left!	%s metin stones has left!
CANNOT_WARP_NOW	Non puoi ancora fare questa attività.
You cannot perform this action right now.	Non puoi eseguire questa azione in questo momento.
You can't open an empty shop.	Non puoi eseguire questa azione in questo momento.
You already have a shop opened.	Hai già un negozio aperto. 
You sold %dx %s for %lld Yang.	Hai venduto %dx %s per %lld Yang.
You've withdrawn %lld Yang from your shop sales stash.	Hai venduto %dx %s per %lld Yang. 
ITEM_SEALED	Questo oggetto è stato legato con successo all'anima.
ITEM_SEALED_CANNOT_MODIFY	Gli oggetti legati all'anima non possono essere modificati.
변경 시킬 속성이 없습니다	Non puoi incantare questo oggetto senza il bonus 6/7.
You cannot open a storage if another Window is already open.	Non puoi incantare questo oggetto senza il bonus 6/7.
Switchbot Slot %d stopped out of bonus changers.	Switchbot Slot %d ha finito i cambi di bonus.
Du wirst in %s Sekunden herausteleportiert.	Sarai teletrasportato tra %s secondi.
You don't have enough money!	Non hai abbastanza soldi!
You can not open a shop while you are trading.	Non si può aprire un negozio mentre si fa trading.
Your cannot spawn your pet while having the status window open.	Non puoi generare il tuo animale domestico mentre hai la finestra di stato aperta.
You cannot add attributes to this item.	Non puoi aggiungere attributi a questo elemento.
You cannot change the attributes of this item.	Non puoi cambiare gli attributi di questo elemento.
This food can only be used for pet level %d to %d	Questo cibo può essere usato solo per gli animali di livello %d a %d
This food is only for pets	Questo cibo è solo per animali domestici
Your pet no longer listens to you. Your level is too low.	Il tuo animale domestico non ti ascolta più. Il tuo livello è troppo basso.
The pet already has reached its maximum level	L'animale ha già raggiunto il suo livello massimo
<Guild> The field war is disabled on this server.	<Guild> Il campo guerra è disabilitato su questo server.
You can not use this so fast.	Non si può usare così velocemente.
You have successfully added a socket to this item.	Hai aggiunto con successo un socket a questo articolo.
You cannot add sockets to this item.	Non è possibile aggiungere prese a questo articolo.
Successfully added a socket to this item	Aggiunta con successo una presa a questo articolo
This item already cannot gain more sockets.	Questo oggetto non può già guadagnare altre prese.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	Non puoi spostare oggetti mentre sei in un negozio.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	Non puoi spostare oggetti mentre sei in un negozio.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	Non puoi spostare oggetti mentre sei in un negozio.
You cannot add sockets to an item with less than 3 sockets.	Non puoi aggiungere prese a un oggetto con meno di 3 prese.
You can only change your shop name once every hour (%02d:%02d:%02d).	Puoi cambiare il nome del tuo negozio solo una volta ogni ora (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	Hai cercato di mettere nel negozio almeno un oggetto che non può ancora essere scambiato.
You cannot use this item on this map.	Non puoi usare questo oggetto su questa mappa.
%s scored first blood	%s ha segnato il primo sangue
You cannot unequip the armor. Not enough space for your armor effect	Non puoi disarmare l'armatura. Non c'è abbastanza spazio per il tuo effetto armatura
You need to wait some time for the next emotion.	Bisogna aspettare un po' di tempo per la prossima emozione.
%s blocks duel requests	%s blocca le richieste di duello
Failed to make one socket permanent	Non è riuscito a rendere permanente una presa
Successfully to made one socket permanent	Successo nel rendere permanente una presa
Already every socket permanent	Già ogni presa permanente
A world boss is [%s] spawned.	Un boss del mondo è [%s] spawnato.
You cannot use this item in this area.	Non puoi usare questo articolo in questa zona.
Missing %s %s to create the recipe you have chosen	Manca %s %s per creare la ricetta che hai scelto
Double Drop Amount	Doppio evento di bottino
Double-Loot Event is active!	L'evento Double-Loot è attivo!
%s: Double-Loot Event is active	%s: L'evento Double-Loot è attivo
%s: Double-Loot Event ended	%s: L'evento del doppio bottino è terminato
%s has killed you with hp %d left over.	%s killed you with %d hp left.
There is no one currently registered in the ranking.	Non c'è nessuno attualmente registrato nella classifica.
Player %s successfully finished Battle Pass %s.	Il giocatore %s ha terminato con successo il Passaggio di Battaglia %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Distruggere la pietra entro 4 minuti!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: Altrimenti, sarai teletrasportato fuori dal dungeon.
Ancient pyramid: You will continue in few seconds.	Kulve Taroth: Continuerete tra pochi secondi.
Ancient pyramid: You have failed!	Kulve Taroth: Hai fallito!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Uccidere i mostri per raccogliere pezzi di pergamen, una volta che hai 4 pezzi
Ancient pyramid: destroy the %s!	Kulve Taroth: distruggere il %s!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Hai tutti i pezzi! Vai al sigillo e decifralo!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: Era un incantesimo per evocare %s, uccidilo!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Salterai al piano successivo in pochi secondi
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: Trova e distruggi le % giuste in 21 minuti!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Fate attenzione, qualcosa di forte si nasconde dentro di loro!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Hai distrutto la pietra giusta!
Ancient pyramid: %s is coming!	Kulve Taroth: %s sta arrivando!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Questa pietra era solo un'illusione.
Ancient pyramid: You have failed!	Kulve Taroth: Avete fallito!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Salterai al piano successivo in pochi secondi
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Trova una via d'uscita da questo labirinto!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: Alla fine, devi uccidere dei veri %s!
Ancient pyramid: This was the real %s	Kulve Taroth: Questo era il vero %s
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Verrai spostato al prossimo piano in pochi secondi
Ancient pyramid: This was a fake %s!	Kulve Taroth: Questo era un falso %s!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Distruggi tutti i %s, ma fai attenzione, ha un suo meccanismo!
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: Devi distruggerli nella sequenza esatta!
Ancient pyramid: This was the right one!	Kulve Taroth: Questo era quello giusto!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Ora distruggi %s per ottenere un altro oggetto!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Devi distruggere altri %s
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Grande! I mostri stanno arrivando! Uno di loro ha un altro oggetto!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Devi distruggere altri %s
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Devi distruggere altri %s
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Grande, ma ora, per avvisare!!!
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: Il vero Anubis sta arrivando!
Ancient pyramid: %s stones has left!	Kulve Taroth: %s stones ha lasciato!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Sarai spostato al prossimo piano in pochi secondi
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Distruggi %s per poter evocare un vero boss!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Uccidere tutti i mostri ora!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: L'incantesimo è sparito, puoi prendere il %s
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: L'incantesimo è sparito, puoi prendere il %s
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s apparirà.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Può generare tutti i mostri e i boss precedenti!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Se lo distruggi entro 5 minuti, eviti di attirare altri mostri!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: L'incantesimo è sparito, puoi prendere il %s
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Sei stato troppo lento, i mostri ti hanno visto!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Stanno arrivando, uccideteli tutti!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s ha generato!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed	Kulve Taroth: Distruggilo entro 3 minuti! Altrimenti, il dungeon sarà chiuso
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: Il %s non ha più il potere di fare magie!
Ancient pyramid: Kill it!!	Kulve Taroth: Kill it!!
Ancient pyramid: You have failed!	Kulve Taroth: Hai fallito!
Ancient pyramid: The %s has been protected!	Kulve Taroth: Il %s è stato protetto!
Anci group: You did it! Spectacular job!	Kulve Taroth: Ce l'hai fatta! Lavoro spettacolare!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: Dungeon sarà chiuso automaticamente tra 3 minuti.
Ancient pyramid: You have failed!	Kulve Taroth: Hai fallito!
%s benötigte %s Sekunden	%s aveva bisogno di %s secondi!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Distruggere tutte le %s! Hai solo un tempo limitato! Sbrigati!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Time is up. You have failed!
Shadow tower: %s is coming!	Vaal Hazak: il tempo è scaduto. Hai fallito!
Shadow tower: Kill second wave of monsters to destroy second %s!	Vaal Hazak: Uccidi la seconda ondata di mostri per distruggere il secondo %s!
Shadow tower: Time is up. You have failed!	Vaal Hazak: il tempo è scaduto. Hai fallito!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: You have destroyed the right stone!	Vaal Hazak: Hai distrutto la pietra giusta!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: This one was just an illusion!	Vaal Hazak: Questa era solo un'illusione!
Shadow tower: Well done! Now destroy the %s to able to continue!	Vaal Hazak: Ben fatto! Ora distruggi le %s per poter continuare!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: Great job! You will proceed in few seconds!	Vaal Hazak: Ottimo lavoro! Procederete tra pochi secondi!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Il tempo è scaduto. Avete fallito!
Shadow tower: Protection of %s is gone. You can kill him now!	Vaal Hazak: La protezione di %s è sparita. Ora puoi ucciderlo!
Shadow tower: %s wasn't destroyed yet. %s was recovered from shadows!	Vaal Hazak: %s non è stato ancora distrutto. %s è stato recuperato dalle ombre!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: You died three times. You have failed.	Vaal Hazak: Sei morto tre volte. Hai fallito.
Shadow tower: Time is up. You have failed!	Vaal Hazak: Il tempo è scaduto. Avete fallito!
Shadow tower: Beware! %s is coming!	Vaal Hazak: Attenzione! %s sta arrivando!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: If you have %s, you have last %s seconds to use it!	Vaal Hazak: Se hai %s, hai ultimi %s secondi per usarlo!
Shadow zone: %s is now active! %s is gonna be much weaker!	Vaal Hazak: %s è ora attivo! %s sarà molto più debole!
Shadow tower: This effect is already active!	Vaal Hazak: %s è ora attivo! %s sarà molto più debole!
Shadow tower: You can use this only during first 8 floors!	Vaal Hazak: Questo effetto è già attivo!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: Time is up. You have failed!	Vaal Hazak: %s è stato rivelato! Puoi procedere al prossimo piano!
Shadow tower: One more wave is coming!	Vaal Hazak: Sta arrivando un'altra ondata!
Shadow tower: A monster is coming, its unknown!	Vaal Hazak: Un mostro sta arrivando, è sconosciuto!
Shadow tower: You are almost at the end. But the worst is just about to come!	Vaal Hazak: Siete quasi alla fine. Ma il peggio sta per arrivare!
Shadow tower: Time is up. You have failed	Vaal Hazak: Il tempo è scaduto. Hai fallito
Shadow tower: You will be teleported out of dungeon in %s minutes.	Vaal Hazak: Sarai teletrasportato fuori dal dungeon in %s minuti.
Shadow tower: Destroy both %s! Destroy all monsters to get a key!	Vaal Hazak: Distruggi entrambi i %s! Distruggi tutti i mostri per ottenere una chiave!
Shadow tower: Find real %s and destroy it!	Vaal Hazak: Trova il vero %s e distruggilo!
Shadow tower: Every wrong stone hides %s inside!	Vaal Hazak: Ogni pietra sbagliata nasconde %s all'interno!
Shadow tower: The more fake stones you destroy, the more HP will have a next boss!	Vaal Hazak: Più pietre false distruggi, più HP avrà il prossimo boss!
Shadow tower: Kill all monsters to get %s, then start to build a %s	Vaal Hazak: Uccidi tutti i mostri per ottenere %s, poi inizia a costruire un %s
Shadow tower: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!	Vaal Hazak: Distruggi %s in %s minuti! Altrimenti dovrai finire la prossima missione 2x!
You are not allowed to create a shop on this map.	You are not allowed to create a shop on this map.
