ACCE_ABSORB_COST	Costo dell'assorbimento: {}
SELECT_EMPTY_SLOT	Questo è un campo vuoto
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Inserisci un nuovo nome del personaggio.
SELECT_NOT_JOIN_GUILD	Nessuna Gilda
SERVER_NOTIFY_CLOSED	Server chiuso: vi possono accedere solo account con status VIP o account creati prima della chiusura.
SERVER_STATUS_CLOSE	CHIUSO
SERVER_STATUS_NEW	NOVITÀ
SERVER_STATUS_SPECIAL	SPECIALE
SHOP_BUY_INFO	Scegli dalla vetrina l'oggetto che vorresti acquistare.
SHOP_CANNOT_SELL_EQUIPMENT	Non puoi vendere degli oggetti in uso.
SHOP_CANNOT_SELL_ITEM	Questto oggetto non è in vendita
SHOP_ERROR_UNKNOWN	Errore di caricamento sconosciuto: {}
SHOP_EXCEED_LIMIT_TODAY	Hai già superato il limite giornaliero per l'utilizzo dei punti.
SHOP_INVALID_POS	Questo oggetto non è adatto.
SHOP_INVENTORY_FULL	Nel magazzino non c'è più posto.
SHOP_LIMITED_DATA_LOADING	I dati verranno caricati a breve. Riprova più tardi.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Oggetti rimanenti: {}
SHOP_LIMITED_PURCHASE_OVER	Esaurito
SHOP_LIMIT_TODAY	Limite giornaliero: {} / {}
SHOP_MY_BATTLE_POINT	Punti battaglia: {}
SHOP_NOT_ENOUGH_10TH_COIN	Non hai abbastanza Monete dell'anniversario.
SHOP_NOT_ENOUGH_BATTLE_POINT	Non hai abbastanza punti battaglia.
SHOP_NOT_ENOUGH_MONEY	Non hai abbastanza Yang
SHOP_NOT_ENOUGH_CASH	Non hai abbastanza Coins
SHOP_NOT_ENOUGH_MONEY_EX	Non hai {} a sufficienza.
SHOP_SELL_INFO	Scegli dal tuo inventario l'oggetto che vuoi vendere.
SHOP_SOLDOUT	Esaurito
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: {}
SKILL_BLEEDING	Emorragia
SKILL_BOHO	Riflettere
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ti serve EXP per imparare questa abilità.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ti serve un libro per imparare questa abilità.
SKILL_CHEONGEUN	Corpo forte
SKILL_CRITICAL	Colpo critico
SKILL_ENCHANT_POISON	Applica il veleno
SKILL_EUNHYEONG	Camuffamento
SKILL_FAINT	Svenimento
SKILL_FIND_TRAP	Cerca trappola
SKILL_FIRE	Fuoco duraturo
SKILL_FISHMIND	La palla di pesce è usata.
SKILL_GAMJI	Mirare
SKILL_GEOMGYEONG	Aura della spada
SKILL_GICHEON	Aiuto del drago
SKILL_GIGONG	Rotazione Chi
SKILL_GONGPO	Terrore
SKILL_GRADE_NAME_GRAND_MASTER	{} Gran Maestro
SKILL_GRADE_NAME_MASTER	{} Maestro
SKILL_GRADE_NAME_PERFECT_MASTER	{} Maestro perfetto
SKILL_GROUP_ASSASSIN_1	Lama
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitazione
SKILL_GROUP_SHAMAN_1	Drago
SKILL_GROUP_SHAMAN_2	Guarigione
SKILL_GROUP_SURA_1	Armi
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mentale
SKILL_GWIGEOM	Lama incantata
SKILL_GYEONGGONG	Passo piumato
SKILL_HEUKSIN	Protezione oscura
SKILL_HOSIN	Benedizione
SKILL_INC_ATKSPD	Velocità di attacco aumentata
SKILL_INC_MOVSPD	Velocità di movimento aumentata
SKILL_JEOJU	Maledizione
SKILL_JEONGEOP	Guarire
SKILL_JEONGWI	Estasi da combattimento
SKILL_JEONSINBANGEO	Difesa piena
SKILL_JEONSINGONGGYEOK	Attacco pieno
SKILL_JEUNGRYEOK	Attacco +
SKILL_JEUNGSOK	Vlocità +
SKILL_JUMAGAP	Armatura incantata
SKILL_KWAESOK	Velocità
SKILL_MUYEONG	Spirito della fiamma
SKILL_NEED_EMPTY_BOTTLE	Non ho altre bottiglie vuote.
SKILL_NEED_POISON_BOTTLE	Non ho bottiglie di veleno.
SKILL_ONLY_FOR_GUILD_WAR	Puoi usare questa abilità solo nella guerra tra Gilde.
SKILL_PABEOP	Togli incantesimo
SKILL_POWERFUL_STRIKE	Attacco anestetizzante
SKILL_SEOMGWANG	Bomba lampo
SKILL_SLEEP	Sonno
SKILL_SLOW	Lento
SKILL_STUN	Anestetizzare
SKILL_SUHO	Guardiano
SKILL_SUMMON_DESCRIPTION	Possibilità di evocazione: {}%
SKILL_TOOLTIP_INT	Intelligenza
SKILL_TOOLTIP_LEVEL	Livello
SKILL_TOXICDIE	Avvelenamento
SKILL_TOXICPOWER	Valore di avvelenamento migliorato
SKILL_TUSOK	Colpo dello spirito
SOUL_ITEM_TOOLTIP_APPLY	Effetto attivato
SOUL_ITEM_TOOLTIP_BLUE1	Tempo di gioco: {}/{} min. 
SOUL_ITEM_TOOLTIP_BLUE2	Quando si raggiunge il tempo di gioco il danno dell'abilità incrementa di {:.1f} volta/e.
SOUL_ITEM_TOOLTIP_COMMON	Non vale per: PvP, Trasformazione
SOUL_ITEM_TOOLTIP_RED1	Tempo di gioco: {}/{} min. 
SOUL_ITEM_TOOLTIP_RED2	Quando si raggiunge il tempo di gioco il danno dell'abilità incrementa di {:.1f} volta/e.
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Attacchi rimanenti: {}
SOUL_ITEM_TOOLTIP_REMOVE_TIME	L'anima si spegne tra
SOUL_ITEM_TOOLTIP_UNAPPLIED	Effetto non attivato
SOUL_REFINE_FAILURE	L'evoluzione non è andata buon fine.
SOUL_REFINE_SUCCESS	Evoluzione compiuta con successo!
STAT_MINUS_CON	Adattamento della vitalità (Possibilità rimaste: {})
STAT_MINUS_DEX	Adattamento della destrezza (Possibilità rimaste: {})
STAT_MINUS_INT	Adattamento dell'intelligenza (Possibilità rimaste: {})
STAT_MINUS_STR	Adattamento della forza (Possibilità rimaste: {})
STAT_TOOLTIP_CON	HP e Difesa aumentati
STAT_TOOLTIP_DEX	Precisione e Fuga aumentati
STAT_TOOLTIP_INT	MP e Difesa-Attacco magici aumentati
STAT_TOOLTIP_STR	Valori Attacco e Danno migliorati
SYMBOLLIST_TITLE	Registrare la bandiera della Gilda
SYSTEM_OPTION_CPU_TILING_1	La modalità CPU Tiling può migliorare la velocità di un PC lento.
SYSTEM_OPTION_CPU_TILING_2	Se si dovessero verificare problemi con la grafica, scegli ,Opzioni di sistema o ,CONFIG.exe
SYSTEM_OPTION_CPU_TILING_3	ed usa così il GPU-Tiling-Modus
SYSTEM_OPTION_GPU_TILING_1	La modalità GPU Tiling potrebbe andare più lentamente su un PC vecchio
SYSTEM_OPTION_GPU_TILING_2	Se si verificano dei problemi con la grafica scegli "Opzioni di Sistema" o "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	e cambia in modalità CPU Tiling
SYSTEM_OPTION_TILING_EXIT	Per cambiare la modalità Tiling devi riavviare il gioco.
TARGET_BUTTON_ACCEPT_FIGHT	Accetta
TARGET_BUTTON_AVENGE	Vendetta
TARGET_BUTTON_BLOCK	Blocca
TARGET_BUTTON_BLOCK_REMOVE	Sblocca
TARGET_BUTTON_BUILDING_DESTROY	Distruggi
TARGET_BUTTON_DISMOUNT	Scendi
TARGET_BUTTON_EMOTION_ALLOW	Emozioni
TARGET_BUTTON_EXCHANGE	Commercia
TARGET_BUTTON_EXCLUDE	Escludi
TARGET_BUTTON_EXIT_OBSERVER	Termina la modalità spettatore
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Amico
TARGET_BUTTON_INVITE_GUILD	Invito Gilda.
TARGET_BUTTON_INVITE_PARTY	Invito Gruppo.
TARGET_BUTTON_LEAVE_PARTY	Lascia gruppo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entra nel gruppo
TARGET_BUTTON_REVIVE	Resuscita
TARGET_BUTTON_VIEW_EQUIPMENT	Armatura
TARGET_BUTTON_WHISPER	Chat privata
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Grado 5
TARGET_LEVEL_KNIGHT	Grado 3
TARGET_LEVEL_PAWN	Grado 1
TARGET_LEVEL_S_KNIGHT	Grado 4
TARGET_LEVEL_S_PAWN	Grado 2
TARGET_TOOLTIP_ATTACK_COUNT	Punteggio totale: {}
TASKBAR_ATTACK	Attacca
TASKBAR_AUTO	Attacca automaticamente
TASKBAR_CAMERA	Videocamera
TASKBAR_EXP	Esperienza
TASKBAR_HP	HP
TASKBAR_MOVE	Muovi
TASKBAR_SKILL	Abilità
TASKBAR_SP	MP
TASKBAR_ST	AP
TENTH_COIN	Moneta/e dell'anniversario
TENTH_EVENT_ASK_EXCHANGE	Ti servono {} Bandiere dell'anniversario. Desideri continuare?
THING_COUNT	x
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Riduci danno
TOOLTIP_AFFECT_CONFUSION	Ti hanno stordito.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Riduci la probabilità di colpo critico
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Signum del guardiano
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Non è stato possibile interrompere il raggio idrico.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Riduci difesa
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Lampo
TOOLTIP_AFFECT_MOUNT_FALL	Caduta dalla cavalcatura
TOOLTIP_AFFECT_POLYMORPH	Trasformazione
TOOLTIP_AFFECT_RCAST_SPEED	Incrementa tempo di ricarica
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elisir del ricercatore
TOOLTIP_AFFECT_RHP_REGEN	Non è possibile riposarsi
TOOLTIP_ANTI_CRITICAL_PCT	Resistenza contro il colpo critico +{}% 
TOOLTIP_ANTI_PENETRATE_PCT	Resistenza contro i colpi trafiggenti +{}%
TOOLTIP_ANTI_SELL	Non può essere venduto nel negozio.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Tasso di assorbimento: {}%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro Rathalos +{}%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro Ninja +{}%
TOOLTIP_APPLY_ATTBONUS_BELL	Interruzione della difesa campana +{}%
TOOLTIP_APPLY_ATTBONUS_BOW	Interruzione della difesa frecce +{}%
TOOLTIP_APPLY_ATTBONUS_CLAW	Interruzione della difesa artigli +{}%
TOOLTIP_APPLY_ATTBONUS_CZ	Forte contro i mostri Zodiaco +{}%
TOOLTIP_APPLY_ATTBONUS_DAGGER	Interruzione della difesa pugnale +{}%
TOOLTIP_APPLY_ATTBONUS_DESERT	Forte contro mostri del deserto +{}%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo +{}%
TOOLTIP_APPLY_ATTBONUS_FAN	Interruzione della difesa ventaglio +{}%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contro Mezziuomini +{}%
TOOLTIP_APPLY_ATTBONUS_INSECT	Forte contro gli insetti +{}%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro Gods +{}%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contro mostri +{}%
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro Fatalis +{}%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro Shamane +{}%
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +{}%
TOOLTIP_APPLY_ATTBONUS_SWORD	Interruzione della difesa spada +{}%
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Interruzione della difesa spadone +{}%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie +{}%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +{}%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contro lican + {}%
TOOLTIP_APPLY_BLEEDING_PCT	Attacco sanguinante + {}%
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistenza contro l'attacco sanguinante + {}%
TOOLTIP_APPLY_BLOCK	Possibilità blocco attacco corporale {}%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Rigenerare in battaglia {} MP ogni 5 Sec.
TOOLTIP_APPLY_CRITICAL_PCT	+ {}% di possibilità nei colpi critici
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	{}% di possibilità di mantenere MP nei colpi
TOOLTIP_APPLY_DODGE	{}% di possibilità di schivare frecce
TOOLTIP_APPLY_ENCHANT_DARK	Forza dell'oscurità +{}%
TOOLTIP_APPLY_ENCHANT_EARTH	Forza della terra +{}%
TOOLTIP_APPLY_ENCHANT_ELECT	Forza del fulmine +{}%
TOOLTIP_APPLY_ENCHANT_FIRE	Forza del fuoco +{}%
TOOLTIP_APPLY_ENCHANT_ICE	Forza del ghiaccio +{}%
TOOLTIP_APPLY_ENCHANT_WIND	Forza del vento +{}%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	{}% di possibilità sul EXP Bonus
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	{}% di possibilità di lasciar cadere Yang
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro caduta
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro rallentamento
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento
TOOLTIP_APPLY_ITEM_DROP_BONUS	{}% di possibilità di far cadere il doppio degli oggetti
TOOLTIP_APPLY_KILL_HP_RECOVER	{}% di possibilità di rigenerare HP
TOOLTIP_APPLY_KILL_SP_RECOVER	{}% di possibilità di rigenerare MP
TOOLTIP_APPLY_MANA_BURN_PCT	{}% di possibilità prendere MP dell'avversario
TOOLTIP_APPLY_MAX_HP_PCT	HP max. +{}% 
TOOLTIP_APPLY_MAX_SP_PCT	MP max. +{}% 
TOOLTIP_APPLY_NOAFFECT	Nessun effetto
TOOLTIP_APPLY_NO_DEATH_PENALTY	Facendo rinascere il personaggio sul luogo della sua morte non perderà punti esperienza.
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Il Dio Drago ti protegge con le sue ali. La rianimazione a bordo non consuma alcun punto esperienza.
TOOLTIP_APPLY_PENETRATE_PCT	{}% di possibilità su colpi che trafiggono
TOOLTIP_APPLY_POISON_PCT	Probabilità di avvelenamento: {}%
TOOLTIP_APPLY_POISON_REDUCE	Resistenza avvelenamento {}%
TOOLTIP_APPLY_POTION_BONUS	Pozione {}% aumento dell'effetto
TOOLTIP_APPLY_REFLECT_CURSE	Possibilità di riflettere maledizione: {}%
TOOLTIP_APPLY_REFLECT_MELEE	Possibilità di riflettere un attacco corporale: {}%
TOOLTIP_APPLY_RESIST_ASSASSIN	Possibilità di difesa dai ninja {}%
TOOLTIP_APPLY_RESIST_BELL	Difesa campana {}%
TOOLTIP_APPLY_RESIST_CLAW	Difesa artigli +{}%
TOOLTIP_APPLY_RESIST_DAGGER	Difesa pugnale {}%
TOOLTIP_APPLY_RESIST_FAN	Difesa ventaglio {}%
TOOLTIP_APPLY_RESIST_HUMAN	Resistenza ai Mezziuomini {}%
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Resistenza alla caduta +{}%
TOOLTIP_APPLY_RESIST_SHAMAN	Possibilità di difesa dagli shamani {}%
TOOLTIP_APPLY_RESIST_SURA	Possibilità di difesa dai sura {}%
TOOLTIP_APPLY_RESIST_SWORD	Difesa spada {}%
TOOLTIP_APPLY_RESIST_TWOHAND	Difesa spadone {}%
TOOLTIP_APPLY_RESIST_WARRIOR	Possibilità di difesa dai guerrieri {}%
TOOLTIP_APPLY_RESIST_WIND	Resistenza vento {}%
TOOLTIP_APPLY_RESIST_WOLFMAN	Possibilità di difesa dai lican {}%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Possibilità di imparare dai libri migliorata di fattore 2,5.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se l'apprendimento fallisce, hai a disposizione subito un altro tentativo.
TOOLTIP_APPLY_SLOW_PCT	Probabilità di rallentamento: {}%
TOOLTIP_APPLY_STEAL_HP	{}% di danni assorbiti da HP.
TOOLTIP_APPLY_STEAL_SP	{}% di danni assorbiti da MP.
TOOLTIP_APPLY_STUN_PCT	Probabilità di svenimento: {}%
TOOLTIP_ARMOR	Armatura
TOOLTIP_ARROW	Freccia
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valore d'attacco +{}
TOOLTIP_ATT_SPEED	Velocità d'attacco +{}%
TOOLTIP_ATT_SPEED_SLOW	Velocità di attacco ridotta
TOOLTIP_AUTO_POTION_HP	Elisir del Sole
TOOLTIP_AUTO_POTION_REST	Quantità rimasta: {:.2f}%
TOOLTIP_AUTO_POTION_SP	Elisir della Luna
TOOLTIP_AUTO_POTION_USING	Attivo
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autocaccia
TOOLTIP_BATTLE_POTION	Pozione da battaglia per la zona di combattimento
TOOLTIP_BOW_DISTANCE	Raggio d'azione dell'arco +{}m
TOOLTIP_BUYPRICE	Prezzo: {}
TOOLTIP_CAST_SPEED	Velocità della magia +{}%
TOOLTIP_CON	Vitalità  +{}
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costume {}% 
TOOLTIP_DEF_GRADE	Difesa +{}
TOOLTIP_DEX	Destrezza +{}
TOOLTIP_DRAGON_SOUL_DECK1	Cielo
TOOLTIP_DRAGON_SOUL_DECK2	Terra
TOOLTIP_DS_SET	Effetto set DSS
TOOLTIP_EAR	Orecchino
TOOLTIP_ENERGY	Energia {}
TOOLTIP_ETC	Ecc.
TOOLTIP_EXP_BONUS_EVENT	EXP +{}%
TOOLTIP_FISHINGROD_EXP	Punti: {} / {}
TOOLTIP_FISHINGROD_LEVEL	Livello: {}
TOOLTIP_FISHINGROD_UPGRADE1	Consegnare al pescatore
TOOLTIP_FISHINGROD_UPGRADE2	per ottenere una migliore
TOOLTIP_FISHINGROD_UPGRADE3	canna da pesca
TOOLTIP_FISH_LEN	Lunghezza: {:.2f} cm
TOOLTIP_GUILD_SKILL_ACCEL	Accelerazione +{}
TOOLTIP_GUILD_SKILL_BLESS	Benedizione del Dio Drago +{}
TOOLTIP_GUILD_SKILL_BLOOD	Sangue del Dio Drago +{}
TOOLTIP_GUILD_SKILL_BUNNO	Rabbia del Dio Drago +{}%
TOOLTIP_GUILD_SKILL_JUMUN	Aiuto della magia +{}%
TOOLTIP_GUILD_SKILL_SEONGHWI	Armatura benedetta +{}
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% di EXP | +5% di drop di item | +10% di forte contro mostri
TOOLTIP_HELMET	Elmo
TOOLTIP_HP_REGEN	Rigenerazione HP +{}%
TOOLTIP_INT	Intelligenza +{}
TOOLTIP_ITEM_ATT_GRADE	Valore d'attacco {}
TOOLTIP_ITEM_ATT_POWER	Valore d'attacco {} - {}
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valore d'attacco {}
TOOLTIP_ITEM_ATT_POWER_REFINE	Valore d'attacco {} - {} (+{})
TOOLTIP_ITEM_ATT_SPEED	Velocità d'attacco {}
TOOLTIP_ITEM_DEF_GRADE	Difesa {}
TOOLTIP_ITEM_FAST	Veloce
TOOLTIP_ITEM_LIMIT_CON	Valore massimo vitalità: {}
TOOLTIP_ITEM_LIMIT_DEX	Valore massimo destrezza: {}
TOOLTIP_ITEM_LIMIT_INT	Valore massimo intelligenza: {}
TOOLTIP_ITEM_LIMIT_LEVEL	Da liv. {}
TOOLTIP_ITEM_LIMIT_MAX_LEVEL	Al liv. {}
TOOLTIP_ITEM_LIMIT_MAP	La zona: {}
TOOLTIP_ITEM_LIMIT_STR	Valore massimo forza: {}
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valore attacco magico {} - {}
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valore attacco magico {}
TOOLTIP_ITEM_MAGIC_DEF_POWER	Difesa magica {}
TOOLTIP_ITEM_NORMAL	Normale
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Molto veloce
TOOLTIP_ITEM_VERY_SLOW	Molto lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipaggiabile ]
TOOLTIP_LOTTERY_STEP_NUMBER	{}
TOOLTIP_LOTTO_NUMBER	Numero fortuna: {}
TOOLTIP_MAGIC_ATTBONUS_PER	Attacco magico +{}% 
TOOLTIP_MAGIC_ATT_GRADE	Valore d'attacco magico +{}
TOOLTIP_MAGIC_DEF_GRADE	Difesa magica +{}
TOOLTIP_MALL_ATTBONUS	Valore d'attacco +{}%
TOOLTIP_MALL_ATTBONUS_STATIC	Valore d'attacco
TOOLTIP_MALL_AUTOLOOT	Drop di Yang vengono raccolti automaticamete.
TOOLTIP_MALL_DEFBONUS	Difesa +{}%
TOOLTIP_MALL_DEFBONUS_STATIC	Difesa 
TOOLTIP_MALL_EXPBONUS	EXP +{}%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +{}%
TOOLTIP_MALL_EXPBONUS_STATIC	50% in più EXP
TOOLTIP_MALL_FISH_MIND	La possibilità di catturare un pesce è aumentata.
TOOLTIP_MALL_GOLDBONUS	Probabilità di drop di Yang incrementata {}%
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppia probabilità di drop di Yang
TOOLTIP_MALL_ITEMBONUS	{}% enhanced Item-Drop
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Possibilità sul razziare oggetti più {:.1f}%
TOOLTIP_MALL_ITEMBONUS_STATIC	Doppia probabilità di drop di oggetti
TOOLTIP_MALL_MARRIAGE_FAST	Punti amore aumentano più veocemente.
TOOLTIP_MALL_SAFEBOX	Più spazio a disposizione nel magazzino.
TOOLTIP_MAX_HP	Max. HP +{}
TOOLTIP_MAX_HP_PCT	Max. HP +{}%
TOOLTIP_MAX_SP	Max. MP +{}
TOOLTIP_MAX_SP_PCT	Max. MP +{}%
TOOLTIP_MAX_STAMINA	Max. resistenza +{}
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Attacco/magico Attacco/corpo a corpo +{}% 
TOOLTIP_MEMORIZED_POSITION	{}({}, {})
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ERRORE({}, {})
TOOLTIP_MOV_SPEED	Velocità movimento {}%
TOOLTIP_NECK	Collana
TOOLTIP_NEED_ALL_SP	MP necessari: Max.
TOOLTIP_NEED_GSP	Spirito del drago necessario: {}
TOOLTIP_NEED_HP	HP necessari: {}
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: {}
TOOLTIP_NEED_SKILL_POINT	Punti abilità necessari:
TOOLTIP_NEED_SP	MP necessari: {}
TOOLTIP_NEED_SP_PER_SEC	MP / Sec.:{}
TOOLTIP_NEXT_SKILL_LEVEL_1	Prossimo livello: {} (Max. {})
TOOLTIP_NEXT_SKILL_LEVEL_2	Prossimo livello: {} (Max. {}-{})
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Danni medi {}%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistenza ai danni media {}%
TOOLTIP_PARTY_INFO_GRADE_UP1	Più di {} membri del gruppo
TOOLTIP_PARTY_INFO_GRADE_UP2	Grado d'attacco +{}
TOOLTIP_PARTY_INFO_GRADE_UP3	Grado di difesa +{}
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Ripristinare una volta in 60 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Ripristinare una volta in 30 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Devi aspettare 3 minuti dopo la morte del membro del gruppo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Puoi richiamare in ogni momento i membri del gruppo che sono sul server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Grado d'attacco +(Numero dei membri/2) {} attaccanti possono essere scelti.
TOOLTIP_PARTY_INFO_SET_TANKER	Grado di difesa +(Numero dei membri del gruppo).  Può essere scelto lottatore corpo a corpo 1.
TOOLTIP_PARTY_SKILL_LEVEL	Livello attuale: {}
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attacco/Difesa migliorata]
TOOLTIP_PARTY_TITLE_HEAL	[Ripristina]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Per più di {} membri del gruppo c'è un Bonus EXP {}%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Richiama]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[scegli attaccante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[annota lottatore corpo a corpo]
TOOLTIP_PEPSI_EVENT	5% in più di bonus EXP e 5% in più di probabilità di razziare oggetti.
TOOLTIP_PICK_EXP	Punti: {} / {}
TOOLTIP_PICK_LEVEL	Livello: {}
TOOLTIP_PICK_UPGRADE1	Consegnalo al boscaiolo
TOOLTIP_PICK_UPGRADE2	per ottenere
TOOLTIP_PICK_UPGRADE3	un piccone migliore.
TOOLTIP_POTION_CURE	Annullare effetto negativo.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocità d'attacco: +{}
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +{}%
TOOLTIP_POTION_PLUS_HP_POINT	HP +{}
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocità di movimento: +{}
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +{}%
TOOLTIP_POTION_PLUS_SP_POINT	MP +{}
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_PVP_TOURNAMENT_ENTER	Partecipazione al torneo PvP
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	EXP torneo PvP +{}%
TOOLTIP_REQUIREMENT_21_LEVEL	Devi aver raggiunto livello 21
TOOLTIP_REQUIREMENT_41_LEVEL	Devi aver raggiunto livello 41
TOOLTIP_REQUIREMENT_LEVEL	Devi aver raggiunto livello {}
TOOLTIP_REQUIREMENT_SKILL_LEVEL	{} Livello {} necessario
TOOLTIP_REQUIREMENT_STAT_LEVEL	{} {} necessario
TOOLTIP_RESIST_BOW	Difesa frecce {}%
TOOLTIP_RESIST_DARK	Resistenza contro l'oscurità +{}% 
TOOLTIP_RESIST_EARTH	Resistenza terra +{}%
TOOLTIP_RESIST_ELEC	Resistenza lampo {}%
TOOLTIP_RESIST_FIRE	Resistenza fuoco {}%
TOOLTIP_RESIST_ICE	Resistenza ghiaccio +{}%
TOOLTIP_RESIST_MAGIC	Resistenza magia {}%
TOOLTIP_RESIST_MAGIC_REDUCTION	Anti-magia del seguente valore: {}%
TOOLTIP_REST_USABLE_COUNT	Rimane: {}
TOOLTIP_SEALED	Legato all'anima
TOOLTIP_SELLPRICE	Prezzo {}
TOOLTIP_SET_ITEM	Bonus del Set
TOOLTIP_SHAMAN	Shamana
TOOLTIP_SHIELD	Scudo
TOOLTIP_SHOES	Scarpe
TOOLTIP_SKILL	Abilità
TOOLTIP_SKILLBOOK_NAME	Libro dell'abilità
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valore d'attacco: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valore d'attacco:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocità d'attacco: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Difesa:
TOOLTIP_SKILL_AFFECT_DODGE	Valore d'attacco avversario: -
TOOLTIP_SKILL_AFFECT_HEAL	ripristinare HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocità di movimento: +
