ACCE_ABSORB_COST	Abszorpció ára: {}
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Nem törölheted ezt a karaktert közvetlenül a létrehozása után. Várakozási idő: {}
SELECT_CHANGED_NAME	Megváltoztattad a karakter nevét.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Már létezik ez a  karakter név.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Próbáld meg megint.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Ez a hibás karakter név.
SELECT_CHANGE_NAME_TITLE	Karakter név változtatás
SELECT_DELEING	Karakter törlődik
SELECT_DELETED	Sikeres törlés
SELECT_DO_YOU_DELETE_REALLY	Folytatod?
SELECT_EMPTY_SLOT	Ez egy üres mező.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Adj meg egy új karakter nevet.
SELECT_NOT_JOIN_GUILD	Nem céh
SERVER_NOTIFY_CLOSED	Lezárt szerver: csak a VIP státuszú vagy a szerver lezárása előtt regisztrált felhasználói fiókokkal lehet belépni.
SERVER_STATUS_CLOSE	LEZÁRT
SERVER_STATUS_NEW	ÚJ
SERVER_STATUS_SPECIAL	SPECIÁLIS
SHOP_BUY_INFO	Válaszd ki a tárgyat, amit meg akarsz vásárolni a bolt ablakból.
SHOP_CANNOT_SELL_EQUIPMENT	Nem adhatsz el felszerelt tárgyat.
SHOP_CANNOT_SELL_ITEM	Ez a tárgy nem eladó.
SHOP_ERROR_UNKNOWN	Ismeretlen Bolt Hiba: {}
SHOP_EXCEED_LIMIT_TODAY	Már túllépted a pontok használatára megadott napi korlátod.
SHOP_INVALID_POS	Ez a tárgy nem megfelelő.
SHOP_INVENTORY_FULL	A leltárban nincs több hely.
SHOP_LIMITED_DATA_LOADING	Az adatok betöltése folyamatban van. Kérjük, próbáld újra később.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Rendelkezésre álló tárgyak: {}
SHOP_LIMITED_PURCHASE_OVER	Elfogyott
SHOP_LIMIT_TODAY	Napi korlát: {} / {}
SHOP_MY_BATTLE_POINT	Harci pontok: {}
SHOP_NOT_ENOUGH_10TH_COIN	Nincs elég Évfordulós Érméd.
SHOP_NOT_ENOUGH_BATTLE_POINT	Nincs elegendő harci pontod.
SHOP_NOT_ENOUGH_MONEY	Nincs elég Yang
SHOP_NOT_ENOUGH_CASH	Nincs elég Coins
SHOP_NOT_ENOUGH_MONEY_EX	Nincs elegendő {}.
SHOP_SELL_INFO	A leltár ablakodban válaszd ki az eladandó tárgyat.
SHOP_SOLDOUT	Elfogyott
SHOT_ERROR_UNKNOWN	Ismeretlen hiba távoli támadás közben. {}
SKILL_BLEEDING	Vérzés
SKILL_BOHO	Visszaverés
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	EXP-re van szükséged, hogy kitanuld ezt a képességet.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Könyvre van szükséged, hogy kitanuld ezt a készséget.
SKILL_CHEONGEUN	Erős test
SKILL_CRITICAL	Kritikus találat
SKILL_ENCHANT_POISON	Méreg használat
SKILL_EUNHYEONG	Láthatatlan
SKILL_FAINT	Ájulás
SKILL_FIND_TRAP	Csapda keresés
SKILL_FIRE	Égetés
SKILL_FISHMIND	A Horgászgömb aktív
SKILL_GAMJI	Megfog
SKILL_GEOMGYEONG	Kard aurája
SKILL_GICHEON	Sárkány segítsége
SKILL_GIGONG	Chi forgás
SKILL_GONGPO	Félelem
SKILL_GRADE_NAME_GRAND_MASTER	{} nagymester
SKILL_GRADE_NAME_MASTER	{} mester
SKILL_GRADE_NAME_PERFECT_MASTER	{} tökéletes mester
SKILL_GROUP_ASSASSIN_1	Penge
SKILL_GROUP_ASSASSIN_2	Íj
SKILL_GROUP_HORSE	Lovaglás
SKILL_GROUP_SHAMAN_1	Sárkány
SKILL_GROUP_SHAMAN_2	Gyógyító
SKILL_GROUP_SURA_1	Fegyver
SKILL_GROUP_SURA_2	Mágia
SKILL_GROUP_WARRIOR_1	Test
SKILL_GROUP_WARRIOR_2	Mentális
SKILL_GWIGEOM	Elvarázsolt penge
SKILL_GYEONGGONG	Pehelykönnyű léptek
SKILL_HEUKSIN	Sötét védelem
SKILL_HOSIN	Áldás
SKILL_INC_ATKSPD	Megnövelt támadósebesség
SKILL_INC_MOVSPD	Megnövelt mozgási sebesség
SKILL_JEOJU	Átok
SKILL_JEONGEOP	Gyógyít
SKILL_JEONGWI	Harci mámor
SKILL_JEONSINBANGEO	Teljes védelem
SKILL_JEONSINGONGGYEOK	Totális támadás
SKILL_JEUNGRYEOK	Támadás +
SKILL_JEUNGSOK	Sebesség +
SKILL_JUMAGAP	Elvarázsolt felszerelés
SKILL_KWAESOK	Gyorsaság
SKILL_MUYEONG	Láng szelleme
SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
SKILL_NEED_POISON_BOTTLE	Nincs méregüvegem.
SKILL_ONLY_FOR_GUILD_WAR	Ezt a készséget csak céhháborúban kamatoztathatod.
SKILL_PABEOP	Varázslat érvénytelenítés
SKILL_POWERFUL_STRIKE	Kábult támadás
SKILL_SEOMGWANG	Villám bomba
SKILL_SLEEP	Alvás
SKILL_SLOW	Lassan
SKILL_STUN	Elkábít
SKILL_SUHO	Őr
SKILL_SUMMON_DESCRIPTION	Felidézés esélye: {}%
SKILL_TOOLTIP_INT	Intelligencia
SKILL_TOOLTIP_LEVEL	Szint
SKILL_TOXICDIE	Mérgezés
SKILL_TOXICPOWER	Méregtámadás fokozva
SKILL_TUSOK	Szellem ütés
SOUL_ITEM_TOOLTIP_APPLY	A hatás aktív
SOUL_ITEM_TOOLTIP_BLUE1	Játékidő: {}/{} perc 
SOUL_ITEM_TOOLTIP_BLUE2	A készség kár növekszik a játékidő elérésekor ennyivel: x{:.1f}
SOUL_ITEM_TOOLTIP_COMMON	Nem érvényes: PvP, átváltozás
SOUL_ITEM_TOOLTIP_RED1	Játékidő: {}/{} perc 
SOUL_ITEM_TOOLTIP_RED2	A támadó sebzés növekszik a játékidő elérésekor ennyivel: x{:.1f}
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Hátralevő támadások: {}
SOUL_ITEM_TOOLTIP_REMOVE_TIME	A lélek lejár
SOUL_ITEM_TOOLTIP_UNAPPLIED	A hatás nem aktív
SOUL_REFINE_FAILURE	A fejlesztés sikertelen volt.
SOUL_REFINE_SUCCESS	A fejlesztés sikeres volt!
STAT_MINUS_CON	Életerő beállítás (maradék esély: {})
STAT_MINUS_DEX	Ügyesség kiigazítás (Maradék esély: {})
STAT_MINUS_INT	Intelligencia beállítás (maradék esély: {})
STAT_MINUS_STR	Erő beállítás (maradék esély: {})
STAT_TOOLTIP_CON	Növekszik a TP és a védelem
STAT_TOOLTIP_DEX	Növekszik a támadás és a kitérés
STAT_TOOLTIP_INT	Növekszik a MP valamint a mágikus támadás és védekezés
STAT_TOOLTIP_STR	Növekszik a támadóérték és a sérülés
SYMBOLLIST_TITLE	Céh zászló bejelentés
SYSTEM_OPTION_CPU_TILING_1	CPU-tiling módban a gyengébb PC sebessége fokozható.
SYSTEM_OPTION_CPU_TILING_2	Grafikai problémák esetén válaszd a 'Rendszer tulajdonságokat' vagy a CONFIG.exe-t.
SYSTEM_OPTION_CPU_TILING_3	és válts GPU-tiling módra.
SYSTEM_OPTION_GPU_TILING_1	A GPU-tiling mód egy gyengébb PC-n lassan futhat
SYSTEM_OPTION_GPU_TILING_2	Grafikai problémák esetén válaszd a 'Rendszer tulajdonságokat' vagy a 'CONFIG.exe'-t.
SYSTEM_OPTION_GPU_TILING_3	és válts CPU-tiling módra.
SYSTEM_OPTION_TILING_EXIT	Mozaik módra váltáshoz újra kell indítani a játékot.
TARGET_BUTTON_ACCEPT_FIGHT	Egyetért
TARGET_BUTTON_AVENGE	Bosszú
TARGET_BUTTON_BLOCK	Blokkol
TARGET_BUTTON_BLOCK_REMOVE	Felold
TARGET_BUTTON_BUILDING_DESTROY	Elpusztít
TARGET_BUTTON_DISMOUNT	Leszáll
TARGET_BUTTON_EMOTION_ALLOW	Érzelmek
TARGET_BUTTON_EXCHANGE	Kereskedés
TARGET_BUTTON_EXCLUDE	Kizár
TARGET_BUTTON_EXIT_OBSERVER	Megfigyelő mód vége
TARGET_BUTTON_FIGHT	Párbaj
TARGET_BUTTON_FRIEND	Barát
TARGET_BUTTON_INVITE_GUILD	Céh meghívás
TARGET_BUTTON_INVITE_PARTY	Csoport meghívás
TARGET_BUTTON_LEAVE_PARTY	Csoport elhagyása
TARGET_BUTTON_REQUEST_ENTER_PARTY	Belépés a csoportba
TARGET_BUTTON_REVIVE	Felélesztés
TARGET_BUTTON_VIEW_EQUIPMENT	Felszerelés
TARGET_BUTTON_WHISPER	Suttogni
TARGET_LEVEL_BOSS	Főnök
TARGET_LEVEL_KING	5. szint
TARGET_LEVEL_KNIGHT	3. szint
TARGET_LEVEL_PAWN	1. szint
TARGET_LEVEL_S_KNIGHT	4. szint
TARGET_LEVEL_S_PAWN	2. szint
TARGET_TOOLTIP_ATTACK_COUNT	Összes találat: {}
TASKBAR_ATTACK	Támadni
TASKBAR_AUTO	Automatikus támadás
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Tapasztalat
TASKBAR_HP	TP
TASKBAR_MOVE	Mozogni
TASKBAR_SKILL	Készség
TASKBAR_SP	MP
TASKBAR_ST	KP
TENTH_COIN	Évfordulós Érme
TENTH_EVENT_ASK_EXCHANGE	{} Évfordulós Zászlóra van szükséged. Szeretnéd folytatni?
THING_COUNT	x
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Sebzés csökkenés
TOOLTIP_AFFECT_CONFUSION	Elkábítottak.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Kritikus találat esélye csökken
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Az őrző jele
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Nem tudtad megállítani a vízsugarat.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Védelem csökkenés
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Villám
TOOLTIP_AFFECT_MOUNT_FALL	Hátasról leesés
TOOLTIP_AFFECT_POLYMORPH	Átváltozás
TOOLTIP_AFFECT_RCAST_SPEED	Újratöltés növekedés
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Kutatói Elixír
TOOLTIP_AFFECT_RHP_REGEN	Nincs regeneráció
TOOLTIP_ANTI_CRITICAL_PCT	Kritikus csapás elleni ellenállás +{}%
TOOLTIP_ANTI_PENETRATE_PCT	Átütő csapás elleni ellenállás +{}%
TOOLTIP_ANTI_SELL	Nem lehet eladni a boltban.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Abszorpció mértéke: {}%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Rathalos elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Nindzsák elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_BELL	Harang védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_BOW	Nyíl védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_CLAW	Karom védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_CZ	Zodiákus szörnyek elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_DAGGER	Tőr védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_DESERT	Sivatagi szörnyek elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Ördögök elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_FAN	Legyező védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Félemberek elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_INSECT	Rovarok elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Gods elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Szörnyek elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_ORC	Fatalis elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sámánok elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_SURA	Surák elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_SWORD	Kard védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Kétkezes védelem áttörés +{}%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Élőholtak elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Harcosok elleni erő +{}%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Vérfarkasok elleni erő + {}%
TOOLTIP_APPLY_BLEEDING_PCT	Vérző támadás + {}%
TOOLTIP_APPLY_BLEEDING_REDUCE	Vérző támadás elleni ellenállás + {}%
TOOLTIP_APPLY_BLOCK	Esély a közelharci támadás kivédésére {}%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP-t a háborúban 5 másodpercenként visszaállít {}
TOOLTIP_APPLY_CRITICAL_PCT	Esély kritikus találatra +{}%
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	{}% esély, hogy az MP-t találatnál megtartsd
TOOLTIP_APPLY_DODGE	Esély a nyilak elkerülésére {}%
TOOLTIP_APPLY_ENCHANT_DARK	Sötétség ereje +{}%
TOOLTIP_APPLY_ENCHANT_EARTH	Föld ereje +{}%
TOOLTIP_APPLY_ENCHANT_ELECT	Villám ereje +{}%
TOOLTIP_APPLY_ENCHANT_FIRE	Tűz ereje +{}%
TOOLTIP_APPLY_ENCHANT_ICE	Jég ereje +{}%
TOOLTIP_APPLY_ENCHANT_WIND	Szél ereje +{}%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	{}% esély EXP bónuszra
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	{}% esély dupla mennyiségű Yang eldobására
TOOLTIP_APPLY_IMMUNE_FALL	Immunis a leesésre
TOOLTIP_APPLY_IMMUNE_SLOW	Immunis a lelassulás ellen.
TOOLTIP_APPLY_IMMUNE_STUN	Immunis az ájulás ellen
TOOLTIP_APPLY_ITEM_DROP_BONUS	{}% esély, dupla mennyiségű tárgy eldobására
TOOLTIP_APPLY_KILL_HP_RECOVER	{}% esély, TP visszaállítására
TOOLTIP_APPLY_KILL_SP_RECOVER	{}% esély, MP visszaállítására
TOOLTIP_APPLY_MANA_BURN_PCT	{}% esély Mp rablásra
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +{}%
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +{}%
TOOLTIP_APPLY_NOAFFECT	Nincs hatás
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nem vész el tapasztalat pont ha a karakter újjáéled a holttesténél.
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	A Sárkányisten védelmező szárnyai alá vett. Ha újraéledsz a fedélzeten, nem vesztesz tapasztalati pontot.
TOOLTIP_APPLY_PENETRATE_PCT	{}% esély átható találatra
TOOLTIP_APPLY_POISON_PCT	Mérgezés esélye {}%
TOOLTIP_APPLY_POISON_REDUCE	Méreg ellenállás {}%
TOOLTIP_APPLY_POTION_BONUS	Ital {}% hatásnövekedés
TOOLTIP_APPLY_REFLECT_CURSE	{}% esély, az átok visszaverésére
TOOLTIP_APPLY_REFLECT_MELEE	{}% esély a közelharci támadás visszaverésére
TOOLTIP_APPLY_RESIST_ASSASSIN	Védelmi esély nindzsatámadás ellen {}%
TOOLTIP_APPLY_RESIST_BELL	Harang védelem {}%
TOOLTIP_APPLY_RESIST_CLAW	Karom védelem +{}%
TOOLTIP_APPLY_RESIST_DAGGER	Tőr védekezés {}%
TOOLTIP_APPLY_RESIST_FAN	Legyező védekezés {}%
TOOLTIP_APPLY_RESIST_HUMAN	Félemberek elleni védelem {}%
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Esés ellenállás +{}%
TOOLTIP_APPLY_RESIST_SHAMAN	Védekezési esély sámántámadás ellen {}%
TOOLTIP_APPLY_RESIST_SURA	Védekezési esély Sura támadás ellen {}%
TOOLTIP_APPLY_RESIST_SWORD	Kard védelem {}%
TOOLTIP_APPLY_RESIST_TWOHAND	Kétkezes védelem {}%
TOOLTIP_APPLY_RESIST_WARRIOR	Védekezési esély harcos támadás ellen {}%
TOOLTIP_APPLY_RESIST_WIND	Szél ellenállás {}%
TOOLTIP_APPLY_RESIST_WOLFMAN	Védekezési esély vérfarkas-támadás ellen {}%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Könyvből tanulás esélyének növelése 2,5-szeresére 
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ha sikertelen a tanulás, azonnal újra próbálhatod szabadon.
TOOLTIP_APPLY_SLOW_PCT	Lassítás esélye {}%
TOOLTIP_APPLY_STEAL_HP	{}% veszteség eltűnik a TP-ből.
TOOLTIP_APPLY_STEAL_SP	{}% veszteség eltűnik az MP-ből.
TOOLTIP_APPLY_STUN_PCT	Ájulás esélye {}%
TOOLTIP_ARMOR	Felszerelés
TOOLTIP_ARROW	Nyíl
TOOLTIP_ASSASSIN	Nindzsa
TOOLTIP_ATT_GRADE	Támadó érték +{}
TOOLTIP_ATT_SPEED	Támadósebesség +{}%
TOOLTIP_ATT_SPEED_SLOW	Csökkentett támadósebesség
TOOLTIP_AUTO_POTION_HP	Nap Elixír
TOOLTIP_AUTO_POTION_REST	Maradék: {:.2f}%
TOOLTIP_AUTO_POTION_SP	Hold Elixír
TOOLTIP_AUTO_POTION_USING	Aktív
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-vadászat
TOOLTIP_BATTLE_POTION	Harci övezeti harci ital
TOOLTIP_BOW_DISTANCE	Íjjász hatótávolság +{}m
TOOLTIP_BUYPRICE	Ár: {}
TOOLTIP_CAST_SPEED	Varázssebesség +{}%
TOOLTIP_CON	Életerő +{}
TOOLTIP_COSTUME_ATTR_BONUS	Jelmez bónusz {}%
TOOLTIP_DEF_GRADE	Védekezés +{}
TOOLTIP_DEX	Ügyesség +{}
TOOLTIP_DRAGON_SOUL_DECK1	Ég
TOOLTIP_DRAGON_SOUL_DECK2	Föld
TOOLTIP_DS_SET	DSS szett bónusz
TOOLTIP_EAR	Fülbevaló
TOOLTIP_ENERGY	Energia {}
TOOLTIP_ETC	Stb.
TOOLTIP_EXP_BONUS_EVENT	EXP +{}%
TOOLTIP_FISHINGROD_EXP	Pont: {} / {}
TOOLTIP_FISHINGROD_LEVEL	Szint: {}
TOOLTIP_FISHINGROD_UPGRADE1	Add a halásznak,
TOOLTIP_FISHINGROD_UPGRADE2	hogy egy jobb
TOOLTIP_FISHINGROD_UPGRADE3	horgászbotot adjon.
TOOLTIP_FISH_LEN	Hossz: {:.2f} cm
TOOLTIP_GUILD_SKILL_ACCEL	Gyorsítás +{}
TOOLTIP_GUILD_SKILL_BLESS	Sárkányisten áldása +{}
TOOLTIP_GUILD_SKILL_BLOOD	Sárkányisten vére +{}
TOOLTIP_GUILD_SKILL_BUNNO	Sárkányisten haragja +{}%
TOOLTIP_GUILD_SKILL_JUMUN	Varázs-segély +{}%
TOOLTIP_GUILD_SKILL_SEONGHWI	Szent vért +{}
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% tárgy dobás | +10% szörnyek elleni erő
TOOLTIP_HELMET	Sisak
TOOLTIP_HP_REGEN	TP regenerálódás +{}%
TOOLTIP_INT	Intelligencia +{}
TOOLTIP_ITEM_ATT_GRADE	Támadó érték {}
TOOLTIP_ITEM_ATT_POWER	Támadó érték {} - {}
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Támadó érték {}
TOOLTIP_ITEM_ATT_POWER_REFINE	Támadó érték {} - {} (+{})
TOOLTIP_ITEM_ATT_SPEED	Támadósebesség {}
TOOLTIP_ITEM_DEF_GRADE	Védelem {}
TOOLTIP_ITEM_FAST	Gyors
TOOLTIP_ITEM_LIMIT_CON	Életerő felső határ: {}
TOOLTIP_ITEM_LIMIT_DEX	Ügyesség felső határ: {}
TOOLTIP_ITEM_LIMIT_INT	Intelligencia felső határ: {}
TOOLTIP_ITEM_LIMIT_LEVEL	{}. szinttől
TOOLTIP_ITEM_LIMIT_MAX_LEVEL	{}. szintre
TOOLTIP_ITEM_LIMIT_MAP	Terület: {}
TOOLTIP_ITEM_LIMIT_STR	Erő felső határ: {}
TOOLTIP_ITEM_MAGIC_ATT_POWER	Mágikus támadó érték {} - {}
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Mágikus támadó érték {}
TOOLTIP_ITEM_MAGIC_DEF_POWER	Mágikus védelem {}
TOOLTIP_ITEM_NORMAL	Normál
TOOLTIP_ITEM_SLOW	Lassú
TOOLTIP_ITEM_VERY_FAST	Nagyon gyors
TOOLTIP_ITEM_VERY_SLOW	Nagyon lassú
TOOLTIP_ITEM_WEARABLE_JOB	[ Felszerelhető ]
TOOLTIP_LOTTERY_STEP_NUMBER	{}
TOOLTIP_LOTTO_NUMBER	Szerencseszám: {}
TOOLTIP_MAGIC_ATTBONUS_PER	Mágikus támadás +{}%
TOOLTIP_MAGIC_ATT_GRADE	Mágikus támadó érték +{}
TOOLTIP_MAGIC_DEF_GRADE	Mágikus védelem +{}
TOOLTIP_MALL_ATTBONUS	Támadó érték +{}%
TOOLTIP_MALL_ATTBONUS_STATIC	Támadóérték
TOOLTIP_MALL_AUTOLOOT	Automatikusan felszedi a Yangot.
TOOLTIP_MALL_DEFBONUS	Védekezés +{}%
TOOLTIP_MALL_DEFBONUS_STATIC	Védekezés 
TOOLTIP_MALL_EXPBONUS	EXP +{}%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bónusz +{}%
TOOLTIP_MALL_EXPBONUS_STATIC	50%-kal több EXP
TOOLTIP_MALL_FISH_MIND	A halfogás esélye megnőtt.
TOOLTIP_MALL_GOLDBONUS	Yang eldobási esély {}%
TOOLTIP_MALL_GOLDBONUS_STATIC	Megduplázza a Yang-dobási esélyt
TOOLTIP_MALL_ITEMBONUS	{}% enhanced Item-Drop
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe tárgy zsákmányolási esély plusz {:.1f}%
TOOLTIP_MALL_ITEMBONUS_STATIC	Dupla tárgy eldobási esély
TOOLTIP_MALL_MARRIAGE_FAST	Gyorsabban nőnek az életpontok.
TOOLTIP_MALL_SAFEBOX	Nagyobb raktártér áll rendelkezésre.
TOOLTIP_MAX_HP	Max. TP +{}
TOOLTIP_MAX_HP_PCT	Max. TP +{}%
TOOLTIP_MAX_SP	Max. MP +{}
TOOLTIP_MAX_SP_PCT	Max. MP +{}%
TOOLTIP_MAX_STAMINA	Max. Kitartás +{}
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Mágikus/közelharci támadás +{}%
TOOLTIP_MEMORIZED_POSITION	{}({}, {})
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS HIBA({}, {})
TOOLTIP_MOV_SPEED	Mozgási sebesség {}%
TOOLTIP_NECK	Nyaklánc
TOOLTIP_NEED_ALL_SP	Szükséges MP: Max.
TOOLTIP_NEED_GSP	Szükséges Sárkányszellem: {}
TOOLTIP_NEED_HP	Szükséges TP: {}
TOOLTIP_NEED_HP_PER_SEC	TP / mp. : {}
TOOLTIP_NEED_SKILL_POINT	Szükséges készség pont:
TOOLTIP_NEED_SP	Szükséges MP: {}
TOOLTIP_NEED_SP_PER_SEC	MP / mp.: {}
TOOLTIP_NEXT_SKILL_LEVEL_1	Következő szint: {} (Max. {})
TOOLTIP_NEXT_SKILL_LEVEL_2	Következő szint: {} (Max. {}-{})
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Átlagos károk {}%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Átlagos veszteség ellenállás {}%
TOOLTIP_PARTY_INFO_GRADE_UP1	Több, mint {} csoporttag
TOOLTIP_PARTY_INFO_GRADE_UP2	Támadási szint +{}
TOOLTIP_PARTY_INFO_GRADE_UP3	Védelmi szint +{}
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Minden csoporttag TP/MP helyreállítása egyszer 60 percen belül.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Minden csoporttag TP/MP helyreállítása 30 percen belül egyszer.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	3 percet kell várnod a csoporttag halála után.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Bármikor hívhatsz ugyanarról a szerverről csoporttagokat.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Támadó szint +(csoporttagok száma/2) támadót {} lehet kiválasztani.
TOOLTIP_PARTY_INFO_SET_TANKER	Védelmi szint +(csoporttagok száma) 1 tőrharcost lehet választani.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuális szint: {}
TOOLTIP_PARTY_TITLE_GRADE_UP	[Támadás/Védekezés javul]
TOOLTIP_PARTY_TITLE_HEAL	[Újrateremt]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Több, mint {} csoporttag esetén {}% EXP bónusz jár.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[EXP bónusz]
TOOLTIP_PARTY_TITLE_RECALL	[Idehív]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Támadó kinevezés]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Tőrharcos Beállítás]
TOOLTIP_PEPSI_EVENT	5% EXP bónusz és 5%-kal több esély tárgyak zsákmányolására.
TOOLTIP_PICK_EXP	Pont: {} / {}
TOOLTIP_PICK_LEVEL	Szint: {}
TOOLTIP_PICK_UPGRADE1	Add a favágónak,
TOOLTIP_PICK_UPGRADE2	hogy egy jobb
TOOLTIP_PICK_UPGRADE3	csákányt adjon.
TOOLTIP_POTION_CURE	Negatív hatások visszaállítása.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Támadó sebesség +{}
TOOLTIP_POTION_PLUS_HP_PERCENT	TP +{}%
TOOLTIP_POTION_PLUS_HP_POINT	TP +{}
TOOLTIP_POTION_PLUS_MOVING_SPEED	Mozgási sebesség +{}
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +{}%
TOOLTIP_POTION_PLUS_SP_POINT	MP +{}
TOOLTIP_POTION_SEC	mp.
TOOLTIP_POTION_TIME	Időtartama:
TOOLTIP_PVP_TOURNAMENT_ENTER	Belépés a PvP bajnokságra
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	PvP bajnokság EXP +{}%
TOOLTIP_REQUIREMENT_21_LEVEL	21-es szintet el kell érned
TOOLTIP_REQUIREMENT_41_LEVEL	41-es szintet el kell érned
TOOLTIP_REQUIREMENT_LEVEL	{}. szintet el kell érned
TOOLTIP_REQUIREMENT_SKILL_LEVEL	{} szint {} szükséges
TOOLTIP_REQUIREMENT_STAT_LEVEL	{} {} szükséges
TOOLTIP_RESIST_BOW	Nyíl védelem {}%
TOOLTIP_RESIST_DARK	Sötétséggel szembeni ellenállás +{}%
TOOLTIP_RESIST_EARTH	Föld ellenállás +{}%
TOOLTIP_RESIST_ELEC	Villám ellenállás {}%
TOOLTIP_RESIST_FIRE	Tűz ellenállás {}%
TOOLTIP_RESIST_ICE	Jég-ellenállás +{}%
TOOLTIP_RESIST_MAGIC	Mágia ellenállás {}%
TOOLTIP_RESIST_MAGIC_REDUCTION	Mágikus áthatolás: {}%
TOOLTIP_REST_USABLE_COUNT	Maradék: {}
TOOLTIP_SEALED	Lélekhez kötött
TOOLTIP_SELLPRICE	Ár: {}
TOOLTIP_SET_ITEM	Szett bónusz
TOOLTIP_SHAMAN	Sámán
TOOLTIP_SHIELD	Vért
TOOLTIP_SHOES	Cipő
TOOLTIP_SKILL	Készség
TOOLTIP_SKILLBOOK_NAME	Készségkönyv
