%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Trebuie sa citesti inca %d pentru a avea succes. 
%d 냥을 투자하셨습니다.	Ai investit %d Yang. 
%d 냥을 획득하셨습니다.	Ai cвєtigat %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Trebuie sг atingi nivelul %d pentru a-юi putea vopsi pгrul iar. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d min %d sec ramase pana la expirarea MUTE-ului 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d ore %d min %d sec ramase pana la expirarea MUTE-ului. 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d ore %d sec ramase pana la expirarea MUTE-ului. 
%d 종류 %d 마리 낚음	Ai prins %d de %d. 
%d 초 동안 채팅금지 상태입니다	%d secunde ramase pana la deblocarea chatului 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Binecuvвntarea оmpгratului poate fi folositг dupг %d sec. 
%d 초간 쿨타임이 적용중입니다.	Timp de cooldown de aproximativ %d secunde 
%d 초후 목적지로 이동됩니다.	%d secunde de la executare ajungi la locul cu pricina. 
%d%% 확률로 관통 공격	Atac pгtrunzгtor cu єansa %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Creєterea experienюei cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Creєterea Yang-ului capturat cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% єansг de a-юi umple PV dupг o victorie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Creєterea obiectelor capturate cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 정신력 회복	Creєtere mana cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 치명타 공격	Atac critic cu єansa %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mana este luatг de la inamic cu o probabilitate de %d%%. 
%d%% 확률로 피해시 정신력 회복	Probabilitate de absorbire mana %d%%. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Contului tгu оi este adгugat %d timp de joc. (Nr. platг %d) 
%d의 경험치를 획득했습니다.	Ai primit %d experienюг. 
%d초 남았습니다.	%d secunde pвnг la final. 
%d초 만큼 충전되었습니다.	%d de secunde au fost adaugate. 
%d초 후 게임이 셧다운 됩니다.	Jocul se sfвrєeєte оn %d secunde. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consum de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numгr Pгmвnt Sfвnt %d 
%s 군주 후보에서 삭제하였습니다	%s a fost єters ca єi candidat ca оmpгrat. 
%s 군주로 입명 했습니다.	%s este numit оmpгrat. 
%s 군주르 제거 하였습니다..	Оmpгratul %s este оnlгturat. 
%s 군주를 제거 할수 없습니다.	Оmpгratul %s nu paote fi оnlгturat. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Breasla %s a declarat rгzboi breslei %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Breasla %s a cвєtigat rгzboiul оmpotriva breslei %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s a cucerit steagul %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Rгzboiul dintre breslele %s єi %s s-a terminat la egalitate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Rгzboiul оntrebreslele  %s єi %s a fost оntrerupt. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Rгzboiul оntre %s єi %s оncepe оn cвteva minute. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Rгzboiul оntre breslele %s єi %s a оnceput! 
%s 길드의 %s이 %d%% 증가했습니다!	%s al breslei %s a crescut cu %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s al breslei %s s-a normalizat. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Steagul breslei %s a fost furat de %s. 
%s 는 군주 후보가 아닙니다.	%s nu este candidat ca оmpгrat. 
%s 는 군주로 입명할수 없습니다 .	%s nu poate fi numit оmpгrat. 
%s 님과의 교환이 성사 되었습니다.	Negoюul cu %s a reuєit. 
%s 님에게 파티가입 신청을 했습니다.	Doreєti sг te alгturi grupei lui %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s a refuzat invitaюia. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Jucгtorul %s se aflг оn canalul %d. (Canalul tгu: %d) 
%s 님은 접속되 있지 않습니다.	%s nu este online. 
%s 님은 정상적으로 출마를 하였습니다.	Jucгtorul %s este deja оn alegere. 
%s 님을 소환하였습니다.	Ai recrutat %s jucгtori. 
%s 님이 대련에서 승리하였습니다.	%s a cвєtigat duelul. 
%s 님이 승리하였습니다.	%s a cвєtigat. 
%s 블럭! (%d%%)	Blocheazг %s! (%d%%) 
%s 아이템 을 획득하셨습니다	Ai cгєtigat obiectul %s. 
%s 아이템이 필요합니다	Ai nevoie de %s. 
%s 에게로 이동합니다	Tragere la jucгtorul %s. 
%s 회피! (%d%%)	Eschiveazг %s! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Aceastг breaslг nu existг. 
%s[%d]가 공격 위치: %d %d	%s[%d] Pozitie de atac: %d %d 
%s님과의 대결 시작!	Lupta cu %s a оnceput! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s te-a provocat la luptг! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zaruri aruncate. El/ea a primit %d (%d-%d). 
%s를 구웠습니다.	Prгjeєti %s deasupra focului. 
%s에 박혀있던 보석이 사라집니다.	Pietrele preюioase din %s au dispгrut. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	La %s s-a aprins un foc de iluminare pentru a avertiza оn legгturг cu o luptг. 
%s에게 대결신청을 했습니다.	L-ai provocat pe %s la luptг. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Оn %s este rгzboi pentru a aprinde focurile de iluminare. 
%s에서 소켓 빠질때까지 남은 시간 %d	Timp ramas pana la inlaturarea soket-ului din %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s a crescut cu %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s al lui %s s-a normalizat. 
%s의 군주가 %s 님으로 교체되었습니다.	Оmpгratul lui %s a fost schimbat оn %s. 
%s이 모든 봉화를 파괴하였습니다.	%s a distrus toate focurile de iluminare. 
%s이 봉화를 파괴했습니다.	%s a distrus focul de iluminare. 
%s이 수성에 성공했습니다.	Lui %s i-a reuєit apгrarea. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s a pierdut rгzboiul pentru ca nu au putut sг apere castelul. 
%s이 필요합니다.	Pentru aceasta actiune ai nevoie de: %s 
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Vraja a dispărut, poți lua %s
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Ai fost prea lent, monștrii te-au privit!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Vin, omoară-i pe toți!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s a apărut!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed	Kulve Taroth: Distruge-l în 3 minute! În caz contrar, temnița va fi închisă.
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: %s nu mai are puterea de a face magie!
Ancient pyramid: Kill it!!	Kulve Taroth: Omoară-l!!!
Ancient pyramid: You have failed!	Kulve Taroth: Ați eșuat!
Ancient pyramid: The %s has been protected!	Kulve Taroth: %s a fost protejat!
Anci group: You did it! Spectacular job!	Kulve Taroth: Ați reușit! O treabă spectaculoasă!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: Temnița va fi închisă automat în 3 minute.
Ancient pyramid: You have failed!	Kulve Taroth: Ați eșuat!
%s benötigte %s Sekunden	%s a avut nevoie de %s secunde!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Distrugeți toate %s! Aveți doar un timp limitat! Grăbește-te!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Timpul a expirat. Ați eșuat!
Shadow tower: %s is coming!	Vaal Hazak: %s vine!
Shadow tower: Kill second wave of monsters to destroy second %s!	Vaal Hazak: Ucide al doilea val de monștri pentru a distruge al doilea %s!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Timpul a expirat. Ați eșuat!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: You have destroyed the right stone!	Vaal Hazak: Ați distrus piatra potrivită!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: This one was just an illusion!	Vaal Hazak: Aceasta a fost doar o iluzie!
Shadow tower: Well done! Now destroy the %s to able to continue!	Vaal Hazak: Foarte bine! Acum distruge %s pentru a putea continua!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: Great job! You will proceed in few seconds!	Vaal Hazak: Bună treabă! Veți continua în câteva secunde!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Timpul a expirat. Ați eșuat!
Shadow tower: Protection of %s is gone. You can kill him now!	Vaal Hazak: Protecția lui %s a dispărut. Îl poți ucide acum!
Shadow tower: %s wasn't destroyed yet. %s was recovered from shadows!	Vaal Hazak: %s nu a fost distrus încă. %s a fost recuperat din umbră!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: You died three times. You have failed.	Vaal Hazak: Ai murit de trei ori. Ați eșuat.
Shadow tower: Time is up. You have failed!	Vaal Hazak: Timpul a expirat. Ați eșuat!
Shadow tower: Beware! %s is coming!	Vaal Hazak: Atenție! %s se apropie!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: If you have %s, you have last %s seconds to use it!	Vaal Hazak: Dacă ai %s, ai la dispoziție ultimele %s secunde pentru a-l folosi!
Shadow zone: %s is now active! %s is gonna be much weaker!	Vaal Hazak: %s este acum activ! %s va fi mult mai slab!
Shadow tower: This effect is already active!	Vaal Hazak: Acest efect este deja activ!
Shadow tower: You can use this only during first 8 floors!	Vaal Hazak: Puteți folosi acest lucru numai în primele 8 etaje!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s a fost dezvăluit! Puteți trece la etajul următor!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Timpul a expirat. Ați eșuat!
Shadow tower: One more wave is coming!	Vaal Hazak: Mai vine un val!
Shadow tower: A monster is coming, its unknown!	Vaal Hazak: Vine un monstru, un necunoscut!
Shadow tower: You are almost at the end. But the worst is just about to come!	Vaal Hazak: Sunteți aproape de final. Dar ce e mai rău e pe cale să vină!
Shadow tower: Time is up. You have failed	Vaal Hazak: Timpul a expirat. Ați eșuat
Shadow tower: You will be teleported out of dungeon in %s minutes.	Vaal Hazak: Vei fi teleportat afară din temniță în %s minute.
Shadow tower: Destroy both %s! Destroy all monsters to get a key!	Vaal Hazak: Distrugeți ambele %s! Distruge toți monștrii pentru a obține o cheie!
Shadow tower: Find real %s and destroy it!	Vaal Hazak: Găsește adevăratul %s și distruge-l!
Shadow tower: Every wrong stone hides %s inside!	Vaal Hazak: Fiecare piatră greșită ascunde %s înăuntru!
Shadow tower: The more fake stones you destroy, the more HP will have a next boss!	Vaal Hazak: Cu cat mai multe pietre false vei distruge, cu atat mai mult HP va avea un nou sef!
Shadow tower: Kill all monsters to get %s, then start to build a %s	Vaal Hazak: Ucide toți monștrii pentru a obține %s, apoi începe să construiești un %s
Shadow tower: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!	Vaal Hazak: Distruge %s în %s minute! În caz contrar, va trebui să terminați următoarea misiune de 2 ori!
You are not allowed to create a shop on this map.	You are not allowed to create a shop on this map.
