%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Sucesso! Já só preciso de mais %d Livros para o próximo nível. 
%d 냥을 투자하셨습니다.	Investiste %d Yang. 
%d 냥을 획득하셨습니다.	Ganhaste %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Tens de atingir o Nível %d para poderes pintar o teu cabelo novamente. 
%d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d minutos e %d segundos para o teu bloqueio de chat passar. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d horas, %d minutos e %d segundos para o bloqueio de chat passar. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Faltam %d horas e %d segundos para o teu bloqueio de chat passar. 
%d 종류 %d 마리 낚음	Apanhaste %d de %d . 
%d 초 동안 채팅금지 상태입니다	Faltam %d segundos para o bloqueio do chat acabar. 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Daqui a %d segundos poderás usar a Bênção dos Monarcas. 
%d 초간 쿨타임이 적용중입니다.	Tempo de Recuperação de aproximadamente %d segundos. 
%d 초후 목적지로 이동됩니다.	Irás chegar ao teu destino dentro de %d segundos. 
%d%% 확률로 관통 공격	%d%% de probabilidade de Ataque Perfurante. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Se ganhares a tua Experiência será aumentada para %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Se ganhares o teu Yang será aumentado para %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% de probabilidade de encheres os Pontos de Vida depois de uma vitória. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Se ganhares a probabilidade de apanhares Itens será aumentada para %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Se ganhares a tua Mana (MN) será aumentada para %d%%. 
%d%% 확률로 치명타 공격	%d%% de probabilidade de Ataque Crítico. 
%d%% 확률로 타격시 상대 전신력 소모	Probabilidade de %d%% de Mana (Mana) ser roubada ao inimigo. 
%d%% 확률로 피해시 정신력 회복	%d%% de probabilidade de absorção de Mana (MN). 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d de Tempo de Jogo acrescentado à tua conta. (número de pagamento %d) 
%d의 경험치를 획득했습니다.	Recebeste %d Pontos de Experiência. 
%d초 남았습니다.	%d segundos para o servidor desligar. 
%d초 만큼 충전되었습니다.	Foram adicionados %d segundos. 
%d초 후 게임이 셧다운 됩니다.	O jogo será fechado dentro de %d segundos. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Utilização de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s N.º Mortes %d N.º Mobs Mortos %d N.º Bosses Mortos %d N.º Terra Sagrada %d 
%s 군주 후보에서 삭제하였습니다	%s foi apagado da lista de Candidatos a Monarca. 
%s 군주로 입명 했습니다.	%s foi nomeado Monarca. 
%s 군주르 제거 하였습니다..	O Monarca do Reino %s foi exilado. 
%s 군주를 제거 할수 없습니다.	O Monarca do Reino %s não pode ser exilado. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A Guild %s declarou Guerra à Guild %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	A Guild %s venceu a Guerra contra a Guild %s . 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	A Guild %s capturou a bandeira da Guild %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A Guerra entre as Guilds %s e %s terminou com um empate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A Guerra entre as Guilds %s e %s foi cancelada. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A Guerra entre as Guilds %s e %s começará dentro de alguns minutos! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A Guerra entre as Guilds %s e %s começou! 
%s 길드의 %s이 %d%% 증가했습니다!	%s da Guild %s aumentou %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s da Guild %s voltou ao normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A bandeira da Guild %s foi capturada pelo jogador %s. 
%s 는 군주 후보가 아닙니다.	%s não é um Candidato a Monarca. 
%s 는 군주로 입명할수 없습니다 .	%s não pode ser nomeado Monarca. 
%s 님과의 교환이 성사 되었습니다.	O negócio com %s foi bem sucedido. 
%s 님에게 파티가입 신청을 했습니다.	Queres juntar-te ao Grupo %s? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s rejeitou o convite. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	O jogador %s está neste momento no Canal %d (O teu Canal %d) 
%s 님은 접속되 있지 않습니다.	%s não está no jogo. 
%s 님은 정상적으로 출마를 하였습니다.	O jogador %s já está na votação. 
%s 님을 소환하였습니다.	Recrutaste %s jogadores. 
%s 님이 대련에서 승리하였습니다.	%s ganhou o Duelo. 
%s 님이 승리하였습니다.	%s ganhou. 
%s 블럭! (%d%%)	%s bloqueado! (%d%%) 
%s 아이템 을 획득하셨습니다	Ganhaste %s Itens. 
%s 아이템이 필요합니다	Precisas de %s. 
%s 에게로 이동합니다	Teleportar para %s. 
%s 회피! (%d%%)	%s evitado! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Esta Guild não existe. 
%s[%d]가 공격 위치: %d %d	%s[%d] Posição de Ataque: %d %d 
%s님과의 대결 시작!	A batalha com %s começou! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s desafiou-te para uma batalha! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s jogou os dados. Obteve %d (%d-%d). 
%s를 구웠습니다.	Colocaste %s na Fogueira. 
%s에 박혀있던 보석이 사라집니다.	Os minérios refinados de %s desaparecem. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Uma Tocha foi acesa em %s para anunciar uma batalha. 
%s에게 대결신청을 했습니다.	Desafiaste %s para uma batalha. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Estão a decorrer %s Guerras para acender as Tochas. 
%s에서 소켓 빠질때까지 남은 시간 %d	Tempo restante até à remoção do Socket de %s: %d 
%s의 %s이 %d%% 증가했습니다!	Os jogadores do Reino %s têm um aumento de %s em %d%% ! 
%s의 %s이 정상으로 돌아왔습니다.	Os jogadores do Reino %s têm %s normal de novo. 
%s의 군주가 %s 님으로 교체되었습니다.	O Monarca de %s mudou para %s 
%s이 모든 봉화를 파괴하였습니다.	%s destruiu a Tocha. 
%s이 봉화를 파괴했습니다.	%s destruiu a Tocha. 
%s이 수성에 성공했습니다.	%s conseguiu defender com sucesso. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s perderam a Guerra porque não conseguíram defender o Castelo. 
%s이 필요합니다.	Para fazer isto precisas de: %s 
Jagras: You failed!	Jagras: You failed!
Jagras: You will be teleported out of dungeon!	Jagras: You will be teleported out of dungeon!

PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	You must wait %d seconds. %d seconds left. 
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	No item found. 
Die Gruppe von	The group of 
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 absolved the Underwater-Dungeon, congratulations! 
%s hat das maximale Level erreicht, Glückwunsch!	%s reached the maximum Level, congratulations!
You cannot enhance the time of this item while it is stacked.	You cannot enhance the time of this item while it is stacked. 
Maintenance shutdown will begin in %d seconds.	Maintenance shutdown will begin in %d seconds.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	We compliment the Guild %s they defeated Meley, the Queen of the Dragons!
All demons were defeated.	All demons were defeated.
Visits the Maw of the in heh to open another to fate castle.	Visits the Maw of the in heh to open another to fate castle.
There isn't enough space in the inventory.	There isn't enough space in the inventory.
%s has married %s	%s has %s married.
Block: 	Block: 
Guild	Guild
Exchange	Exchange
Duel	Duel
Request	Request
Chat	Chat
Whisper	Whisper
Friend	Friend
Equip	Equip
Shop	Shop
Group	Group
There are invalid characters in your title.	There are invalid characters in your title.
You cannot use this color in your title.	You cannot use this color in your title.
The player %s blocked viewing of his equipment!	The player %s blocked viewing of his equipment!
You blocked duel requests for %s	You blocked duel requests for %s
You cannot activate and deactivate this so quickly	You cannot activate and deactivate this so quickly
You can only change your equipment while you are still.	You can only change your equipment while you are still.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Kill Metin Stones until you get a Frost Key and open the pillars with it.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	The seals are opened, the Baron Nashor appears!
Besiegt den Boss!	Defeat the boss!
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	The group of %s has defeated the %s for the %s. time, congratulations! (%s Seconds)
%s hat den %s gekillt	The group of %s has defeated the %s, congratulations!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s has successfully completed the 1st Biologist Quest. The biologist awards you 20% half-human.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s has successfully completed the 2nd Biologist Quest. The biologist awards you 30% half-human.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s has successfully completed the 3rd Biologist Quest. The biologist awards you 40% half-human.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s has successfully completed the 4th Biologist Quest. The biologist awards you 60% half-human.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s has successfully completed the 5th Biologist Quest. The biologist awards you 50% Strong against Creatures.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s has successfully completed the 6th Biologist Quest. The biologist awards you 100% Strong against Creatures.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s has successfully completed the 7th Biologist Quest. The biologist awards you 50% Strong against Mystics.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s has successfully completed the 8th Biologist Quest. The biologist awards you 100% Strong against Mystics.
Easter dungeon: You still have to defeat %s monsters to move on.	You still have to defeat %s monsters to move on.
Easter dungeon: %s eggs has left!	%s easter eggs has left!
Easter dungeon: %s metin stones has left!	%s metin stones has left!
CANNOT_WARP_NOW	Ainda não pode fazer esta actividade.
You cannot perform this action right now.	Não pode realizar esta acção neste momento.
You can't open an empty shop.	Não se pode abrir uma loja vazia.
You already have a shop opened.	Já tem uma loja aberta. 
You sold %dx %s for %lld Yang.	Vendeu %dx %s para %lld Yang.
You've withdrawn %lld Yang from your shop sales stash.	Retirou-se %lld Yang do armazém de vendas da sua loja. 
ITEM_SEALED	Este item foi bem sucedido.
ITEM_SEALED_CANNOT_MODIFY	Itens com alma não podem ser modificados.
변경 시킬 속성이 없습니다	Não se pode encantar este item sem o bónus 6/7.
You cannot open a storage if another Window is already open.	Não pode abrir uma loja se outra janela já estiver aberta.
Switchbot Slot %d stopped out of bonus changers.	Ranhura do Switchbot %d parou com os trocadores de bónus.
Du wirst in %s Sekunden herausteleportiert.	Será teleportado em %s segundos.
You don't have enough money!	Não tem dinheiro suficiente!
You can not open a shop while you are trading.	Não se pode abrir uma loja enquanto se negoceia.
Your cannot spawn your pet while having the status window open.	Não pode desovar o seu animal de estimação enquanto tiver a janela de estado aberta.
You cannot add attributes to this item.	Não é possível acrescentar atributos a este item.
You cannot change the attributes of this item.	Não é possível alterar os atributos deste item.
This food can only be used for pet level %d to %d	Este alimento só pode ser utilizado a nível de animais de estimação %d para %d
This food is only for pets	Este alimento é apenas para animais de estimação
Your pet no longer listens to you. Your level is too low.	O seu animal de estimação já não o ouve. O seu nível é demasiado baixo.
The pet already has reached its maximum level	O animal de estimação já atingiu o seu nível máximo
<Guild> The field war is disabled on this server.	<Guild> A guerra de campo está desactivada neste servidor.
You can not use this so fast.	Não se pode usar isto tão depressa.
You have successfully added a socket to this item.	Adicionou com sucesso uma tomada a este item.
You cannot add sockets to this item.	Não é possível adicionar tomadas a este artigo.
Successfully added a socket to this item	Adicionou com sucesso uma tomada a esta item
This item already cannot gain more sockets.	Este item já não pode ganhar mais tomadas.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	Não pode mover artigos enquanto estiver numa loja.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	Não pode mover artigos enquanto estiver numa loja.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	Não pode mover artigos enquanto estiver numa loja.
You cannot add sockets to an item with less than 3 sockets.	Não é possível adicionar tomadas a um artigo com menos de 3 tomadas.
You can only change your shop name once every hour (%02d:%02d:%02d).	Só pode mudar o nome da sua loja uma vez por hora (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	Tentou colocar pelo menos um artigo na loja que ainda não pode ser comercializado.
You cannot use this item on this map.	Não pode utilizar este item neste mapa.
%s scored first blood	%s pontuou o primeiro sangue
You cannot unequip the armor. Not enough space for your armor effect	Não se pode desequipar a armadura. Não há espaço suficiente para o seu efeito de armadura
You need to wait some time for the next emotion.	É preciso esperar algum tempo para a próxima emoção.
%s blocks duel requests	%s pedidos de duelo de blocos
Failed to make one socket permanent	Falha em tornar uma tomada permanente
Successfully to made one socket permanent	Tornar uma tomada permanente com sucesso
Already every socket permanent	Já todas as tomadas permanentes
A world boss is [%s] spawned.	Um chefe mundial é [%s] desovado.
You cannot use this item in this area.	Não pode utilizar este item nesta área.
Missing %s %s to create the recipe you have chosen	Falta %s %s para criar a receita que escolheu
Double Drop Amount	Evento de duplo saque
Double-Loot Event is active!	Evento de duplo saque está activo!
%s: Double-Loot Event is active	%s: Evento de Dupla Pista está activo
%s: Double-Loot Event ended	%s: Evento de Dupla Pista terminado
%s has killed you with hp %d left over.	%s matou-o com hp %d restante.
There is no one currently registered in the ranking.	Não há ninguém actualmente registado no ranking.
Player %s successfully finished Battle Pass %s.	Jogador %s terminado com sucesso Battle Pass %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Destruir a pedra em 4 minutos!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: Caso contrário, será teleportado para fora das masmorras.
Ancient pyramid: You will continue in few seconds.	Kulve Taroth: Continuará em poucos segundos.
Ancient pyramid: You have failed!	Kulve Taroth: Você falhou!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Matar monstros para recolher peças de pergaminho, uma vez que tenha 4 peças
Ancient pyramid: destroy the %s!	Kulve Taroth: destruir o %s!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Tem todas as peças! Vá para selar e decifrar!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: Foi um feitiço para convocar %s, matá-lo!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Irá saltar para o próximo andar em poucos segundos
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: Encontrar e destruir %s direito dentro de 21 minutos!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Tenha cuidado, algo forte está escondido dentro deles!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Destruiu a pedra certa!
Ancient pyramid: %s is coming!	Kulve Taroth: %s está a chegar!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Esta pedra era apenas uma ilusão.
Ancient pyramid: You have failed!	Kulve Taroth: Falhou!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Irá saltar para o próximo andar em poucos segundos
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Encontrar uma saída para este labirinto!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: No final, é preciso matar verdadeiros %s!
Ancient pyramid: This was the real %s	Kulve Taroth: Este foi o verdadeiro %s
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Será movido para o próximo andar em poucos segundos
Ancient pyramid: This was a fake %s!	Kulve Taroth: Isto foi uma falsificação %s!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Destruir todas as %s, mas tenha cuidado, tem o seu próprio mecanismo!
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: É necessário destruí-los na sequência exacta!
Ancient pyramid: This was the right one!	Kulve Taroth: Esta foi a correcta!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Agora destruir %s para obter outro item!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Precisa de destruir outros %s
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Óptimo! Os monstros estão a chegar! Um deles tem outro item!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Precisa de destruir outros %s
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Precisa de destruir outros %s
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Óptimo, mas agora, para alertar!!!
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: O verdadeiro Anubis está a chegar!
Ancient pyramid: %s stones has left!	Kulve Taroth: %s as pedras saíram!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Será movido para o próximo andar em poucos segundos
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Destruir %s para poder convocar um verdadeiro chefe!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Matem todos os monstros agora!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: O feitiço desapareceu, pode levar o %s
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: O feitiço desapareceu, pode levar o %s
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s vai aparecer.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Pode desovar quaisquer monstros e patrões anteriores!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Se o destruir em 5 minutos, evita atrair outros monstros!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: O feitiço desapareceu, pode levar o %s
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Foste demasiado lento, os monstros contemplaram-te!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Eles estão a chegar, matem-nos a todos!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s desovou!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed	Kulve Taroth: Destruam-no em 3 minutos! Caso contrário, o calabouço será fechado
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: O %s já não tem poder para fazer magia!
Ancient pyramid: Kill it!!	Kulve Taroth: Matem-no!!
Ancient pyramid: You have failed!	Kulve Taroth: Falhou!
Ancient pyramid: The %s has been protected!	Kulve Taroth: A %s foi protegida!
Anci group: You did it! Spectacular job!	Kulve Taroth: Conseguiu! Espectacular trabalho!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: A masmorra será automaticamente fechada em 3 minutos.
Ancient pyramid: You have failed!	Kulve Taroth: Falhou!
%s benötigte %s Sekunden	%s necessários %s segundos!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Destruir todas as %s! O seu tempo é limitado! Despachem-se!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s foi revelado! Pode prosseguir para o próximo andar!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Acabou o tempo. Falhou!
Shadow tower: %s is coming!	Vaal Hazak: %s está a chegar!
Shadow tower: Kill second wave of monsters to destroy second %s!	Vaal Hazak: Matar a segunda vaga de monstros para destruir a segunda %s!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Acabou o tempo. Falhou!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s foi revelado! Pode prosseguir para o próximo andar!
Shadow tower: You have destroyed the right stone!	Vaal Hazak: Destruiu a pedra certa!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s foi revelado! Pode prosseguir para o próximo andar!
Shadow tower: This one was just an illusion!	Vaal Hazak: Esta foi apenas uma ilusão!
Shadow tower: Well done! Now destroy the %s to able to continue!	Vaal Hazak: Muito bem! Agora destrua as %s para poder continuar!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %sfoi revelado! Pode prosseguir para o próximo andar!
Shadow tower: Great job! You will proceed in few seconds!	Vaal Hazak: Excelente trabalho! Procederá em poucos segundos!
Shadow tower: Time is up. You have failed!	Vaal Hazak:Acabou o tempo. Falhou!
Shadow tower: Protection of %s is gone. You can kill him now!	Vaal Hazak: A protecção das %s desapareceu. Pode matá-lo agora!
Shadow tower: %s wasn't destroyed yet. %s was recovered from shadows!	Vaal Hazak: %s ainda não foi destruído. A %s foi recuperada das sombras!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s foi revelado! Pode prosseguir para o próximo andar!
Shadow tower: You died three times. You have failed.	Vaal Hazak: Morreu três vezes. Falhou.
Shadow tower: Time is up. You have failed!	Vaal Hazak: Acabou o tempo. Falhou!
Shadow tower: Beware! %s is coming!	Vaal Hazak: Cuidado! %s está a chegar!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s foi revelado! Pode prosseguir para o próximo andar!
Shadow tower: If you have %s, you have last %s seconds to use it!	Vaal Hazak: Se tiver %s, dispõe de %s últimos segundos para o utilizar!
Shadow zone: %s is now active! %s is gonna be much weaker!	Vaal Hazak: %s está agora activo! A %s vai ser muito mais fraca!
Shadow tower: This effect is already active!	Vaal Hazak: Este efeito já está activo!
Shadow tower: You can use this only during first 8 floors!	Vaal Hazak: Só se pode usar isto durante os primeiros 8 andares!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s foi revelado! Pode prosseguir para o próximo andar!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Acabou o tempo. Falhou!
Shadow tower: One more wave is coming!	Vaal Hazak: Mais uma onda está a chegar!
Shadow tower: A monster is coming, its unknown!	Vaal Hazak: Um monstro está a chegar, o seu desconhecido!
Shadow tower: You are almost at the end. But the worst is just about to come!	Vaal Hazak: Está quase no fim. Mas o pior está prestes a acontecer!
Shadow tower: Time is up. You have failed	Vaal Hazak: Acabou o tempo. Falhou
Shadow tower: You will be teleported out of dungeon in %s minutes.	Vaal Hazak: Será teleportado para fora da masmorra em %s minutos.
Shadow tower: Destroy both %s! Destroy all monsters to get a key!	Vaal Hazak: Destruir ambas as %s! Destruir todos os monstros para obter uma chave!
Shadow tower: Find real %s and destroy it!	Vaal Hazak: Encontrar %s reais e destruí-lo!
Shadow tower: Every wrong stone hides %s inside!	Vaal Hazak: Cada pedra errada esconde %s dentro!
Shadow tower: The more fake stones you destroy, the more HP will have a next boss!	Vaal Hazak: Quanto mais pedras falsas destruir, mais HP terá um próximo chefe!
Shadow tower: Kill all monsters to get %s, then start to build a %s	Vaal Hazak: Mata todos os monstros para obter %s, depois começa a construir um %s
Shadow tower: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!	Vaal Hazak: Destruir %s em %s minutos! Caso contrário, terá de terminar a próxima missão 2x!
You are not allowed to create a shop on this map.	You are not allowed to create a shop on this map.
