%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Bu yeteneği geliştirmek için %d Yetenek Kitabı daha okumalısınız. 
%d 냥을 투자하셨습니다.	%d Yang yatırdın. 
%d 냥을 획득하셨습니다.	%d Yang kazandın. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Saçını tekrar boyayabilmek için %d. seviyeye ulaşman gerekli. 
%d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d dakika %d saniye kaldı 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d dakika %d saniye kaldı 
%d 시간 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d saniye kaldı 
%d 종류 %d 마리 낚음	%d nın %d Yakaladın. 
%d 초 동안 채팅금지 상태입니다	Sohbet engelinizin kalkmasına %d saniye kaldı 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d saniye sonra İmparator Kutsamasını kullanabilirsin. 
%d 초간 쿨타임이 적용중입니다.	Dinlenme Süresi yaklaşık %d saniye 
%d 초후 목적지로 이동됩니다.	%d saniye içinde hedefte olacaksın. 
%d%% 확률로 관통 공격	Delici saldırı şansı %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Eğer kazanırsan tecrübe %d%% artacak. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Eğer kazanırsan Yang %d%% artacak. 
%d%% 확률로 적퇴치시 생명력 회복	Kazandıktan sonra hayat puanın %d%% oranında artacak. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Eğer kazanırsan ele geçirilen nesne %d%% artacak. 
%d%% 확률로 적퇴치시 정신력 회복	Eğer kazanırsan SP %d%% artacak. 
%d%% 확률로 치명타 공격	Kritik saldırı şansı %d%% 
%d%% 확률로 타격시 상대 전신력 소모	%d%% oranında SP düşmandan çalma şansı. 
%d%% 확률로 피해시 정신력 회복	Oranında SP emiliyor %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d oyun süresi hesabınıza eklendi. (Ödeme Numarası %d) 
%d의 경험치를 획득했습니다.	%d Tecrübe Puanı kazandın. 
%d초 남았습니다.	%d saniye sonra oyun kapanacak. 
%d초 만큼 충전되었습니다.	%d saniye eklendi. 
%d초 후 게임이 셧다운 됩니다.	Oyun %d saniye sonra kapanacak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP Kullanımı: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s öldürülen %d öldürülen mob %d öldürülen lider %d Kutsal alan numarası %d 
%s 군주 후보에서 삭제하였습니다	İmparator adayı olarak %s silindi. 
%s 군주로 입명 했습니다.	%s İmparator adayı olarak gösterildi. 
%s 군주르 제거 하였습니다..	%s İmparatorluk görevini bıraktı. 
%s 군주를 제거 할수 없습니다.	%s İmparatoru görevi bırakamaz. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	%s, %s loncasına karşı savaş ilan etti! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Lonca savaşında %s, %s loncasına karşı kazandı. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s Loncası %s Loncasının bayrağını ele geçirdi! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	%s ile %s arasındaki lonca savaşı berabere sonuçlandı! 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	%s ile %s arasındaki lonca savaşı iptal oldu! 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	%s ile %s arasındaki lonca savaşı birkaç dakika içinde başlayacak! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	%s ile %s arasında lonca savaşı başladı! 
%s 길드의 %s이 %d%% 증가했습니다!	Loncanın %s %s %d%% derecesine yükseldi! 
%s 길드의 %s이 정상으로 돌아왔습니다.	Loncanın %s %s tekrar normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	%s loncasının bayrağı, %s tarafından çalındı. 
%s 는 군주 후보가 아닙니다.	%s İmparator olmak için bir aday değil. 
%s 는 군주로 입명할수 없습니다 .	%s İmparatorluğa aday olamaz. 
%s 님과의 교환이 성사 되었습니다.	%s ile olan ticaret başarıyla gerçekleşti. 
%s 님에게 파티가입 신청을 했습니다.	%s Grubuna katılmak istiyor musun? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s daveti reddetti. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s şuanda %d kanalında. (Kanalınız: %d) 
%s 님은 접속되 있지 않습니다.	%s çevrimiçi değil. 
%s 님은 정상적으로 출마를 하였습니다.	%s oyuncu zaten oylamada. 
%s 님을 소환하였습니다.	%s oyuncuları iyileştirdin. 
%s 님이 대련에서 승리하였습니다.	Düelloyu %s kazandı. 
%s 님이 승리하였습니다.	%s kazandı. 
%s 블럭! (%d%%)	%s engelle! (%d%%) 
%s 아이템 을 획득하셨습니다	%s eşyasını kazandın. 
%s 아이템이 필요합니다	%s gerekli. 
%s 에게로 이동합니다	%s yanına naklet. 
%s 회피! (%d%%)	%s kaç! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Lonca bulunamadı. 
%s[%d]가 공격 위치: %d %d	%s[%d] Saldırı pozisyonu: %d %d 
%s님과의 대결 시작!	%s ile olan savaş başladı! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s seni savaşa davet ediyor! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zar attı. Sonuç %d (%d-%d). 
%s를 구웠습니다.	Ateşte %s kızartıyorsun. 
%s에 박혀있던 보석이 사라집니다.	%s mücevheri kayboldu. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	%s de savaş yüzünden bir uyarı ateşi yakıldı. 
%s에게 대결신청을 했습니다.	%s savaşa davet ettiniz. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Ateşleri yakmak için %s savaşları var. 
%s에서 소켓 빠질때까지 남은 시간 %d	%sgirişinin silinmesine kalan süre : %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s, %d%% oranında yükseldi! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s tekrar normal. 
%s의 군주가 %s 님으로 교체되었습니다.	%s İmparatoru %s oldu. 
%s이 모든 봉화를 파괴하였습니다.	%s ateşi yok etti. 
%s이 봉화를 파괴했습니다.	%s ateşi yok etti. 
%s이 수성에 성공했습니다.	%s başarıyla savundu. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s kaleyi koruyamadığı için savaşı kaybetti. 
%s이 필요합니다.	Bu hareket için gereken: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Lonca kuruldu. [Temporary] 
Jagras: You succesfully finished the dungeon!	Jagras: You succesfully finished the dungeon!
Jagras: You will be teleported in 2 minutes	Jagras: You will be teleported in 30 seconds.
Jagras: out of dungeon.	Jagras: out of dungeon.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Watch out! Stronger monsters are coming!	Jagras: Watch out! Stronger monsters are coming!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Destroy all metin stones!	Jagras: Destroy all metin stones!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Suran is here!	Jagras: Suran is here!
Jagras: Defeat him!	Jagras: Defeat him!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Great job!	Jagras: Great job!
Jagras: Be careful now!	Jagras: Be careful now!
Jagras: 2 Surans are coming!	Jagras: 2 Surans are coming!
Jagras: Kill them!	Jagras: Kill them!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: 30 minutes left!	Jagras: 30 minutes left!
Jagras: 15 minutes left!	Jagras: 15 minutes left!
Jagras: 10 minutes left!	Jagras: 10 minutes left!
Jagras: 5 minutes left!	Jagras: 5 minutes left!
Jagras: Hurry up!!	Jagras: Hurry up!!
Jagras: 1 minute left!	Jagras: 1 minute left!
Jagras: You are almost failed!!	Jagras: You are almost failed!!
Jagras: Time has expired!	Jagras: Time has expired!
Jagras: You failed!	Jagras: You failed!
Jagras: You will be teleported out of dungeon!	Jagras: You will be teleported out of dungeon!

Die Gruppe von	Grubu
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 sualtı zindanını yok etti, tebrikler!
%s hat das maximale Level erreicht, Glückwunsch!	%s maksimum seviyeye ulaştı, tebrikler!
You can not use this so fast.	Bu işi çok hızlı yapamazsınız.
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	%s grubu %s kez %s kesti. Tebrikler! (%s Seconds)
%s hat den %s gekillt	%s grubu %s kesti. Tebrikler!
%s hat das maximale Level erreicht, Glückwunsch!	%s maksimum seviyeye ulaştı, tebrikler!

There isn't enough space in the inventory.	Envanterde yeterli alan yok.
%s has married %s	%s evlendi %s. Tebrikler.
Block: 	engellemek:
Guild	lonca
Exchange	ticaret
Duel	düello
Request	soruşturma
Chat	Sohbet
Whisper	fısıltı
Friend	arkadaş
Equip	ekipman
Shop	mağaza
Group	grup
There are invalid characters in your title.	Başlığınızda geçersiz karakterler var.
You cannot use this color in your title.	Bu rengi başlığınız için kullanamazsınız. Jeneratörü kullanarak renginizi seçin.
The player %s blocked viewing of his equipment!	%S oyuncusu ekipmanını engelledi!
You blocked duel requests for %s	%S için düello taleplerini engellediniz.
You cannot activate and deactivate this so quickly	Bunu çok hızlı bir şekilde etkinleştiremez veya devre dışı bırakamazsınız.
You can only change your equipment while you are still.	Ekipmanınızı yalnızca hareketsiz dururken değiştirebilirsiniz.
PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	%d saniye beklemelisiniz. %d saniye kaldı.
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	Hiçbir Esya bulunamadı.
You cannot enhance the time of this item while it is stacked.	You cannot enhance the time of this item while it is stacked. 
Maintenance shutdown will begin in %d seconds.	Maintenance shutdown will begin in %d seconds.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	We compliment the Guild %s they defeated Meley, the Queen of the Dragons!
All demons were defeated.	All demons were defeated.
Visits the Maw of the in heh to open another to fate castle.	Visits the Maw of the in heh to open another to fate castle.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Kill Metin Stones until you get a Frost Key and open the pillars with it.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	The seals are opened, the Baron Nashor appears!
Besiegt den Boss!	Defeat the boss!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s has successfully completed the 1st Biologist Quest. The biologist awards you 20% half-human.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s has successfully completed the 2nd Biologist Quest. The biologist awards you 30% half-human.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s has successfully completed the 3rd Biologist Quest. The biologist awards you 40% half-human.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s has successfully completed the 4th Biologist Quest. The biologist awards you 60% half-human.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s has successfully completed the 5th Biologist Quest. The biologist awards you 50% Strong against Creatures.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s has successfully completed the 6th Biologist Quest. The biologist awards you 100% Strong against Creatures.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s has successfully completed the 7th Biologist Quest. The biologist awards you 50% Strong against Mystics.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s has successfully completed the 8th Biologist Quest. The biologist awards you 100% Strong against Mystics.
Easter dungeon: You still have to defeat %s monsters to move on.	You still have to defeat %s monsters to move on.
Easter dungeon: %s eggs has left!	%s easter eggs has left!
Easter dungeon: %s metin stones has left!	%s metin stones has left!
CANNOT_WARP_NOW	You can't do this activity yet.
You cannot perform this action right now.	You cannot perform this action right now.
You can't open an empty shop.	Du kannst keinen leeren Laden eröffnen.
You already have a shop opened.	Du hast bereits einen Laden offen. 
You sold %dx %s for %lld Yang.	You sold %dx %s for %lld Yang.
You've withdrawn %lld Yang from your shop sales stash.	Du hast %lld Yang vom Laden abgehoben. 
ITEM_SEALED	This item was successfully soulbound.
ITEM_SEALED_CANNOT_MODIFY	Soulbound items cannot be modified.
변경 시킬 속성이 없습니다	You cannot enchant this item without the 6/7 bonus.
You cannot open a storage if another Window is already open.	Du kannst keinen Laden öffnen, wenn bereits ein anderes Fenster offen ist.
Switchbot Slot %d stopped out of bonus changers.	Switchbot Slot %d stopped out of bonus changers.
Du wirst in %s Sekunden herausteleportiert.	You will be teleported in %s seconds.
You don't have enough money!	You don't have enough money!
You can not open a shop while you are trading.	You can not open a shop while you are trading.
Your cannot spawn your pet while having the status window open.	Your cannot spawn your pet while having the status window open.
You cannot add attributes to this item.	You cannot add attributes to this item.
You cannot change the attributes of this item.	You cannot change the attributes of this item.
This food can only be used for pet level %d to %d	This food can only be used for pet level %d to %d
This food is only for pets	This food is only for pets
Your pet no longer listens to you. Your level is too low.	Your pet no longer listens to you. Your level is too low.
The pet already has reached its maximum level	The pet already has reached its maximum level
<Guild> The field war is disabled on this server.	<Guild> The field war is disabled on this server.
You have successfully added a socket to this item.	You have successfully added a socket to this item.
You cannot add sockets to this item.	You cannot add sockets to this item.
Successfully added a socket to this item	Successfully added a socket to this item
This item already cannot gain more sockets.	This item already cannot gain more sockets.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	You cannot move items while you are in a Shop.
You cannot add sockets to an item with less than 3 sockets.	You cannot add sockets to an item with less than 3 sockets.
You can only change your shop name once every hour (%02d:%02d:%02d).	You can only change your shop name once every hour (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	You tried to put at least one item into the shop which can not be traded yet.
You cannot use this item on this map.	You cannot use this item on this map.
%s scored first blood	%s scored first blood
You cannot unequip the armor. Not enough space for your armor effect	You cannot unequip the armor. Not enough space for your armor effect
You need to wait some time for the next emotion.	You need to wait some time for the next emotion.
%s blocks duel requests	%s blocks duel requests
Failed to make one socket permanent	Failed to make one socket permanent
Successfully to made one socket permanent	Successfully to made one socket permanent
Already every socket permanent	Already every socket permanent
A world boss is [%s] spawned.	A world boss is [%s] spawned.
You cannot use this item in this area.	You cannot use this item in this area.
Missing %s %s to create the recipe you have chosen	Missing %s %s to create the recipe you have chosen
Double Drop Amount	Double-Loot-Event
Double-Loot Event is active!	Double-Loot Event is active!
%s: Double-Loot Event is active	%s: Double-Loot Event is active
%s: Double-Loot Event ended	%s: Double-Loot Event ended
%s has killed you with hp %d left over.	%s seni %d hp kalan ile öldürdü.
There is no one currently registered in the ranking.	There is no one currently registered in the ranking.
Player %s successfully finished Battle Pass %s.	Player %s successfully finished Battle Pass %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Taşı 4 dakika içinde yok et!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: Aksi takdirde, zindandan ışınlanacaksın.
Ancient pyramid: You will continue in few seconds.	Kulve Taroth: Birkaç saniye içinde devam edeceksin.
Ancient pyramid: You have failed!	Kulve Taroth: Başarısız oldun!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Pergamen parçalarını toplamak için canavarları öldürün 4 parçaya sahip olduğunda
Ancient pyramid: destroy the %s!	Kulve Taroth: %s yi yok et!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Tüm parçalara sahipsiniz! Mührü deşifre edin!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: %s çağırmak için bir büyüydü, onu öldür!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Birkaç saniye içinde bir sonraki kata geçiceksin
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: 21 dakika içinde doğru %s yi bulun ve yok edin!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Dikkat et, içlerinde güçlü bir şey saklanıyor!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Doğru taşı yok ettiniz!
Ancient pyramid: %s is coming!	Kulve Taroth: %s geliyor!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Bu taş sadece bir illüzyondu.
Ancient pyramid: You have failed!	Kulve Taroth: Başarısız oldun!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Birkaç saniye içinde bir sonraki kata geçiceksin
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Bu labirentten bir çıkış yolu bulun!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: Sonda, gerçek %s öldürmen gerekiyor!
Ancient pyramid: This was the real %s	Kulve Taroth: Bu gerçek %s idi
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Birkaç saniye içinde bir sonraki kata geçiceksin
Ancient pyramid: This was a fake %s!	Kulve Taroth: Bu %s sahteydi!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Tüm %s leri yok et ama dikkatli ol, kendi mekanizması var!
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: Onları sırasıyla yok etmeniz gerekiyor!
Ancient pyramid: This was the right one!	Kulve Taroth: Bu doğru olanıydı!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Şimdi başka bir eşya almak için %s yok edin!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Diğer %s yi yok etmen gerekiyor
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Harika! Canavarlar geliyor! Bir canavarda başka bir eşya var!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Diğer %s yi yok etmen gerekiyor
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Diğer %s yi yok etmen gerekiyor
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Harika, ama uyarı !!!
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: Gerçek Anubis geliyor!
Ancient pyramid: %s stones has left!	Kulve Taroth: %s taş kaldı!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Birkaç saniye içinde bir sonraki kata geçiceksin
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Gerçek bir boss çağırabilmek için %s yok et!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Şimdi tüm canavarları öldür!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Büyü kalktı, %s alabilirsin
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Büyü kalktı, %s alabilirsin
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s gelcek.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Önceki canavarları ve bossları ortaya spawnlayabilir!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Onu 5 dakika içinde yok edersen, başka canavarları önleyebilirsin!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Büyü kalktı, %s alabilirsin 
Ancient pyramid: You were too slow, monsters have beholded you!	Kulve Taroth: Çok yavaştın, canavarlar seni gördü!
Ancient pyramid: They are coming, kill them all!	Kulve Taroth: Geliyorlar, hepsini öldür!
Ancient pyramid: %s has spawned!	Kulve Taroth: %s spawnlandı!
Ancient pyramid: Destroy it within 3 minutes! Otherwise, the dungeon will be closed	Kulve Taroth: 3 dakika içinde yok et! Yoksa zindan kapanacak;
Ancient pyramid: The %s has no power to do magic anymore!	Kulve Taroth: %s artık büyü yapma gücü kalmadı!
Ancient pyramid: Kill it!!	Kulve Taroth: Öldür onu!!!!
Ancient pyramid: You have failed!	Kulve Taroth: Başarısız oldun!
Ancient pyramid: The %s has been protected!	Kulve Taroth: %s korundu!
Anci group: You did it! Spectacular job!	Kulve Taroth: Başardın! Muhteşem!
Anci group: Dungeon will be automatically closed in 3 minutes.	Kulve Taroth: Zindan 3 dakika sonra otomatik olarak kapanacak.
Ancient pyramid: You have failed!	Kulve Taroth: Başarısız oldun!
%s benötigte %s Sekunden	%s gereken %s saniye!
Shadow tower: Destroy all %s! You have only limited time! Hurry up!	Vaal Hazak: Destroy all %s! You have only limited time! Hurry up!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Time is up. You have failed!
Shadow tower: %s is coming!	Vaal Hazak: %s is coming!
Shadow tower: Kill second wave of monsters to destroy second %s!	Vaal Hazak: Kill second wave of monsters to destroy second %s!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Time is up. You have failed!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: You have destroyed the right stone!	Vaal Hazak: You have destroyed the right stone!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: This one was just an illusion!	Vaal Hazak: This one was just an illusion!
Shadow tower: Well done! Now destroy the %s to able to continue!	Vaal Hazak: Well done! Now destroy the %s to able to continue!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: Great job! You will proceed in few seconds!	Vaal Hazak: Great job! You will proceed in few seconds!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Time is up. You have failed!
Shadow tower: Protection of %s is gone. You can kill him now!	Vaal Hazak: Protection of %s is gone. You can kill him now!
Shadow tower: %s wasn't destroyed yet. %s was recovered from shadows!	Vaal Hazak: %s wasn't destroyed yet. %s was recovered from shadows!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: You died three times. You have failed.	Vaal Hazak: You died three times. You have failed.
Shadow tower: Time is up. You have failed!	Vaal Hazak: Time is up. You have failed!
Shadow tower: Beware! %s is coming!	Vaal Hazak: Beware! %s is coming!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: If you have %s, you have last %s seconds to use it!	Vaal Hazak: If you have %s, you have last %s seconds to use it!
Shadow zone: %s is now active! %s is gonna be much weaker!	Vaal Hazak: %s is now active! %s is gonna be much weaker!
Shadow tower: This effect is already active!	Vaal Hazak: This effect is already active!
Shadow tower: You can use this only during first 8 floors!	Vaal Hazak: You can use this only during first 8 floors!
Shadow tower: %s was revealed! You can proceed to next floor!	Vaal Hazak: %s was revealed! You can proceed to next floor!
Shadow tower: Time is up. You have failed!	Vaal Hazak: Time is up. You have failed!
Shadow tower: One more wave is coming!	Vaal Hazak: One more wave is coming!
Shadow tower: A monster is coming, its unknown!	Vaal Hazak: A monster is coming, its unknown!
Shadow tower: You are almost at the end. But the worst is just about to come!	Vaal Hazak: You are almost at the end. But the worst is just about to come!
Shadow tower: Time is up. You have failed	Vaal Hazak: Time is up. You have failed
Shadow tower: You will be teleported out of dungeon in %s minutes.	Vaal Hazak: You will be teleported out of dungeon in %s minutes.
Shadow tower: Destroy both %s! Destroy all monsters to get a key!	Vaal Hazak: Destroy both %s! Destroy all monsters to get a key!
Shadow tower: Find real %s and destroy it!	Vaal Hazak: Find real %s and destroy it!
Shadow tower: Every wrong stone hides %s inside!	Vaal Hazak: Every wrong stone hides %s inside!
Shadow tower: The more fake stones you destroy, the more HP will have a next boss!	Vaal Hazak: The more fake stones you destroy, the more HP will have a next boss!
Shadow tower: Kill all monsters to get %s, then start to build a %s	Vaal Hazak: Kill all monsters to get %s, then start to build a %s
Shadow tower: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!	Vaal Hazak: Destroy %s in %s minutes! Otherwise you will have to finish next mission 2x!
You are not allowed to create a shop on this map.	You are not allowed to create a shop on this map.
